BEST n=26 hc=26600 edges: 0-1 0-18 0-23 0-25 1-2 1-10 1-25 2-3 2-13 2-22 3-4 3-14 3-24 4-5 4-7 4-20 5-6 5-12 5-16 6-7 6-9 6-18 7-8 7-23 8-9 8-15 8-24 9-10 9-12 10-11 10-22 11-12 11-13 11-19 12-13 13-20 14-15 14-17 14-21 15-16 15-17 16-17 16-19 17-18 18-19 19-20 20-21 21-22 21-25 22-23 23-24 24-25
BEST n=26 hc=26560 edges: 0-1 0-18 0-23 0-25 1-10 1-17 1-25 2-3 2-13 2-14 2-22 3-4 3-14 3-24 4-5 4-7 4-20 5-6 5-12 5-16 6-7 6-9 6-18 7-8 7-23 8-9 8-15 8-24 9-10 9-12 10-11 10-22 11-12 11-13 11-19 12-13 13-20 14-15 14-21 15-16 15-17 16-17 16-19 17-18 18-19 19-20 20-21 21-22 21-25 22-23 23-24 24-25
BEST n=26 hc=26263 edges: 0-1 0-18 0-23 0-25 1-10 1-17 1-25 2-3 2-13 2-14 2-22 3-4 3-14 3-24 4-5 4-7 4-20 5-6 5-12 5-16 6-7 6-9 6-18 7-8 7-23 8-9 8-15 8-24 9-12 9-22 10-11 10-21 10-22 11-12 11-13 11-19 12-13 13-20 14-15 14-21 15-16 15-17 16-17 16-19 17-18 18-19 19-20 20-21 21-25 22-23 23-24 24-25
BEST n=26 hc=24623 edges: 0-1 0-18 0-23 0-25 1-10 1-17 1-25 2-3 2-14 2-17 2-22 3-4 3-14 3-24 4-5 4-7 4-8 5-6 5-12 5-16 6-7 6-9 6-18 7-8 7-23 8-9 8-24 9-12 9-22 10-11 10-21 10-22 11-12 11-13 11-19 12-13 13-16 13-20 14-15 14-21 15-16 15-17 15-20 16-19 17-18 18-19 19-20 20-21 21-25 22-23 23-24 24-25
BEST n=26 hc=23050 edges: 0-1 0-18 0-22 0-23 1-10 1-17 1-25 2-3 2-14 2-17 2-22 3-4 3-14 3-24 4-5 4-7 4-8 5-6 5-12 5-16 6-7 6-9 6-12 7-8 7-23 8-9 8-24 9-12 9-22 10-11 10-21 10-25 11-12 11-13 11-19 13-16 13-18 13-20 14-15 14-21 15-17 15-20 15-24 16-19 16-23 17-18 18-19 19-20 20-21 21-25 22-23 24-25
BEST n=26 hc=21662 edges: 0-1 0-18 0-22 0-23 1-10 1-17 1-25 2-3 2-14 2-17 2-22 3-4 3-14 3-24 4-5 4-7 4-8 5-6 5-12 5-16 6-7 6-9 6-12 7-8 7-23 8-9 8-24 9-18 9-22 10-11 10-21 10-25 11-12 11-13 11-19 12-19 13-16 13-18 13-20 14-15 14-21 15-17 15-20 15-24 16-19 16-23 17-18 19-20 20-21 21-25 22-23 24-25
BEST n=26 hc=21139 edges: 0-1 0-18 0-22 0-23 1-10 1-17 1-25 2-3 2-14 2-17 2-22 3-14 3-24 3-25 4-5 4-7 4-8 4-21 5-6 5-12 5-16 6-7 6-9 6-12 7-8 7-23 8-9 8-24 9-18 9-22 10-11 10-21 10-25 11-12 11-13 11-19 12-19 13-16 13-18 13-20 14-15 14-21 15-17 15-20 15-24 16-19 16-23 17-18 19-20 20-21 22-23 24-25
BEST n=26 hc=20984 edges: 0-1 0-18 0-22 0-23 1-10 1-17 1-21 2-3 2-14 2-17 2-22 3-14 3-24 3-25 4-5 4-7 4-8 4-25 5-6 5-12 5-16 6-7 6-9 6-12 7-8 7-23 8-9 8-24 9-18 9-22 10-11 10-21 10-25 11-12 11-13 11-19 12-19 13-16 13-18 13-20 14-15 14-21 15-17 15-20 15-24 16-19 16-23 17-18 19-20 20-21 22-23 24-25
BEST n=26 hc=19824 edges: 0-1 0-18 0-22 0-23 1-10 1-11 1-17 2-3 2-14 2-17 2-22 3-14 3-24 3-25 4-5 4-7 4-8 4-25 5-6 5-12 5-16 6-7 6-9 6-12 7-8 7-23 8-9 8-24 9-18 9-22 10-11 10-21 10-25 11-12 11-19 12-19 13-16 13-18 13-20 13-21 14-15 14-21 15-17 15-20 15-24 16-19 16-23 17-18 19-20 20-21 22-23 24-25
BEST n=26 hc=19425 edges: 0-1 0-2 0-22 0-23 1-10 1-14 1-17 2-3 2-11 2-17 3-17 3-21 3-25 4-5 4-11 4-12 4-25 5-9 5-12 5-16 6-7 6-8 6-10 6-12 7-8 7-14 7-23 8-19 8-24 9-18 9-22 9-25 10-11 10-21 11-22 12-18 13-15 13-16 13-18 13-24 14-17 14-21 15-18 15-19 15-20 16-19 16-23 19-20 20-21 20-24 22-23 24-25
BEST n=26 hc=19292 edges: 0-5 0-12 0-16 0-21 1-9 1-10 1-17 1-19 2-3 2-11 2-16 2-18 3-17 3-21 3-25 4-5 4-11 4-12 4-25 5-12 5-16 6-7 6-8 6-10 6-12 7-8 7-10 7-23 8-19 8-24 9-22 9-23 9-25 10-11 11-22 13-14 13-15 13-18 13-24 14-17 14-18 14-21 15-19 15-20 15-21 16-23 17-18 19-20 20-22 20-24 22-23 24-25
