BEST n=28 hc=51253 edges: 0-1 0-10 0-19 0-27 1-2 1-4 1-19 2-3 2-5 2-17 3-4 3-15 3-26 4-5 4-9 5-6 5-7 6-7 6-23 6-24 7-8 7-15 8-9 8-25 8-26 9-10 9-13 10-11 10-14 11-12 11-16 11-27 12-13 12-18 12-27 13-14 13-21 14-15 14-25 15-16 16-17 16-22 17-18 17-20 18-19 18-23 19-20 20-21 20-22 21-22 21-24 22-23 23-24 24-25 25-26 26-27
BEST n=28 hc=48132 edges: 0-1 0-17 0-19 0-27 1-4 1-19 1-20 2-3 2-5 2-6 2-19 3-4 3-15 3-26 4-5 4-25 5-6 5-7 6-23 6-24 7-8 7-10 7-17 8-9 8-25 8-26 9-13 9-14 9-20 10-14 10-20 10-22 11-12 11-15 11-16 11-27 12-13 12-18 12-27 13-14 13-21 14-15 15-16 16-18 16-22 17-20 17-23 18-19 18-21 21-22 21-24 22-23 23-24 24-25 25-26 26-27
BEST n=28 hc=47026 edges: 0-1 0-17 0-19 0-27 1-4 1-19 1-20 2-3 2-5 2-6 2-19 3-4 3-7 3-26 4-5 4-25 5-6 5-7 6-23 6-24 7-8 7-10 8-9 8-25 8-26 9-13 9-14 9-20 10-14 10-20 10-22 11-12 11-15 11-16 11-27 12-13 12-18 12-27 13-14 13-21 14-15 15-16 15-17 16-18 16-22 17-20 17-23 18-19 18-21 21-22 21-24 22-23 23-24 24-25 25-26 26-27
BEST n=28 hc=46252 edges: 0-1 0-17 0-19 0-27 1-4 1-19 1-20 2-3 2-5 2-6 2-26 3-4 3-7 3-26 4-5 4-25 5-6 5-7 6-23 6-24 7-8 7-10 8-9 8-11 8-25 9-13 9-14 9-20 10-14 10-20 10-22 11-12 11-15 11-16 12-13 12-18 12-27 13-14 13-21 14-15 15-16 15-17 16-18 16-22 17-20 17-23 18-19 18-21 19-27 21-22 21-24 22-23 23-24 24-25 25-26 26-27
BEST n=28 hc=42132 edges: 0-1 0-17 0-19 0-27 1-4 1-19 1-20 2-3 2-5 2-6 2-26 3-4 3-5 3-26 4-5 4-25 5-7 6-7 6-23 6-24 7-8 7-10 8-9 8-11 8-25 9-13 9-14 9-20 10-14 10-20 10-22 11-12 11-15 11-16 12-13 12-18 12-27 13-14 13-21 14-15 15-16 15-17 16-18 16-22 17-20 17-23 18-19 18-21 19-27 21-22 21-24 22-23 23-24 24-25 25-26 26-27
BEST n=28 hc=41073 edges: 0-1 0-17 0-19 0-27 1-4 1-19 1-20 2-3 2-5 2-6 2-26 3-4 3-5 3-26 4-5 4-25 5-21 6-7 6-23 6-24 7-8 7-10 7-13 8-9 8-11 8-25 9-13 9-14 9-20 10-14 10-20 10-22 11-12 11-15 11-16 12-13 12-18 12-27 13-14 14-15 15-16 15-17 16-18 16-22 17-20 17-23 18-19 18-21 19-27 21-22 21-24 22-23 23-24 24-25 25-26 26-27
BEST n=28 hc=39463 edges: 0-5 0-6 0-10 0-12 1-18 1-22 1-24 1-26 2-5 2-21 2-22 2-25 3-4 3-10 3-13 3-21 4-13 4-14 4-20 5-10 5-17 6-15 6-16 6-27 7-9 7-11 7-20 7-24 8-11 8-18 8-23 8-25 9-11 9-12 9-21 10-16 11-14 12-19 12-21 13-14 13-23 14-27 15-16 15-19 15-26 16-20 17-18 17-19 17-20 18-26 19-25 22-25 22-26 23-24 23-27 24-27
BEST n=28 hc=34418 edges: 0-5 0-6 0-10 0-12 1-18 1-22 1-24 1-26 2-5 2-21 2-22 2-25 3-4 3-10 3-13 3-21 4-13 4-14 4-20 5-10 5-17 6-15 6-16 6-27 7-9 7-11 7-17 7-20 8-11 8-18 8-23 8-25 9-11 9-12 9-21 10-16 11-26 12-21 12-27 13-14 13-22 14-15 14-27 15-16 15-19 16-20 17-19 17-20 18-24 18-26 19-23 19-25 22-26 23-24 23-25 24-27
BEST n=28 hc=34304 edges: 0-5 0-6 0-10 0-12 1-5 1-22 1-24 1-26 2-18 2-21 2-22 2-25 3-4 3-13 3-14 3-19 4-10 4-13 4-20 5-9 5-17 6-15 6-16 6-19 7-10 7-11 7-17 7-20 8-11 8-18 8-23 8-25 9-11 9-12 9-21 10-16 11-26 12-21 12-27 13-14 13-26 14-15 14-23 15-16 15-19 16-20 17-19 17-20 18-22 18-24 21-27 22-26 23-24 23-25 24-27 25-27
BEST n=28 hc=32163 edges: 0-5 0-6 0-10 0-12 1-5 1-22 1-24 1-26 2-18 2-21 2-22 2-25 3-4 3-13 3-14 3-19 4-10 4-13 4-20 5-9 5-17 6-15 6-16 6-19 7-11 7-14 7-17 7-20 8-11 8-18 8-23 8-25 9-11 9-12 9-21 10-13 10-16 11-26 12-21 12-27 13-26 14-15 14-23 15-16 15-19 16-20 17-19 17-20 18-22 18-24 21-27 22-26 23-24 23-25 24-27 25-27
BEST n=28 hc=29284 edges: 0-5 0-6 0-12 0-14 1-5 1-22 1-24 1-26 2-18 2-21 2-22 2-25 3-4 3-10 3-13 3-19 4-10 4-13 4-20 5-9 5-17 6-15 6-16 6-19 7-11 7-14 7-17 7-20 8-11 8-18 8-23 8-25 9-11 9-12 9-21 10-13 10-16 11-26 12-21 12-27 13-26 14-15 14-23 15-16 15-19 16-20 17-19 17-20 18-22 18-24 21-27 22-26 23-24 23-25 24-27 25-27
BEST n=28 hc=27702 edges: 0-6 0-12 0-13 0-23 1-6 1-20 1-23 1-27 2-9 2-14 2-21 2-25 3-4 3-11 3-18 3-21 4-5 4-14 4-26 5-8 5-9 5-14 6-12 6-23 7-16 7-17 7-18 7-20 8-16 8-22 8-25 9-10 9-18 10-15 10-22 10-24 11-13 11-19 11-20 12-19 12-27 13-19 13-27 14-21 15-16 15-22 15-26 16-26 17-18 17-24 17-25 19-24 20-23 21-27 22-25 24-26
BEST n=28 hc=27123 edges: 0-6 0-12 0-13 0-23 1-6 1-20 1-23 1-27 2-9 2-14 2-21 2-25 3-4 3-11 3-18 3-21 4-5 4-14 4-26 5-8 5-14 5-24 6-12 6-23 7-16 7-17 7-18 7-20 8-16 8-22 8-25 9-10 9-17 9-18 10-15 10-22 10-24 11-13 11-19 11-20 12-19 12-27 13-19 13-27 14-21 15-16 15-22 15-26 16-26 17-18 17-25 19-24 20-23 21-27 22-25 24-26
