BEST n=30 hc=100000 edges: 0-14 0-24 0-27 0-29 1-2 1-7 1-13 1-20 2-3 2-5 2-11 3-4 3-17 3-25 4-5 4-7 4-12 5-6 5-25 6-7 6-17 6-26 7-8 8-9 8-12 8-23 9-10 9-19 9-20 10-11 10-15 10-29 11-12 11-27 12-13 13-21 13-26 14-15 14-24 14-28 15-16 15-22 16-17 16-21 16-22 17-18 18-19 18-23 18-28 19-20 19-29 20-21 21-22 22-23 23-24 24-25 25-26 26-27 27-28 28-29
BEST n=30 hc=98180 edges: 0-14 0-15 0-24 0-27 1-8 1-10 1-16 1-20 2-3 2-9 2-20 2-28 3-4 3-9 3-25 4-5 4-12 4-24 5-6 5-8 5-29 6-9 6-13 6-17 7-8 7-11 7-22 7-26 8-23 9-19 10-15 10-20 10-29 11-12 11-14 11-26 12-13 12-27 13-21 13-29 14-15 14-28 15-19 16-17 16-21 16-25 17-18 17-25 18-23 18-25 18-28 19-23 19-24 20-21 21-22 22-23 22-26 24-27 26-27 28-29
BEST n=30 hc=93615 edges: 0-14 0-19 0-24 0-27 1-8 1-10 1-16 1-20 2-3 2-9 2-20 2-28 3-4 3-9 3-25 4-5 4-15 4-24 5-6 5-8 5-29 6-9 6-13 6-17 7-8 7-12 7-22 7-26 8-23 9-19 10-15 10-20 10-29 11-12 11-14 11-23 11-26 12-13 12-27 13-21 13-29 14-26 14-28 15-19 15-27 16-17 16-21 16-25 17-18 17-25 18-23 18-25 18-28 19-24 20-21 21-22 22-23 22-26 24-27 28-29
BEST n=30 hc=80936 edges: 0-3 0-13 0-18 0-20 1-10 1-16 1-21 1-27 2-7 2-9 2-10 2-24 3-4 3-13 3-20 4-5 4-13 4-16 5-17 5-24 5-28 6-19 6-22 6-23 6-25 7-9 7-17 7-19 8-17 8-22 8-23 8-25 9-11 9-19 10-19 10-22 11-14 11-24 11-29 12-14 12-16 12-26 12-29 13-15 14-21 14-28 15-20 15-26 15-27 16-21 17-23 18-20 18-23 18-28 21-25 22-27 24-26 25-28 26-29 27-29
BEST n=30 hc=80663 edges: 0-1 0-6 0-15 0-28 1-10 1-22 1-24 2-9 2-11 2-14 2-15 3-19 3-20 3-22 3-25 4-18 4-21 4-24 4-28 5-8 5-12 5-15 5-19 6-7 6-16 6-29 7-23 7-25 7-29 8-9 8-17 8-19 9-17 9-22 10-13 10-18 10-29 11-12 11-26 11-27 12-16 12-23 13-24 13-27 13-28 14-20 14-27 14-29 15-26 16-23 16-26 17-20 17-21 18-24 18-28 19-20 21-22 21-27 23-25 25-26
BEST n=30 hc=80300 edges: 0-4 0-22 0-24 0-26 1-8 1-17 1-24 1-27 2-13 2-19 2-25 2-27 3-6 3-9 3-10 3-18 4-11 4-19 4-25 5-9 5-18 5-20 5-22 6-10 6-18 6-23 7-9 7-11 7-22 7-29 8-14 8-15 8-17 9-22 10-17 10-21 11-20 11-28 12-13 12-15 12-19 12-21 13-15 13-28 14-16 14-20 14-26 15-21 16-18 16-26 16-29 17-24 19-29 20-29 21-23 23-26 23-28 24-25 25-27 27-28
BEST n=30 hc=79780 edges: 0-9 0-22 0-24 0-26 1-8 1-17 1-24 1-27 2-13 2-19 2-25 2-27 3-4 3-6 3-10 3-18 4-11 4-19 4-25 5-9 5-18 5-20 5-22 6-10 6-18 6-23 7-9 7-11 7-22 7-29 8-14 8-15 8-17 9-22 10-17 10-21 11-20 11-28 12-13 12-15 12-19 12-21 13-15 13-28 14-16 14-20 14-26 15-21 16-18 16-26 16-29 17-24 19-29 20-29 21-23 23-26 23-28 24-25 25-27 27-28
BEST n=30 hc=77141 edges: 0-7 0-8 0-9 0-25 1-11 1-17 1-20 1-24 2-11 2-13 2-25 2-27 3-4 3-6 3-14 3-18 4-6 4-23 4-25 5-17 5-18 5-20 5-22 6-23 6-28 7-9 7-22 7-29 8-14 8-17 8-27 9-22 9-24 10-15 10-17 10-20 10-28 11-20 11-26 12-13 12-15 12-19 12-21 13-21 13-28 14-16 14-26 15-21 15-25 16-18 16-26 16-29 18-29 19-24 19-26 19-27 21-23 22-24 23-28 27-29
BEST n=30 hc=72174 edges: 0-7 0-8 0-9 0-25 1-11 1-12 1-20 1-21 2-3 2-11 2-25 2-27 3-4 3-14 3-16 4-6 4-23 4-25 5-17 5-18 5-20 5-22 6-13 6-23 6-28 7-9 7-22 7-29 8-14 8-17 8-27 9-22 9-24 10-15 10-17 10-20 10-28 11-20 11-26 12-13 12-15 12-21 13-21 13-28 14-16 14-26 15-21 15-25 16-18 16-29 17-24 18-26 18-29 19-23 19-24 19-26 19-27 22-24 23-28 27-29
BEST n=30 hc=65414 edges: 0-4 0-7 0-22 0-23 1-8 1-9 1-24 1-25 2-5 2-9 2-10 2-12 3-11 3-17 3-25 3-27 4-6 4-7 4-23 5-6 5-7 5-12 6-21 6-26 7-23 8-14 8-19 8-27 9-10 9-18 10-16 10-29 11-13 11-22 11-24 12-20 12-26 13-19 13-20 13-29 14-18 14-21 14-26 15-16 15-18 15-19 15-28 16-28 16-29 17-19 17-20 17-25 18-28 20-22 21-24 21-26 22-28 23-24 25-27 27-29
BEST n=30 hc=57484 edges: 0-4 0-7 0-22 0-23 1-8 1-9 1-25 1-27 2-5 2-9 2-10 2-12 3-11 3-17 3-25 3-27 4-6 4-7 4-23 5-6 5-7 5-12 6-21 6-26 7-23 8-14 8-19 8-27 9-10 9-18 10-16 10-29 11-13 11-22 11-24 12-20 12-26 13-19 13-20 13-29 14-18 14-21 14-26 15-16 15-18 15-19 15-28 16-28 16-29 17-19 17-20 17-25 18-28 20-22 21-24 21-26 22-28 23-24 24-29 25-27
