0,2 1,3
0,3 1,4
0,4 1,5
0,5 1,6
0,6 1,7
0,7 1,8
0,8 1,9
0,9 1,10
0,10 1,11
0,2 1,4 1,5
0,2 1,4 3,5
0,2 1,4 3,19
0,2 1,5 1,6
0,2 1,5 3,6
0,2 1,5 4,19
0,2 1,6 1,7
0,2 1,6 3,7
0,2 1,6 5,19
0,2 1,7 1,8
0,2 1,7 3,8
0,2 1,7 6,19
0,2 1,8 1,9
0,2 1,8 3,9
0,2 1,8 7,19
0,2 1,9 1,10
0,2 1,9 3,10
0,2 1,9 8,19
0,2 1,10 1,11
0,2 1,10 3,11
0,2 1,10 9,19
0,2 1,11 3,12
0,3 1,6 2,5
0,3 1,6 4,7
0,3 1,7 2,6
0,3 1,7 4,8
0,3 1,8 2,7
0,3 1,8 4,9
0,3 1,9 2,8
0,3 1,9 4,10
0,3 1,10 2,9
0,3 1,10 4,11
0,3 1,11 2,10
0,3 1,11 4,12
0,3 1,12 2,11
0,3 1,12 4,13
0,3 1,13 4,14
0,3 1,14 4,15
0,3 1,15 4,16
0,3 1,16 4,17
0,3 1,17 4,18
0,4 1,6 3,7
0,4 1,7 3,8
0,4 1,8 3,7
0,4 1,8 3,9
0,4 1,8 5,9
0,4 1,9 3,8
0,4 1,9 3,10
0,4 1,9 5,10
0,4 1,10 3,9
0,4 1,10 3,11
0,4 1,10 5,11
0,4 1,11 3,10
0,4 1,11 3,12
0,4 1,11 5,12
0,4 1,12 3,11
0,4 1,12 5,13
0,4 1,13 5,14
0,4 1,14 5,15
0,4 1,15 5,16
0,4 1,16 5,17
0,5 1,8 4,9
0,5 1,9 4,10
0,5 1,10 4,9
0,5 1,10 4,11
0,5 1,10 6,11
0,5 1,11 4,10
0,5 1,11 4,12
0,5 1,11 6,12
0,5 1,12 4,11
0,5 1,12 4,13
0,5 1,12 6,13
0,5 1,13 4,12
0,5 1,13 6,14
0,5 1,14 6,15
0,5 1,15 6,16
0,6 1,10 5,11
0,6 1,11 5,12
0,6 1,12 5,11
0,6 1,12 5,13
0,6 1,12 7,13
0,6 1,13 5,12
0,6 1,13 7,14
0,6 1,14 7,15
0,7 1,12 6,13
0,7 1,13 6,14
0,7 1,14 6,13
