IMPROVE 20000 n=26 chords: 0-13 0-15 1-12 1-24 2-25 2-9 3-8 3-18 4-16 4-20 5-17 5-24 6-14 6-23 7-21 7-15 8-23 9-19 10-12 10-14 11-19 11-22 13-22 16-20 17-21 18-25
IMPROVE 18076 n=26 chords: 0-22 0-9 1-25 1-12 2-7 2-9 3-7 3-17 4-20 4-21 5-8 5-15 6-24 6-23 8-23 10-15 10-14 11-14 11-13 12-16 13-20 16-19 17-19 18-25 18-22 21-24
IMPROVE 16561 n=26 chords: 0-22 0-9 1-25 1-12 2-7 2-15 3-7 3-17 4-20 4-21 5-8 5-9 6-24 6-23 8-23 10-15 10-14 11-14 11-13 12-16 13-20 16-19 17-19 18-25 18-22 21-24
IMPROVE 15732 n=26 chords: 0-22 0-9 1-25 1-12 2-7 2-15 3-7 3-6 4-20 4-21 5-8 5-9 6-24 8-23 10-15 10-14 11-14 11-13 12-16 13-20 16-19 17-19 17-23 18-25 18-22 21-24
IMPROVE 15254 n=26 chords: 0-20 0-3 1-23 1-24 2-19 2-23 3-19 4-16 4-17 5-24 5-12 6-16 6-12 7-11 7-14 8-14 8-21 9-13 9-11 10-22 10-21 13-25 15-18 15-17 18-25 20-22
IMPROVE 13527 n=26 chords: 0-2 0-3 1-23 1-24 2-19 3-19 4-16 4-17 5-24 5-12 6-16 6-12 7-11 7-14 8-14 8-21 9-13 9-11 10-22 10-21 13-25 15-18 15-17 18-25 20-23 20-22
IMPROVE 13415 n=26 chords: 0-4 0-13 1-8 1-3 2-11 2-10 3-19 4-6 5-9 5-10 6-25 7-25 7-9 8-20 11-13 12-16 12-23 14-18 14-19 15-24 15-18 16-21 17-21 17-23 20-22 22-24
IMPROVE 12574 n=26 chords: 0-4 0-13 1-8 1-3 2-11 2-10 3-19 4-6 5-9 5-10 6-25 7-25 7-9 8-12 11-13 12-16 14-18 14-19 15-24 15-18 16-21 17-21 17-23 20-22 20-23 22-24
IMPROVE 12546 n=26 chords: 0-4 0-24 1-8 1-3 2-11 2-10 3-19 4-6 5-9 5-10 6-25 7-25 7-9 8-12 11-13 12-16 13-22 14-18 14-19 15-24 15-18 16-21 17-21 17-23 20-22 20-23
IMPROVE 10698 n=26 chords: 0-23 0-22 1-5 1-10 2-5 2-9 3-8 3-9 4-22 4-6 6-8 7-19 7-14 10-13 11-20 11-21 12-25 12-17 13-24 14-16 15-19 15-18 16-18 17-20 21-24 23-25
IMPROVE 10188 n=26 chords: 0-23 0-22 1-5 1-10 2-5 2-9 3-8 3-9 4-22 4-6 6-8 7-19 7-10 11-20 11-21 12-25 12-17 13-21 13-20 14-16 14-24 15-19 15-18 16-18 17-24 23-25
IMPROVE 9720 n=26 chords: 0-23 0-22 1-5 1-10 2-5 2-9 3-8 3-9 4-22 4-6 6-8 7-20 7-10 11-20 11-21 12-25 12-17 13-21 13-19 14-16 14-24 15-19 15-18 16-18 17-24 23-25
IMPROVE 9225 n=26 chords: 0-8 0-2 1-7 1-6 2-5 3-8 3-5 4-22 4-23 6-18 7-23 9-16 9-12 10-18 10-16 11-13 11-15 12-20 13-15 14-17 14-19 17-19 20-25 21-25 21-24 22-24
IMPROVE 8213 n=26 chords: 0-23 0-2 1-7 1-6 2-5 3-8 3-5 4-22 4-23 6-8 7-18 9-16 9-12 10-18 10-16 11-13 11-15 12-20 13-15 14-17 14-19 17-19 20-25 21-25 21-24 22-24
IMPROVE 7543 n=26 chords: 0-23 0-2 1-7 1-6 2-5 3-8 3-5 4-22 4-23 6-8 7-12 9-16 9-18 10-18 10-16 11-13 11-15 12-20 13-15 14-17 14-19 17-19 20-25 21-25 21-24 22-24
IMPROVE 7376 n=26 chords: 0-23 0-2 1-7 1-6 2-6 3-8 3-5 4-22 4-23 5-8 7-12 9-16 9-18 10-18 10-16 11-13 11-15 12-20 13-15 14-17 14-19 17-19 20-25 21-25 21-24 22-24
IMPROVE 7085 n=26 chords: 0-3 0-2 1-7 1-6 2-6 3-5 4-22 4-23 5-7 8-23 8-19 9-25 9-18 10-15 10-16 11-13 11-18 12-17 12-20 13-15 14-17 14-19 16-20 21-25 21-24 22-24
IMPROVE 5859 n=26 chords: 0-3 0-2 1-7 1-6 2-6 3-5 4-8 4-9 5-7 8-25 9-23 10-25 10-16 11-13 11-18 12-15 12-21 13-15 14-17 14-18 16-20 17-20 19-23 19-22 21-24 22-24
IMPROVE 3942 n=26 chords: 0-3 0-2 1-7 1-6 2-6 3-5 4-8 4-9 5-7 8-25 9-25 10-23 10-16 11-16 11-18 12-15 12-21 13-20 13-15 14-17 14-18 17-20 19-23 19-22 21-24 22-24
IMPROVE 3375 n=26 chords: 0-3 0-2 1-7 1-6 2-6 3-5 4-8 4-9 5-7 8-25 9-25 10-23 10-14 11-16 11-17 12-16 12-15 13-21 13-19 14-19 15-17 18-23 18-22 20-24 20-22 21-24
IMPROVE 3348 n=26 chords: 0-4 0-3 1-6 1-7 2-5 2-4 3-9 5-8 6-8 7-25 9-25 10-24 10-21 11-14 11-15 12-23 12-14 13-18 13-23 15-17 16-19 16-20 17-19 18-21 20-22 22-24
IMPROVE 2772 n=26 chords: 0-4 0-3 1-6 1-7 2-5 2-4 3-9 5-8 6-8 7-25 9-25 10-24 10-23 11-14 11-15 12-23 12-14 13-18 13-21 15-17 16-19 16-20 17-19 18-21 20-22 22-24
IMPROVE 2727 n=26 chords: 0-2 0-3 1-6 1-5 2-5 3-8 4-8 4-6 7-25 7-9 9-25 10-24 10-13 11-23 11-24 12-15 12-16 13-23 14-18 14-21 15-18 16-21 17-19 17-20 19-22 20-22
IMPROVE 2520 n=26 chords: 0-6 0-7 1-6 1-5 2-4 2-5 3-9 3-8 4-7 8-25 9-25 10-24 10-23 11-20 11-22 12-17 12-14 13-19 13-16 14-18 15-17 15-22 16-19 18-20 21-23 21-24
IMPROVE 2492 n=26 chords: 0-6 0-7 1-6 1-5 2-4 2-5 3-9 3-8 4-7 8-25 9-25 10-24 10-23 11-17 11-22 12-17 12-14 13-19 13-16 14-18 15-20 15-22 16-19 18-20 21-23 21-24
IMPROVE 2403 n=26 chords: 0-6 0-2 1-6 1-5 2-4 3-9 3-8 4-7 5-7 8-25 9-25 10-24 10-23 11-17 11-22 12-17 12-14 13-19 13-16 14-18 15-20 15-22 16-19 18-20 21-23 21-24
IMPROVE 2375 n=26 chords: 0-7 0-3 1-6 1-5 2-4 2-5 3-8 4-6 7-9 8-25 9-25 10-23 10-24 11-23 11-19 12-22 12-18 13-18 13-17 14-17 14-16 15-22 15-20 16-20 19-21 21-24
IMPROVE 2352 n=26 chords: 0-3 0-8 1-6 1-5 2-4 2-5 3-7 4-7 6-9 8-25 9-25 10-23 10-24 11-20 11-22 12-14 12-17 13-19 13-17 14-16 15-20 15-18 16-18 19-22 21-23 21-24
