COUNTEREXAMPLE n=15 g6=N????Bor?^EY~o~o^w? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(1, 1), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=15 g6=N????Bob_^MI~o~o^w? farkas=[Fraction(1, 1), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=15 g6=N???E?xLULXQNo~_^o? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=15 g6=N???E?xHuLZANo~_^o? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(1, 1), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=15 g6=N???FBO{?}DsB{~_^o? farkas=[Fraction(0, 1), Fraction(1, 1), Fraction(-1, 1), Fraction(-1, 1), Fraction(0, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-1, 1), Fraction(-1, 1), Fraction(0, 1), Fraction(-1, 1), Fraction(-1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=15 g6=N???FBOBw}Ds~_~_^o? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=15 g6=N??CEBoy?^Ay~?NoNo? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=15 g6=N??CEBor?^EY~?NoNo? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(1, 1), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=15 g6=N??CFBO{?}DsB{~?No? farkas=[Fraction(0, 1), Fraction(1, 1), Fraction(-1, 1), Fraction(-1, 1), Fraction(0, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-1, 1), Fraction(-1, 1), Fraction(0, 1), Fraction(-1, 1), Fraction(-1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=15 g6=N??EDBo{@{Jg~?B{@}? farkas=[Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=15 g6=N??EDBo{@{JgFoB{^_? farkas=[Fraction(0, 1), Fraction(-1, 1), Fraction(-1, 1), Fraction(1, 1), Fraction(0, 1), Fraction(1, 1), Fraction(-1, 1), Fraction(-1, 1), Fraction(0, 1), Fraction(1, 1), Fraction(-1, 1), Fraction(-1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
