COUNTEREXAMPLE n=18 g6=Q????B_s?\`mFw{QDyFcG~oB~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B_s?\`}Fw{QDyF}?~oB~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B_s?^`}FwJs^wF}?~oB~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????BoyF_\?ByDt?~f}?~oB~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???CB_sFo^?FwJs?~b}?~_?F{? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???CB_e?Nb{FwXsKyFoO~_B}?? farkas=[Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???EA_{Fo^?NoVgB{?^_@~B}?? farkas=[Fraction(0, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(0, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(0, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???EA_{Fo^?NoVg@}F{?@~?F{? farkas=[Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???EA_E^Gb\FwNo[qA|?~_B}?? farkas=[Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???E?o{Fo^?Norg@}F{?@~?F{? farkas=[Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
n=18 part=2/8 mindeg=6: geng_tf=161563 maximalTF=34 infeasible=10
