COUNTEREXAMPLE n=18 g6=Q???????FoO{@}]D^}F~_~{B~o? farkas=[Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B?MHhFcpsqqWZ`~?~oB~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(0, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(0, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(0, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B?MHhWZpsqqF{@~?~oB~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B_w?x}OB\wqB}F}?~oB~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B_sFo^?FwJs@}?Nw~oB~?? farkas=[Fraction(0, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(0, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(0, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B_sFo^?FwJs?~_Nw~oB~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B_{FO^?B{DyB{?Nw~oB~?? farkas=[Fraction(0, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(0, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(0, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B_{FO^?B{Dy?~f}?~oB~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(0, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B_{FO@}@}Dy^wF}?~oB~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???CBo{BaMGB{B{Ppc[W~_@~?? farkas=[Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???EA_EWjB{Nowe[qA|?yaB}?? farkas=[Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(0, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-1, 1), Fraction(-1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(0, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1)]
