COUNTEREXAMPLE n=18 g6=Q????B?oFo[o@}E\^w@~_~o?~o? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B?oFoWw@}ML^w@~_~o?~o? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B?oFoCu@}uP^w@~_~o?~o? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B?wFo[o@}E\F{?~_~oB~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B?wFoAuyP@}F{?~_~oB~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B?MGNWyps}A^@@~?NwB~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????B_eFo^?FwXs?~_Nw~oB~?? farkas=[Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????Bo{EWX_B{B{EX`eW~oB~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q????Bo{EWX_?~B{EXf}?~oB~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???CB_s?Z`]FwJs]PFgG~_@~?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???CB_s?Z}PB{FwDyB}?~_B}?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(0, 1), Fraction(-1, 1), Fraction(-1, 1), Fraction(1, 1), Fraction(0, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
