COUNTEREXAMPLE n=18 g6=Q???????FoWw@}ML^}F~_~{B~o? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???CB_sF_^?FwJs^o?Nw^o?Nw? farkas=[Fraction(0, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(0, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(0, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???EB?{FO?~B{DyF{F{?~_?~_? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???EB_wFoAm@}y`FwF{?F{B}?? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???EB_sFo^?NoB{B{@]_~_?F{? farkas=[Fraction(0, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(0, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(0, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???EB_sFo^?FwJsFwF{?@~?F{? farkas=[Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q???EB_sFo^?FwJsB{@]_~_?F{? farkas=[Fraction(0, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(0, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(0, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q??EE?oKF_^_~?NoXe?^oB}?B}? farkas=[Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q??EE?oKF_^_NoNoXeEX_B}?Nw? farkas=[Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q??EE?oKF_?^NorKFwEX_B}B{C? farkas=[Fraction(-3, 2), Fraction(1, 1), Fraction(-3, 2), Fraction(1, 1), Fraction(0, 1), Fraction(1, 1), Fraction(-3, 2), Fraction(1, 1), Fraction(-3, 2), Fraction(1, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-3, 2), Fraction(-3, 2), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
COUNTEREXAMPLE n=18 g6=Q??EE?oKFo^_~?NoXe?^_@}?B}? farkas=[Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1), Fraction(-2, 1), Fraction(-2, 1), Fraction(1, 1), Fraction(1, 1), Fraction(1, 1)]
n=18 part=7/8 mindeg=6: geng_tf=301336 maximalTF=29 infeasible=11
