[1/123] {'graphs': 1, 'orientations': 26766, 'profile': 6, 'ss_skip': 6} t=0s
[2/123] {'graphs': 2, 'orientations': 49938, 'profile': 24, 'ss_skip': 24} t=0s
[3/123] {'graphs': 3, 'orientations': 72786, 'profile': 60, 'ss_skip': 60} t=0s
[4/123] {'graphs': 4, 'orientations': 92622, 'profile': 60, 'ss_skip': 60} t=0s
[5/123] {'graphs': 5, 'orientations': 118950, 'profile': 66, 'ss_skip': 66} t=0s
[6/123] {'graphs': 6, 'orientations': 143766, 'profile': 78, 'ss_skip': 78} t=0s
[7/123] {'graphs': 7, 'orientations': 169374, 'profile': 108, 'ss_skip': 108} t=1s
[8/123] {'graphs': 8, 'orientations': 196632, 'profile': 132, 'ss_skip': 132} t=1s
[9/123] {'graphs': 9, 'orientations': 220932, 'profile': 132, 'ss_skip': 132} t=1s
[10/123] {'graphs': 10, 'orientations': 242172, 'profile': 150, 'ss_skip': 150} t=1s
[11/123] {'graphs': 11, 'orientations': 266424, 'profile': 150, 'ss_skip': 150} t=1s
[12/123] {'graphs': 12, 'orientations': 286008, 'profile': 168, 'ss_skip': 168} t=1s
[13/123] {'graphs': 13, 'orientations': 306672, 'profile': 168, 'ss_skip': 168} t=1s
[14/123] {'graphs': 14, 'orientations': 332952, 'profile': 184, 'ss_skip': 184} t=1s
[15/123] {'graphs': 15, 'orientations': 360804, 'profile': 200, 'ss_skip': 200} t=1s
[16/123] {'graphs': 16, 'orientations': 386580, 'profile': 200, 'ss_skip': 200} t=1s
[17/123] {'graphs': 17, 'orientations': 414594, 'profile': 220, 'ss_skip': 220} t=1s
[18/123] {'graphs': 18, 'orientations': 443988, 'profile': 232, 'ss_skip': 232} t=1s
[19/123] {'graphs': 19, 'orientations': 471888, 'profile': 252, 'ss_skip': 252} t=1s
[20/123] {'graphs': 20, 'orientations': 497178, 'profile': 272, 'ss_skip': 272} t=1s
[21/123] {'graphs': 21, 'orientations': 520752, 'profile': 300, 'ss_skip': 300} t=1s
[22/123] {'graphs': 22, 'orientations': 546276, 'profile': 314, 'ss_skip': 314} t=1s
[23/123] {'graphs': 23, 'orientations': 569310, 'profile': 322, 'ss_skip': 322} t=1s
[24/123] {'graphs': 24, 'orientations': 597444, 'profile': 338, 'ss_skip': 338} t=1s
[25/123] {'graphs': 25, 'orientations': 624642, 'profile': 350, 'ss_skip': 350} t=1s
[26/123] {'graphs': 26, 'orientations': 652494, 'profile': 366, 'ss_skip': 366} t=1s
[27/123] {'graphs': 27, 'orientations': 680574, 'profile': 380, 'ss_skip': 380} t=1s
[28/123] {'graphs': 28, 'orientations': 706296, 'profile': 380, 'ss_skip': 380} t=1s
[29/123] {'graphs': 29, 'orientations': 732396, 'profile': 400, 'ss_skip': 400} t=2s
[30/123] {'graphs': 30, 'orientations': 760404, 'profile': 412, 'ss_skip': 412} t=2s
[31/123] {'graphs': 31, 'orientations': 785616, 'profile': 426, 'ss_skip': 426} t=2s
[32/123] {'graphs': 32, 'orientations': 809538, 'profile': 446, 'ss_skip': 446} t=2s
[33/123] {'graphs': 33, 'orientations': 835206, 'profile': 474, 'ss_skip': 474} t=2s
[34/123] {'graphs': 34, 'orientations': 859788, 'profile': 494, 'ss_skip': 494} t=2s
[35/123] {'graphs': 35, 'orientations': 886122, 'profile': 510, 'ss_skip': 510} t=2s
[36/123] {'graphs': 36, 'orientations': 912366, 'profile': 540, 'ss_skip': 540} t=2s
[37/123] {'graphs': 37, 'orientations': 936372, 'profile': 560, 'ss_skip': 560} t=2s
[38/123] {'graphs': 38, 'orientations': 962550, 'profile': 580, 'ss_skip': 580} t=2s
[39/123] {'graphs': 39, 'orientations': 987768, 'profile': 592, 'ss_skip': 592} t=2s
[40/123] {'graphs': 40, 'orientations': 1013454, 'profile': 600, 'ss_skip': 600} t=2s
[41/123] {'graphs': 41, 'orientations': 1039698, 'profile': 630, 'ss_skip': 630} t=2s
[42/123] {'graphs': 42, 'orientations': 1065924, 'profile': 658, 'ss_skip': 658} t=2s
[43/123] {'graphs': 43, 'orientations': 1091226, 'profile': 660, 'ss_skip': 660} t=2s
[44/123] {'graphs': 44, 'orientations': 1115394, 'profile': 660, 'ss_skip': 660} t=2s
[45/123] {'graphs': 45, 'orientations': 1139706, 'profile': 664, 'ss_skip': 664} t=2s
[46/123] {'graphs': 46, 'orientations': 1162488, 'profile': 664, 'ss_skip': 664} t=2s
[47/123] {'graphs': 47, 'orientations': 1185684, 'profile': 664, 'ss_skip': 664} t=2s
[48/123] {'graphs': 48, 'orientations': 1216110, 'profile': 676, 'ss_skip': 676} t=2s
[49/123] {'graphs': 49, 'orientations': 1246458, 'profile': 676, 'ss_skip': 676} t=2s
[50/123] {'graphs': 50, 'orientations': 1269738, 'profile': 692, 'ss_skip': 692} t=2s
[51/123] {'graphs': 51, 'orientations': 1295670, 'profile': 704, 'ss_skip': 704} t=3s
[52/123] {'graphs': 52, 'orientations': 1320414, 'profile': 716, 'ss_skip': 716} t=3s
[53/123] {'graphs': 53, 'orientations': 1344018, 'profile': 728, 'ss_skip': 728} t=3s
[54/123] {'graphs': 54, 'orientations': 1368024, 'profile': 742, 'ss_skip': 742} t=3s
[55/123] {'graphs': 55, 'orientations': 1396848, 'profile': 758, 'ss_skip': 758} t=3s
[56/123] {'graphs': 56, 'orientations': 1424640, 'profile': 770, 'ss_skip': 770} t=3s
[57/123] {'graphs': 57, 'orientations': 1453206, 'profile': 784, 'ss_skip': 784} t=3s
[58/123] {'graphs': 58, 'orientations': 1481796, 'profile': 796, 'ss_skip': 796} t=3s
[59/123] {'graphs': 59, 'orientations': 1507968, 'profile': 796, 'ss_skip': 796} t=3s
[60/123] {'graphs': 60, 'orientations': 1536090, 'profile': 812, 'ss_skip': 812} t=3s
[61/123] {'graphs': 61, 'orientations': 1557954, 'profile': 812, 'ss_skip': 812} t=3s
[62/123] {'graphs': 62, 'orientations': 1586358, 'profile': 824, 'ss_skip': 824} t=3s
[63/123] {'graphs': 63, 'orientations': 1612092, 'profile': 836, 'ss_skip': 836} t=3s
[64/123] {'graphs': 64, 'orientations': 1637184, 'profile': 872, 'ss_skip': 872} t=3s
[65/123] {'graphs': 65, 'orientations': 1665684, 'profile': 896, 'ss_skip': 896} t=3s
[66/123] {'graphs': 66, 'orientations': 1691694, 'profile': 908, 'ss_skip': 908} t=3s
[67/123] {'graphs': 67, 'orientations': 1718478, 'profile': 936, 'ss_skip': 936} t=3s
[68/123] {'graphs': 68, 'orientations': 1742796, 'profile': 950, 'ss_skip': 950} t=3s
[69/123] {'graphs': 69, 'orientations': 1767888, 'profile': 986, 'ss_skip': 986} t=3s
[70/123] {'graphs': 70, 'orientations': 1790352, 'profile': 986, 'ss_skip': 986} t=3s
[71/123] {'graphs': 71, 'orientations': 1816470, 'profile': 996, 'ss_skip': 996} t=3s
[72/123] {'graphs': 72, 'orientations': 1842192, 'profile': 1002, 'ss_skip': 1002} t=3s
[73/123] {'graphs': 73, 'orientations': 1868310, 'profile': 1002, 'ss_skip': 1002} t=4s
[74/123] {'graphs': 74, 'orientations': 1894266, 'profile': 1014, 'ss_skip': 1014} t=4s
[75/123] {'graphs': 75, 'orientations': 1921896, 'profile': 1020, 'ss_skip': 1020} t=4s
[76/123] {'graphs': 76, 'orientations': 1945218, 'profile': 1026, 'ss_skip': 1026} t=4s
[77/123] {'graphs': 77, 'orientations': 1968270, 'profile': 1034, 'ss_skip': 1034} t=4s
[78/123] {'graphs': 78, 'orientations': 1992048, 'profile': 1046, 'ss_skip': 1046} t=4s
[79/123] {'graphs': 79, 'orientations': 2013354, 'profile': 1046, 'ss_skip': 1046} t=4s
[80/123] {'graphs': 80, 'orientations': 2036658, 'profile': 1058, 'ss_skip': 1058} t=4s
[81/123] {'graphs': 81, 'orientations': 2062128, 'profile': 1068, 'ss_skip': 1068} t=4s
[82/123] {'graphs': 82, 'orientations': 2084784, 'profile': 1076, 'ss_skip': 1076} t=4s
[83/123] {'graphs': 83, 'orientations': 2107680, 'profile': 1096, 'ss_skip': 1096} t=4s
[84/123] {'graphs': 84, 'orientations': 2132916, 'profile': 1104, 'ss_skip': 1104} t=4s
[85/123] {'graphs': 85, 'orientations': 2160006, 'profile': 1112, 'ss_skip': 1112} t=4s
[86/123] {'graphs': 86, 'orientations': 2189928, 'profile': 1112, 'ss_skip': 1112} t=4s
[87/123] {'graphs': 87, 'orientations': 2217444, 'profile': 1112, 'ss_skip': 1112} t=4s
[88/123] {'graphs': 88, 'orientations': 2246208, 'profile': 1112, 'ss_skip': 1112} t=4s
[89/123] {'graphs': 89, 'orientations': 2274528, 'profile': 1112, 'ss_skip': 1112} t=4s
[90/123] {'graphs': 90, 'orientations': 2301846, 'profile': 1112, 'ss_skip': 1112} t=4s
[91/123] {'graphs': 91, 'orientations': 2330172, 'profile': 1112, 'ss_skip': 1112} t=4s
[92/123] {'graphs': 92, 'orientations': 2358366, 'profile': 1112, 'ss_skip': 1112} t=4s
[93/123] {'graphs': 93, 'orientations': 2383776, 'profile': 1112, 'ss_skip': 1112} t=4s
[94/123] {'graphs': 94, 'orientations': 2412336, 'profile': 1112, 'ss_skip': 1112} t=4s
[95/123] {'graphs': 95, 'orientations': 2440074, 'profile': 1112, 'ss_skip': 1112} t=4s
[96/123] {'graphs': 96, 'orientations': 2469918, 'profile': 1112, 'ss_skip': 1112} t=5s
[97/123] {'graphs': 97, 'orientations': 2497530, 'profile': 1112, 'ss_skip': 1112} t=5s
[98/123] {'graphs': 98, 'orientations': 2528850, 'profile': 1112, 'ss_skip': 1112} t=5s
[99/123] {'graphs': 99, 'orientations': 2560614, 'profile': 1112, 'ss_skip': 1112} t=5s
[100/123] {'graphs': 100, 'orientations': 2588286, 'profile': 1112, 'ss_skip': 1112} t=5s
[101/123] {'graphs': 101, 'orientations': 2616636, 'profile': 1112, 'ss_skip': 1112} t=5s
[102/123] {'graphs': 102, 'orientations': 2646330, 'profile': 1112, 'ss_skip': 1112} t=5s
[103/123] {'graphs': 103, 'orientations': 2671878, 'profile': 1112, 'ss_skip': 1112} t=5s
[104/123] {'graphs': 104, 'orientations': 2699208, 'profile': 1112, 'ss_skip': 1112} t=5s
