[1/123] {'graphs': 1, 'orientations': 32622, 'profile': 10, 'ss_skip': 10} t=0s
[2/123] {'graphs': 2, 'orientations': 61854, 'profile': 18, 'ss_skip': 18} t=0s
[3/123] {'graphs': 3, 'orientations': 87498, 'profile': 26, 'ss_skip': 26} t=0s
[4/123] {'graphs': 4, 'orientations': 118650, 'profile': 34, 'ss_skip': 34} t=0s
[5/123] {'graphs': 5, 'orientations': 146634, 'profile': 42, 'ss_skip': 42} t=0s
[6/123] {'graphs': 6, 'orientations': 172278, 'profile': 54, 'ss_skip': 54} t=0s
[7/123] {'graphs': 7, 'orientations': 202890, 'profile': 64, 'ss_skip': 64} t=1s
[8/123] {'graphs': 8, 'orientations': 229860, 'profile': 72, 'ss_skip': 72} t=1s
[9/123] {'graphs': 9, 'orientations': 255798, 'profile': 76, 'ss_skip': 76} t=1s
[10/123] {'graphs': 10, 'orientations': 275634, 'profile': 88, 'ss_skip': 88} t=1s
[11/123] {'graphs': 11, 'orientations': 298014, 'profile': 96, 'ss_skip': 96} t=1s
[12/123] {'graphs': 12, 'orientations': 325362, 'profile': 102, 'ss_skip': 102} t=1s
[13/123] {'graphs': 13, 'orientations': 355398, 'profile': 110, 'ss_skip': 110} t=1s
[14/123] {'graphs': 14, 'orientations': 384804, 'profile': 118, 'ss_skip': 118} t=1s
[15/123] {'graphs': 15, 'orientations': 411654, 'profile': 130, 'ss_skip': 130} t=1s
[16/123] {'graphs': 16, 'orientations': 443814, 'profile': 138, 'ss_skip': 138} t=1s
[17/123] {'graphs': 17, 'orientations': 471522, 'profile': 150, 'ss_skip': 150} t=1s
[18/123] {'graphs': 18, 'orientations': 501864, 'profile': 160, 'ss_skip': 160} t=1s
[19/123] {'graphs': 19, 'orientations': 531884, 'profile': 162, 'ss_skip': 162} t=1s
[20/123] {'graphs': 20, 'orientations': 561874, 'profile': 164, 'ss_skip': 164} t=1s
[21/123] {'graphs': 21, 'orientations': 588754, 'profile': 170, 'ss_skip': 170} t=1s
[22/123] {'graphs': 22, 'orientations': 620344, 'profile': 172, 'ss_skip': 172} t=1s
[23/123] {'graphs': 23, 'orientations': 648406, 'profile': 186, 'ss_skip': 186} t=1s
[24/123] {'graphs': 24, 'orientations': 679368, 'profile': 190, 'ss_skip': 190} t=1s
[25/123] {'graphs': 25, 'orientations': 708978, 'profile': 198, 'ss_skip': 198} t=1s
[26/123] {'graphs': 26, 'orientations': 739176, 'profile': 202, 'ss_skip': 202} t=1s
[27/123] {'graphs': 27, 'orientations': 765324, 'profile': 218, 'ss_skip': 218} t=1s
[28/123] {'graphs': 28, 'orientations': 793866, 'profile': 228, 'ss_skip': 228} t=2s
[29/123] {'graphs': 29, 'orientations': 824204, 'profile': 238, 'ss_skip': 238} t=2s
[30/123] {'graphs': 30, 'orientations': 854830, 'profile': 244, 'ss_skip': 244} t=2s
[31/123] {'graphs': 31, 'orientations': 881884, 'profile': 260, 'ss_skip': 260} t=2s
[32/123] {'graphs': 32, 'orientations': 909526, 'profile': 272, 'ss_skip': 272} t=2s
[33/123] {'graphs': 33, 'orientations': 939184, 'profile': 278, 'ss_skip': 278} t=2s
[34/123] {'graphs': 34, 'orientations': 964048, 'profile': 290, 'ss_skip': 290} t=2s
[35/123] {'graphs': 35, 'orientations': 994362, 'profile': 300, 'ss_skip': 300} t=2s
[36/123] {'graphs': 36, 'orientations': 1022148, 'profile': 312, 'ss_skip': 312} t=2s
[37/123] {'graphs': 37, 'orientations': 1049664, 'profile': 318, 'ss_skip': 318} t=2s
[38/123] {'graphs': 38, 'orientations': 1073634, 'profile': 336, 'ss_skip': 336} t=2s
[39/123] {'graphs': 39, 'orientations': 1099170, 'profile': 348, 'ss_skip': 348} t=2s
[40/123] {'graphs': 40, 'orientations': 1120746, 'profile': 372, 'ss_skip': 372} t=2s
[41/123] {'graphs': 41, 'orientations': 1153566, 'profile': 382, 'ss_skip': 382} t=2s
[42/123] {'graphs': 42, 'orientations': 1187232, 'profile': 390, 'ss_skip': 390} t=2s
[43/123] {'graphs': 43, 'orientations': 1218468, 'profile': 402, 'ss_skip': 402} t=2s
[44/123] {'graphs': 44, 'orientations': 1246788, 'profile': 418, 'ss_skip': 418} t=2s
[45/123] {'graphs': 45, 'orientations': 1274862, 'profile': 428, 'ss_skip': 428} t=2s
[46/123] {'graphs': 46, 'orientations': 1305222, 'profile': 434, 'ss_skip': 434} t=2s
[47/123] {'graphs': 47, 'orientations': 1331076, 'profile': 440, 'ss_skip': 440} t=2s
[48/123] {'graphs': 48, 'orientations': 1355196, 'profile': 444, 'ss_skip': 444} t=2s
[49/123] {'graphs': 49, 'orientations': 1377804, 'profile': 452, 'ss_skip': 452} t=3s
[50/123] {'graphs': 50, 'orientations': 1402956, 'profile': 460, 'ss_skip': 460} t=3s
[51/123] {'graphs': 51, 'orientations': 1429086, 'profile': 472, 'ss_skip': 472} t=3s
[52/123] {'graphs': 52, 'orientations': 1457502, 'profile': 480, 'ss_skip': 480} t=3s
[53/123] {'graphs': 53, 'orientations': 1486008, 'profile': 488, 'ss_skip': 488} t=3s
[54/123] {'graphs': 54, 'orientations': 1509336, 'profile': 500, 'ss_skip': 500} t=3s
[55/123] {'graphs': 55, 'orientations': 1532976, 'profile': 508, 'ss_skip': 508} t=3s
[56/123] {'graphs': 56, 'orientations': 1553640, 'profile': 516, 'ss_skip': 516} t=3s
[57/123] {'graphs': 57, 'orientations': 1574592, 'profile': 532, 'ss_skip': 532} t=3s
[58/123] {'graphs': 58, 'orientations': 1599672, 'profile': 542, 'ss_skip': 542} t=3s
[59/123] {'graphs': 59, 'orientations': 1627740, 'profile': 546, 'ss_skip': 546} t=3s
