[1/123] {'graphs': 1, 'orientations': 28932} t=0s
[2/123] {'graphs': 2, 'orientations': 61758} t=0s
[3/123] {'graphs': 3, 'orientations': 90678} t=0s
[4/123] {'graphs': 4, 'orientations': 117132} t=0s
[5/123] {'graphs': 5, 'orientations': 144300} t=0s
[6/123] {'graphs': 6, 'orientations': 174714} t=1s
[7/123] {'graphs': 7, 'orientations': 204744} t=1s
[8/123] {'graphs': 8, 'orientations': 233190} t=1s
[9/123] {'graphs': 9, 'orientations': 263310} t=1s
[10/123] {'graphs': 10, 'orientations': 294174} t=1s
[11/123] {'graphs': 11, 'orientations': 322998} t=1s
[12/123] {'graphs': 12, 'orientations': 351318} t=1s
[13/123] {'graphs': 13, 'orientations': 381672} t=1s
[14/123] {'graphs': 14, 'orientations': 408084} t=1s
[15/123] {'graphs': 15, 'orientations': 436800} t=1s
[16/123] {'graphs': 16, 'orientations': 463380} t=1s
[17/123] {'graphs': 17, 'orientations': 489456} t=1s
[18/123] {'graphs': 18, 'orientations': 517566} t=1s
[19/123] {'graphs': 19, 'orientations': 547506} t=1s
[20/123] {'graphs': 20, 'orientations': 576462} t=1s
[21/123] {'graphs': 21, 'orientations': 605292} t=1s
[22/123] {'graphs': 22, 'orientations': 633936} t=1s
[23/123] {'graphs': 23, 'orientations': 664746} t=1s
[24/123] {'graphs': 24, 'orientations': 693012} t=1s
[25/123] {'graphs': 25, 'orientations': 724914} t=1s
[26/123] {'graphs': 26, 'orientations': 753654} t=2s
[27/123] {'graphs': 27, 'orientations': 782082} t=2s
[28/123] {'graphs': 28, 'orientations': 805818} t=2s
[29/123] {'graphs': 29, 'orientations': 831012} t=2s
[30/123] {'graphs': 30, 'orientations': 855384} t=2s
[31/123] {'graphs': 31, 'orientations': 878958} t=2s
[32/123] {'graphs': 32, 'orientations': 902286} t=2s
[33/123] {'graphs': 33, 'orientations': 926514} t=2s
[34/123] {'graphs': 34, 'orientations': 952578} t=2s
[35/123] {'graphs': 35, 'orientations': 977544} t=2s
[36/123] {'graphs': 36, 'orientations': 1001298} t=2s
[37/123] {'graphs': 37, 'orientations': 1024278} t=2s
[38/123] {'graphs': 38, 'orientations': 1048596} t=2s
[39/123] {'graphs': 39, 'orientations': 1072968} t=2s
[40/123] {'graphs': 40, 'orientations': 1098348} t=2s
[41/123] {'graphs': 41, 'orientations': 1124034} t=2s
[42/123] {'graphs': 42, 'orientations': 1149228} t=2s
[43/123] {'graphs': 43, 'orientations': 1172640} t=2s
[44/123] {'graphs': 44, 'orientations': 1197906} t=2s
