GRAPH 3 orientations=361680 profiles=0 ss=0 tau_skip=0 safe=0 checks=0 packed=0 cand=0
GRAPH 11 orientations=708720 profiles=2 ss=0 tau_skip=0 safe=0 checks=2 packed=2 cand=0
GRAPH 19 orientations=1094496 profiles=2 ss=0 tau_skip=0 safe=0 checks=2 packed=2 cand=0
GRAPH 27 orientations=1441500 profiles=4 ss=2 tau_skip=0 safe=0 checks=2 packed=2 cand=0
GRAPH 35 orientations=1816698 profiles=6 ss=4 tau_skip=0 safe=0 checks=2 packed=2 cand=0
GRAPH 43 orientations=2165808 profiles=10 ss=8 tau_skip=0 safe=0 checks=2 packed=2 cand=0
GRAPH 51 orientations=2509074 profiles=12 ss=10 tau_skip=0 safe=0 checks=2 packed=2 cand=0
GRAPH 59 orientations=2835036 profiles=14 ss=12 tau_skip=0 safe=0 checks=2 packed=2 cand=0
GRAPH 67 orientations=3168444 profiles=18 ss=14 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 75 orientations=3370668 profiles=18 ss=14 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 83 orientations=3632508 profiles=18 ss=14 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 91 orientations=3981680 profiles=18 ss=14 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 99 orientations=4325054 profiles=20 ss=16 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 107 orientations=4698818 profiles=20 ss=16 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 115 orientations=5071384 profiles=20 ss=16 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 123 orientations=5413294 profiles=22 ss=18 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 131 orientations=5793426 profiles=22 ss=18 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 139 orientations=6186594 profiles=24 ss=20 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 147 orientations=6567188 profiles=28 ss=24 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 155 orientations=6959576 profiles=30 ss=26 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 163 orientations=7321786 profiles=34 ss=30 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 171 orientations=7631176 profiles=34 ss=30 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 179 orientations=7990204 profiles=36 ss=32 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 187 orientations=8378668 profiles=36 ss=32 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 195 orientations=8656744 profiles=36 ss=32 tau_skip=0 safe=0 checks=4 packed=4 cand=0
GRAPH 203 orientations=9029676 profiles=36 ss=32 tau_skip=0 safe=0 checks=4 packed=4 cand=0
