GRAPH 1 orientations=10 profiles=10 ss=10 tau_skip=0 safe=0 checks=0 packed=0 cand=0 deferred=0
GRAPH 2 orientations=18 profiles=18 ss=16 tau_skip=0 safe=0 checks=2 packed=2 cand=0 deferred=0
GRAPH 3 orientations=26 profiles=26 ss=24 tau_skip=0 safe=0 checks=2 packed=2 cand=0 deferred=0
GRAPH 4 orientations=34 profiles=34 ss=32 tau_skip=0 safe=0 checks=2 packed=2 cand=0 deferred=0
GRAPH 5 orientations=44 profiles=44 ss=36 tau_skip=0 safe=6 checks=2 packed=2 cand=0 deferred=0
GRAPH 6 orientations=52 profiles=52 ss=44 tau_skip=0 safe=6 checks=2 packed=2 cand=0 deferred=0
GRAPH 7 orientations=58 profiles=58 ss=50 tau_skip=0 safe=6 checks=2 packed=2 cand=0 deferred=0
GRAPH 8 orientations=68 profiles=68 ss=60 tau_skip=0 safe=6 checks=2 packed=2 cand=0 deferred=0
GRAPH 9 orientations=72 profiles=72 ss=64 tau_skip=0 safe=6 checks=2 packed=2 cand=0 deferred=0
GRAPH 10 orientations=80 profiles=80 ss=72 tau_skip=0 safe=6 checks=2 packed=2 cand=0 deferred=0
GRAPH 11 orientations=84 profiles=84 ss=76 tau_skip=0 safe=6 checks=2 packed=2 cand=0 deferred=0
GRAPH 12 orientations=96 profiles=96 ss=80 tau_skip=0 safe=14 checks=2 packed=2 cand=0 deferred=0
GRAPH 13 orientations=102 profiles=102 ss=86 tau_skip=0 safe=14 checks=2 packed=2 cand=0 deferred=0
GRAPH 14 orientations=108 profiles=108 ss=92 tau_skip=0 safe=14 checks=2 packed=2 cand=0 deferred=0
GRAPH 15 orientations=110 profiles=110 ss=94 tau_skip=0 safe=14 checks=2 packed=2 cand=0 deferred=0
GRAPH 16 orientations=118 profiles=118 ss=102 tau_skip=0 safe=14 checks=2 packed=2 cand=0 deferred=0
GRAPH 17 orientations=126 profiles=126 ss=102 tau_skip=0 safe=22 checks=2 packed=2 cand=0 deferred=0
GRAPH 18 orientations=136 profiles=136 ss=112 tau_skip=0 safe=22 checks=2 packed=2 cand=0 deferred=0
GRAPH 19 orientations=144 profiles=144 ss=120 tau_skip=0 safe=22 checks=2 packed=2 cand=0 deferred=0
GRAPH 20 orientations=154 profiles=154 ss=126 tau_skip=0 safe=22 checks=6 packed=6 cand=0 deferred=0
GRAPH 21 orientations=160 profiles=160 ss=132 tau_skip=0 safe=22 checks=6 packed=6 cand=0 deferred=0
GRAPH 22 orientations=172 profiles=172 ss=140 tau_skip=0 safe=26 checks=6 packed=6 cand=0 deferred=0
GRAPH 23 orientations=184 profiles=184 ss=140 tau_skip=6 safe=32 checks=6 packed=6 cand=0 deferred=0
GRAPH 24 orientations=194 profiles=194 ss=146 tau_skip=6 safe=32 checks=10 packed=10 cand=0 deferred=0
GRAPH 25 orientations=206 profiles=206 ss=146 tau_skip=6 safe=44 checks=10 packed=10 cand=0 deferred=0
GRAPH 26 orientations=222 profiles=222 ss=146 tau_skip=6 safe=60 checks=10 packed=10 cand=0 deferred=0
GRAPH 27 orientations=226 profiles=226 ss=150 tau_skip=6 safe=60 checks=10 packed=10 cand=0 deferred=0
GRAPH 28 orientations=230 profiles=230 ss=154 tau_skip=6 safe=60 checks=10 packed=10 cand=0 deferred=0
GRAPH 29 orientations=240 profiles=240 ss=154 tau_skip=6 safe=64 checks=16 packed=16 cand=0 deferred=0
GRAPH 30 orientations=256 profiles=256 ss=154 tau_skip=6 safe=80 checks=16 packed=16 cand=0 deferred=0
GRAPH 31 orientations=262 profiles=262 ss=160 tau_skip=6 safe=80 checks=16 packed=16 cand=0 deferred=0
GRAPH 32 orientations=272 profiles=272 ss=162 tau_skip=6 safe=88 checks=16 packed=16 cand=0 deferred=0
GRAPH 33 orientations=280 profiles=280 ss=166 tau_skip=6 safe=88 checks=20 packed=20 cand=0 deferred=0
GRAPH 34 orientations=280 profiles=280 ss=166 tau_skip=6 safe=88 checks=20 packed=20 cand=0 deferred=0
GRAPH 35 orientations=288 profiles=288 ss=172 tau_skip=6 safe=88 checks=22 packed=22 cand=0 deferred=0
GRAPH 36 orientations=294 profiles=294 ss=174 tau_skip=6 safe=88 checks=26 packed=26 cand=0 deferred=0
GRAPH 37 orientations=298 profiles=298 ss=178 tau_skip=6 safe=88 checks=26 packed=26 cand=0 deferred=0
GRAPH 38 orientations=302 profiles=302 ss=182 tau_skip=6 safe=88 checks=26 packed=26 cand=0 deferred=0
GRAPH 39 orientations=314 profiles=314 ss=182 tau_skip=18 safe=88 checks=26 packed=26 cand=0 deferred=0
GRAPH 40 orientations=322 profiles=322 ss=190 tau_skip=18 safe=88 checks=26 packed=26 cand=0 deferred=0
GRAPH 41 orientations=328 profiles=328 ss=196 tau_skip=18 safe=88 checks=26 packed=26 cand=0 deferred=0
GRAPH 42 orientations=328 profiles=328 ss=196 tau_skip=18 safe=88 checks=26 packed=26 cand=0 deferred=0
GRAPH 43 orientations=334 profiles=334 ss=202 tau_skip=18 safe=88 checks=26 packed=26 cand=0 deferred=0
GRAPH 44 orientations=334 profiles=334 ss=202 tau_skip=18 safe=88 checks=26 packed=26 cand=0 deferred=0
GRAPH 45 orientations=340 profiles=340 ss=208 tau_skip=18 safe=88 checks=26 packed=26 cand=0 deferred=0
GRAPH 46 orientations=344 profiles=344 ss=212 tau_skip=18 safe=88 checks=26 packed=26 cand=0 deferred=0
GRAPH 47 orientations=356 profiles=356 ss=212 tau_skip=30 safe=88 checks=26 packed=26 cand=0 deferred=0
GRAPH 48 orientations=364 profiles=364 ss=216 tau_skip=30 safe=88 checks=30 packed=30 cand=0 deferred=0
GRAPH 49 orientations=370 profiles=370 ss=220 tau_skip=30 safe=88 checks=32 packed=32 cand=0 deferred=0
GRAPH 50 orientations=384 profiles=384 ss=234 tau_skip=30 safe=88 checks=32 packed=32 cand=0 deferred=0
GRAPH 51 orientations=390 profiles=390 ss=234 tau_skip=30 safe=88 checks=38 packed=38 cand=0 deferred=0
GRAPH 52 orientations=396 profiles=396 ss=234 tau_skip=30 safe=88 checks=44 packed=44 cand=0 deferred=0
GRAPH 53 orientations=406 profiles=406 ss=234 tau_skip=30 safe=96 checks=46 packed=46 cand=0 deferred=0
GRAPH 54 orientations=412 profiles=412 ss=240 tau_skip=30 safe=96 checks=46 packed=46 cand=0 deferred=0
GRAPH 55 orientations=418 profiles=418 ss=246 tau_skip=30 safe=96 checks=46 packed=46 cand=0 deferred=0
GRAPH 56 orientations=426 profiles=426 ss=246 tau_skip=30 safe=98 checks=52 packed=52 cand=0 deferred=0
GRAPH 57 orientations=434 profiles=434 ss=252 tau_skip=30 safe=98 checks=54 packed=54 cand=0 deferred=0
GRAPH 58 orientations=446 profiles=446 ss=252 tau_skip=30 safe=98 checks=66 packed=66 cand=0 deferred=0
GRAPH 59 orientations=460 profiles=460 ss=254 tau_skip=30 safe=110 checks=66 packed=66 cand=0 deferred=0
GRAPH 60 orientations=472 profiles=472 ss=266 tau_skip=30 safe=110 checks=66 packed=66 cand=0 deferred=0
GRAPH 61 orientations=484 profiles=484 ss=278 tau_skip=30 safe=110 checks=66 packed=66 cand=0 deferred=0
GRAPH 62 orientations=492 profiles=492 ss=278 tau_skip=34 safe=110 checks=70 packed=70 cand=0 deferred=0
GRAPH 63 orientations=504 profiles=504 ss=284 tau_skip=34 safe=110 checks=76 packed=76 cand=0 deferred=0
GRAPH 64 orientations=514 profiles=514 ss=288 tau_skip=34 safe=114 checks=78 packed=78 cand=0 deferred=0
GRAPH 65 orientations=522 profiles=522 ss=292 tau_skip=34 safe=116 checks=80 packed=80 cand=0 deferred=0
GRAPH 66 orientations=532 profiles=532 ss=302 tau_skip=34 safe=116 checks=80 packed=80 cand=0 deferred=0
GRAPH 67 orientations=542 profiles=542 ss=312 tau_skip=34 safe=116 checks=80 packed=80 cand=0 deferred=0
GRAPH 68 orientations=550 profiles=550 ss=320 tau_skip=34 safe=116 checks=80 packed=80 cand=0 deferred=0
GRAPH 69 orientations=558 profiles=558 ss=328 tau_skip=34 safe=116 checks=80 packed=80 cand=0 deferred=0
GRAPH 70 orientations=566 profiles=566 ss=336 tau_skip=34 safe=116 checks=80 packed=80 cand=0 deferred=0
GRAPH 71 orientations=574 profiles=574 ss=344 tau_skip=34 safe=116 checks=80 packed=80 cand=0 deferred=0
GRAPH 72 orientations=582 profiles=582 ss=348 tau_skip=34 safe=116 checks=84 packed=84 cand=0 deferred=0
GRAPH 73 orientations=594 profiles=594 ss=360 tau_skip=34 safe=116 checks=84 packed=84 cand=0 deferred=0
