[d27-d27 seed=71] step=1 checked=1 best=3084 tau=3 m=46 cuts=266 tight=18 t=2s
[d27-d27 seed=71] step=20 checked=7 best=3163 tau=3 m=47 cuts=322 tight=16 t=34s
[d27-d27 seed=71] step=21 checked=8 best=3182 tau=3 m=48 cuts=346 tight=15 t=35s
[d27-d27 seed=71] step=24 checked=9 best=3326 tau=3 m=49 cuts=395 tight=14 t=39s
[d27-d27 seed=71] step=30 checked=12 best=3457 tau=3 m=48 cuts=421 tight=14 t=42s
[d27-d27 seed=71] step=32 checked=14 best=3642 tau=3 m=48 cuts=438 tight=15 t=45s
[d27-d27 seed=71] step=34 checked=15 best=3696 tau=3 m=49 cuts=469 tight=14 t=46s
[d27-d27 seed=71] step=39 checked=19 best=3806 tau=3 m=49 cuts=491 tight=14 t=49s
[d27-d27 seed=71] step=41 checked=20 best=3940 tau=3 m=50 cuts=538 tight=13 t=50s
[d27-d27 seed=71] step=44 checked=22 best=4246 tau=3 m=49 cuts=579 tight=14 t=52s
[d27-d27 seed=71] step=63 checked=31 best=4870 tau=3 m=50 cuts=724 tight=13 t=63s
[d27-d27 seed=71] step=67 checked=34 best=5199 tau=3 m=51 cuts=830 tight=11 t=65s
[d27-d27 seed=71] step=68 checked=35 best=5444 tau=3 m=51 cuts=879 tight=11 t=65s
[d27-d27 seed=71] step=71 checked=38 best=5514 tau=3 m=51 cuts=893 tight=11 t=66s
[d27-d27 seed=71] step=77 checked=40 best=5515 tau=3 m=50 cuts=893 tight=11 t=68s
[d27-d27 seed=71] step=85 checked=47 best=5616 tau=3 m=49 cuts=893 tight=12 t=71s
[d27-d27 seed=71] step=90 checked=51 best=5986 tau=3 m=49 cuts=967 tight=12 t=72s
[d27-d27 seed=71] step=96 checked=55 best=6285 tau=3 m=50 cuts=1047 tight=11 t=73s
[d27-d27 seed=71] step=115 checked=66 best=6311 tau=3 m=49 cuts=1052 tight=11 t=77s
[d27-d27 seed=71] step=116 checked=67 best=7272 tau=3 m=48 cuts=1204 tight=13 t=77s
[d27-d27 seed=71] step=118 checked=69 best=7373 tau=3 m=47 cuts=1204 tight=14 t=77s
[d27-d27 seed=71] step=119 checked=70 best=7662 tau=3 m=48 cuts=1302 tight=12 t=78s
[d27-d27 seed=71] step=131 checked=76 best=8013 tau=3 m=47 cuts=1372 tight=12 t=80s
[d27-d27 seed=71] step=367 checked=188 best=8201 tau=3 m=49 cuts=1470 tight=9 t=265s
[d27-d27 seed=71] step=394 checked=203 best=8255 tau=3 m=50 cuts=1501 tight=8 t=276s
[d27-d27 seed=71] step=396 checked=204 best=9086 tau=3 m=49 cuts=1667 tight=8 t=277s
[d27-d27 seed=71] step=400 checked=206 best=9200 tau=3 m=50 cuts=1730 tight=6 t=279s
[d27-d27 seed=71] step=403 checked=208 best=10006 tau=3 m=49 cuts=1851 tight=8 t=281s
[d27-d27 seed=71] step=404 checked=209 best=10207 tau=3 m=48 cuts=1871 tight=9 t=282s
[d27-d27 seed=71] step=421 checked=217 best=11436 tau=3 m=49 cuts=2117 tight=9 t=290s
[d27-d27 seed=71] step=427 checked=219 best=11547 tau=3 m=48 cuts=2119 tight=10 t=293s
[d27-d27 seed=71] step=430 checked=222 best=12353 tau=3 m=47 cuts=2280 tight=10 t=295s
[d27-d27 seed=71] step=431 checked=223 best=13273 tau=3 m=47 cuts=2484 tight=9 t=296s
[d27-d27 seed=71] step=434 checked=225 best=17132 tau=3 m=48 cuts=3276 tight=8 t=297s
[d27-d27 seed=71] step=437 checked=228 best=17133 tau=3 m=47 cuts=3276 tight=8 t=299s
[d27-d27 seed=71] step=440 checked=231 best=17418 tau=3 m=47 cuts=3333 tight=8 t=302s
[d27-d27 seed=71] step=441 checked=232 best=17482 tau=3 m=48 cuts=3366 tight=7 t=303s
