[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 500, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 500, 'dup': 0, 'tau3': 500} t=12s
[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 1000, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 1000, 'dup': 0, 'tau3': 1000} t=28s
[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 1500, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 1500, 'dup': 0, 'tau3': 1500} t=44s
[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 2000, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 2000, 'dup': 0, 'tau3': 2000} t=67s
[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 2500, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 2500, 'dup': 0, 'tau3': 2500} t=86s
[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 3000, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 3000, 'dup': 0, 'tau3': 3000} t=109s
[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 3500, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 3500, 'dup': 0, 'tau3': 3500} t=133s
[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 4000, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 4000, 'dup': 0, 'tau3': 4000} t=175s
[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 4500, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 4500, 'dup': 0, 'tau3': 4500} t=205s
[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 5000, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 5000, 'dup': 0, 'tau3': 5000} t=228s
[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 5500, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 5500, 'dup': 0, 'tau3': 5500} t=250s
[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 6000, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 6000, 'dup': 0, 'tau3': 6000} t=278s
[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 6500, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 6500, 'dup': 0, 'tau3': 6500} t=320s
[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 7000, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 7000, 'dup': 0, 'tau3': 7000} t=360s
[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 7500, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 7500, 'dup': 0, 'tau3': 7500} t=416s
[D2 exhaustive] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 8000, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 8000, 'dup': 0, 'tau3': 8000} t=487s
