[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 2000, 'dup': 97, 'disconnected': 3, 'tau1': 1997} t=10s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 4000, 'dup': 205, 'disconnected': 6, 'tau1': 3994} t=19s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 6000, 'dup': 313, 'disconnected': 9, 'tau1': 5991} t=34s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 8000, 'dup': 421, 'disconnected': 12, 'tau1': 7988} t=44s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 10000, 'dup': 529, 'disconnected': 15, 'tau1': 9985} t=52s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 12000, 'dup': 637, 'disconnected': 18, 'tau1': 11982} t=64s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 14000, 'dup': 745, 'disconnected': 21, 'tau1': 13979} t=79s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 16000, 'dup': 853, 'disconnected': 24, 'tau1': 15976} t=92s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 18000, 'dup': 934, 'disconnected': 27, 'tau1': 17973} t=106s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 20000, 'dup': 1720, 'disconnected': 27, 'tau1': 19973} t=117s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 929, 'ilp_tested': 468, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 8, 'seen': 22000, 'dup': 2003, 'disconnected': 27, 'tau1': 20576, 'tau3': 563, 'tau2': 834} t=137s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 1870, 'ilp_tested': 969, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 21, 'seen': 24000, 'dup': 2192, 'disconnected': 27, 'tau1': 21134, 'tau3': 1139, 'tau2': 1700} t=163s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 2374, 'ilp_tested': 1907, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 27, 'seen': 26000, 'dup': 2381, 'disconnected': 27, 'tau1': 21692, 'tau3': 1163, 'tau2': 3118} t=197s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 2764, 'ilp_tested': 2959, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 31, 'seen': 28000, 'dup': 2570, 'disconnected': 27, 'tau1': 22250, 'tau3': 1717, 'tau2': 4006} t=237s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 3153, 'ilp_tested': 4012, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 36, 'seen': 30000, 'dup': 2759, 'disconnected': 27, 'tau1': 22808, 'tau3': 2294, 'tau2': 4871} t=286s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 3635, 'ilp_tested': 4972, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 40, 'seen': 32000, 'dup': 2948, 'disconnected': 27, 'tau1': 23366, 'tau3': 2315, 'tau2': 6292} t=327s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 4024, 'ilp_tested': 6025, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 45, 'seen': 34000, 'dup': 3137, 'disconnected': 27, 'tau1': 23924, 'tau3': 2871, 'tau2': 7178} t=372s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 4417, 'ilp_tested': 7074, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 46, 'seen': 36000, 'dup': 3326, 'disconnected': 27, 'tau1': 24482, 'tau3': 3448, 'tau2': 8043} t=427s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 4719, 'ilp_tested': 7268, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 48, 'seen': 38000, 'dup': 5085, 'disconnected': 27, 'tau1': 25986, 'tau3': 3614, 'tau2': 8373} t=444s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 5614, 'ilp_tested': 7854, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 54, 'seen': 40000, 'dup': 5977, 'disconnected': 27, 'tau1': 26505, 'tau3': 4114, 'tau2': 9354} t=478s
[exhaustD1 shard=6] {'tau0': 0, 'rho_filtered': 6075, 'ilp_tested': 8743, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 59, 'seen': 42000, 'dup': 6604, 'disconnected': 27, 'tau1': 27155, 'tau3': 4192, 'tau2': 10626} t=517s
