[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 2000, 'dup': 27, 'tau1': 2000} t=10s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 680, 'ilp_tested': 546, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 6, 'seen': 4000, 'dup': 54, 'tau1': 2774, 'tau2': 1226} t=39s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 1438, 'ilp_tested': 1158, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 14, 'seen': 6000, 'dup': 81, 'tau1': 3404, 'tau2': 2596} t=80s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 2276, 'ilp_tested': 1764, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 23, 'seen': 8000, 'dup': 421, 'tau1': 3960, 'tau2': 4040} t=111s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 2830, 'ilp_tested': 2580, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 33, 'seen': 10000, 'dup': 528, 'tau1': 4590, 'tau2': 5410} t=143s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 3375, 'ilp_tested': 3405, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 41, 'seen': 12000, 'dup': 610, 'tau1': 5220, 'tau2': 6780} t=182s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 4128, 'ilp_tested': 4022, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 46, 'seen': 14000, 'dup': 718, 'tau1': 5850, 'tau2': 8150} t=218s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 4686, 'ilp_tested': 4856, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 52, 'seen': 16000, 'dup': 826, 'tau1': 6458, 'tau2': 9542} t=259s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 5262, 'ilp_tested': 5700, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 62, 'seen': 18000, 'dup': 934, 'tau1': 7038, 'tau2': 10962} t=305s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 5489, 'ilp_tested': 6042, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 62, 'seen': 20000, 'dup': 1042, 'tau1': 8469, 'tau2': 11531} t=332s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 5873, 'ilp_tested': 6389, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 69, 'seen': 22000, 'dup': 1150, 'tau1': 9738, 'tau2': 11920, 'tau3': 342} t=348s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 6559, 'ilp_tested': 7073, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 80, 'seen': 24000, 'dup': 1258, 'tau1': 10368, 'tau2': 12668, 'tau3': 964} t=381s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 7144, 'ilp_tested': 7858, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 86, 'seen': 26000, 'dup': 1897, 'tau1': 10998, 'tau2': 13742, 'tau3': 1260} t=417s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 7322, 'ilp_tested': 9122, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 86, 'seen': 28000, 'dup': 2570, 'tau1': 11556, 'tau2': 14727, 'tau3': 1617, 'tau4': 100} t=464s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 7544, 'ilp_tested': 10270, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 86, 'seen': 30000, 'dup': 2759, 'tau1': 12186, 'tau2': 15520, 'tau3': 2082, 'tau4': 212} t=522s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 7990, 'ilp_tested': 11194, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 90, 'seen': 32000, 'dup': 2948, 'tau1': 12816, 'tau2': 16869, 'tau3': 2087, 'tau4': 228} t=564s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 8208, 'ilp_tested': 12346, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 94, 'seen': 34000, 'dup': 3137, 'tau1': 13446, 'tau2': 17683, 'tau3': 2547, 'tau4': 324} t=623s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 8429, 'ilp_tested': 13495, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 95, 'seen': 36000, 'dup': 3326, 'tau1': 14076, 'tau2': 18476, 'tau3': 3011, 'tau4': 437} t=700s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 8429, 'ilp_tested': 13535, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 95, 'seen': 38000, 'dup': 3515, 'tau1': 16036, 'tau2': 18497, 'tau3': 3015, 'tau4': 452} t=714s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 9111, 'ilp_tested': 14185, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 101, 'seen': 40000, 'dup': 3704, 'tau1': 16704, 'tau2': 19269, 'tau3': 3575, 'tau4': 452} t=750s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 9806, 'ilp_tested': 14860, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 108, 'seen': 42000, 'dup': 3893, 'tau1': 17334, 'tau2': 20063, 'tau3': 4151, 'tau4': 452} t=795s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 10114, 'ilp_tested': 15724, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 110, 'seen': 44000, 'dup': 5214, 'tau1': 18162, 'tau2': 21097, 'tau3': 4288, 'tau4': 453} t=828s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 10300, 'ilp_tested': 16935, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 111, 'seen': 46000, 'dup': 6219, 'tau1': 18765, 'tau2': 22016, 'tau3': 4655, 'tau4': 564} t=888s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 10742, 'ilp_tested': 17863, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 119, 'seen': 48000, 'dup': 6501, 'tau1': 19395, 'tau2': 23309, 'tau3': 4696, 'tau4': 600} t=933s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 10960, 'ilp_tested': 19015, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 121, 'seen': 50000, 'dup': 6771, 'tau1': 20025, 'tau2': 24198, 'tau3': 5102, 'tau4': 675} t=989s
[exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 11178, 'ilp_tested': 20167, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 123, 'seen': 52000, 'dup': 7041, 'tau1': 20655, 'tau2': 25009, 'tau3': 5548, 'tau4': 788} t=1058s
FINAL [exhaustD1 shard=7] {'tau0': 0, 'rho_filtered': 11178, 'ilp_tested': 20175, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 123, 'seen': 52008, 'dup': 7041, 'tau1': 20655, 'tau2': 25013, 'tau3': 5548, 'tau4': 792} t=1059s
