[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 2000, 'dup': 27, 'disconnected': 9, 'tau1': 1991} t=13s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 273, 'ilp_tested': 543, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 3, 'seen': 4000, 'dup': 54, 'disconnected': 9, 'tau1': 3175, 'tau2': 816} t=42s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 577, 'ilp_tested': 1151, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 7, 'seen': 6000, 'dup': 81, 'disconnected': 9, 'tau1': 4263, 'tau2': 1728} t=83s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 976, 'ilp_tested': 1664, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 8, 'seen': 8000, 'dup': 108, 'disconnected': 9, 'tau1': 5351, 'tau2': 2640} t=112s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 1100, 'ilp_tested': 2500, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 8, 'seen': 10000, 'dup': 135, 'disconnected': 9, 'tau1': 6391, 'tau2': 3600} t=146s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 1212, 'ilp_tested': 3302, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 10, 'seen': 12000, 'dup': 162, 'disconnected': 9, 'tau1': 7477, 'tau2': 4514} t=181s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 1536, 'ilp_tested': 4013, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 16, 'seen': 14000, 'dup': 545, 'disconnected': 9, 'tau1': 8442, 'tau2': 5549} t=221s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 1643, 'ilp_tested': 4821, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 17, 'seen': 16000, 'dup': 826, 'disconnected': 9, 'tau1': 9527, 'tau2': 6464} t=263s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 1767, 'ilp_tested': 5655, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 17, 'seen': 18000, 'dup': 934, 'disconnected': 9, 'tau1': 10569, 'tau2': 7422} t=307s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 1814, 'ilp_tested': 5998, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 18, 'seen': 20000, 'dup': 1042, 'disconnected': 18, 'tau1': 12170, 'tau2': 7812} t=332s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 1959, 'ilp_tested': 6349, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 21, 'seen': 22000, 'dup': 1142, 'disconnected': 18, 'tau1': 13674, 'tau2': 8308} t=348s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 2271, 'ilp_tested': 6957, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 24, 'seen': 24000, 'dup': 1231, 'disconnected': 18, 'tau1': 14754, 'tau2': 9228} t=375s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 2753, 'ilp_tested': 7405, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 27, 'seen': 26000, 'dup': 1339, 'disconnected': 18, 'tau1': 15824, 'tau2': 10158} t=399s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 2877, 'ilp_tested': 8211, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 27, 'seen': 28000, 'dup': 1447, 'disconnected': 18, 'tau1': 16894, 'tau2': 11088} t=430s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 2978, 'ilp_tested': 9040, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 30, 'seen': 30000, 'dup': 1555, 'disconnected': 18, 'tau1': 17964, 'tau2': 12018} t=464s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 3321, 'ilp_tested': 9787, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 31, 'seen': 32000, 'dup': 2107, 'disconnected': 18, 'tau1': 18874, 'tau2': 13108} t=501s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 3445, 'ilp_tested': 10706, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 31, 'seen': 34000, 'dup': 3137, 'disconnected': 18, 'tau1': 19831, 'tau2': 14151} t=546s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 3568, 'ilp_tested': 11529, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 32, 'seen': 36000, 'dup': 3326, 'disconnected': 18, 'tau1': 20885, 'tau2': 15097} t=596s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 3568, 'ilp_tested': 11560, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 32, 'seen': 38000, 'dup': 3515, 'disconnected': 27, 'tau1': 22845, 'tau2': 15128} t=609s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 3889, 'ilp_tested': 12156, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 34, 'seen': 40000, 'dup': 3704, 'disconnected': 27, 'tau1': 23928, 'tau2': 16045} t=643s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 4216, 'ilp_tested': 12775, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 41, 'seen': 42000, 'dup': 3893, 'disconnected': 27, 'tau1': 24982, 'tau2': 16991} t=682s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 4543, 'ilp_tested': 13394, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 41, 'seen': 44000, 'dup': 4082, 'disconnected': 27, 'tau1': 26036, 'tau2': 17937} t=714s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 4667, 'ilp_tested': 14216, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 41, 'seen': 46000, 'dup': 4271, 'disconnected': 27, 'tau1': 27090, 'tau2': 18883} t=750s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 4791, 'ilp_tested': 15038, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 41, 'seen': 48000, 'dup': 4460, 'disconnected': 27, 'tau1': 28144, 'tau2': 19829} t=793s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 5129, 'ilp_tested': 15745, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 43, 'seen': 50000, 'dup': 5744, 'disconnected': 27, 'tau1': 29099, 'tau2': 20874} t=831s
[exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 5261, 'ilp_tested': 16695, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 43, 'seen': 52000, 'dup': 7039, 'disconnected': 27, 'tau1': 30017, 'tau2': 21956} t=888s
FINAL [exhaustD1 shard=2] {'tau0': 0, 'rho_filtered': 5261, 'ilp_tested': 16703, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 43, 'seen': 52008, 'dup': 7041, 'disconnected': 27, 'tau1': 30017, 'tau2': 21964} t=889s
