[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 2000, 'dup': 97, 'disconnected': 3, 'tau1': 1997} t=8s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 4000, 'dup': 205, 'disconnected': 6, 'tau1': 3994} t=16s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 6000, 'dup': 313, 'disconnected': 9, 'tau1': 5991} t=26s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 8000, 'dup': 421, 'disconnected': 12, 'tau1': 7988} t=34s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 10000, 'dup': 529, 'disconnected': 15, 'tau1': 9985} t=41s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 12000, 'dup': 637, 'disconnected': 18, 'tau1': 11982} t=49s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 14000, 'dup': 745, 'disconnected': 21, 'tau1': 13979} t=59s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 16000, 'dup': 853, 'disconnected': 24, 'tau1': 15976} t=69s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 18000, 'dup': 934, 'disconnected': 27, 'tau1': 17973} t=82s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 20000, 'dup': 1747, 'disconnected': 27, 'tau1': 19973} t=92s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 947, 'ilp_tested': 486, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 10, 'seen': 22000, 'dup': 2039, 'disconnected': 27, 'tau1': 20540, 'tau3': 579, 'tau2': 854} t=110s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 1873, 'ilp_tested': 991, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 15, 'seen': 24000, 'dup': 2371, 'disconnected': 27, 'tau1': 21109, 'tau3': 1140, 'tau2': 1724} t=132s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 2376, 'ilp_tested': 1932, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 20, 'seen': 26000, 'dup': 2641, 'disconnected': 27, 'tau1': 21665, 'tau3': 1162, 'tau2': 3146} t=162s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 2772, 'ilp_tested': 2981, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 24, 'seen': 28000, 'dup': 2896, 'disconnected': 27, 'tau1': 22220, 'tau3': 1728, 'tau2': 4025} t=196s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 3183, 'ilp_tested': 4021, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 29, 'seen': 30000, 'dup': 3139, 'disconnected': 27, 'tau1': 22769, 'tau3': 2256, 'tau2': 4948} t=239s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 3640, 'ilp_tested': 5012, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 32, 'seen': 32000, 'dup': 3382, 'disconnected': 27, 'tau1': 23321, 'tau3': 2314, 'tau2': 6338} t=276s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 4027, 'ilp_tested': 6073, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 37, 'seen': 34000, 'dup': 3625, 'disconnected': 27, 'tau1': 23873, 'tau3': 2897, 'tau2': 7203} t=316s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 4305, 'ilp_tested': 7047, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 39, 'seen': 36000, 'dup': 4123, 'disconnected': 27, 'tau1': 24621, 'tau3': 3372, 'tau2': 7980} t=361s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 4848, 'ilp_tested': 7290, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 44, 'seen': 38000, 'dup': 5725, 'disconnected': 27, 'tau1': 25835, 'tau3': 3611, 'tau2': 8527} t=378s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 5713, 'ilp_tested': 7732, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 52, 'seen': 40000, 'dup': 6564, 'disconnected': 27, 'tau1': 26528, 'tau3': 3982, 'tau2': 9463} t=402s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 6029, 'ilp_tested': 8780, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 59, 'seen': 42000, 'dup': 7072, 'disconnected': 27, 'tau1': 27164, 'tau3': 4161, 'tau2': 10648} t=439s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 6324, 'ilp_tested': 9921, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 63, 'seen': 44000, 'dup': 7532, 'disconnected': 27, 'tau1': 27728, 'tau3': 4684, 'tau2': 11561} t=484s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 6759, 'ilp_tested': 10903, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 69, 'seen': 46000, 'dup': 7992, 'disconnected': 27, 'tau1': 28311, 'tau3': 4900, 'tau2': 12762} t=532s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 7075, 'ilp_tested': 11997, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 69, 'seen': 48000, 'dup': 8499, 'disconnected': 27, 'tau1': 28901, 'tau3': 5251, 'tau2': 13821} t=582s
[exhaustD1 shard=3] {'tau0': 0, 'rho_filtered': 7363, 'ilp_tested': 13151, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 71, 'seen': 50000, 'dup': 8949, 'disconnected': 27, 'tau1': 29459, 'tau3': 5779, 'tau2': 14735} t=655s
