[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 2000, 'dup': 27, 'tau1': 2000} t=8s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 680, 'ilp_tested': 546, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 6, 'seen': 4000, 'dup': 54, 'tau1': 2774, 'tau2': 1226} t=32s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 1442, 'ilp_tested': 1154, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 10, 'seen': 6000, 'dup': 81, 'tau1': 3404, 'tau2': 2596} t=64s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 2278, 'ilp_tested': 1762, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 21, 'seen': 8000, 'dup': 421, 'tau1': 3960, 'tau2': 4040} t=93s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 2837, 'ilp_tested': 2573, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 26, 'seen': 10000, 'dup': 528, 'tau1': 4590, 'tau2': 5410} t=121s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 3386, 'ilp_tested': 3394, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 30, 'seen': 12000, 'dup': 610, 'tau1': 5220, 'tau2': 6780} t=153s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 4132, 'ilp_tested': 4018, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 42, 'seen': 14000, 'dup': 718, 'tau1': 5850, 'tau2': 8150} t=182s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 4694, 'ilp_tested': 4848, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 44, 'seen': 16000, 'dup': 826, 'tau1': 6458, 'tau2': 9542} t=216s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 5273, 'ilp_tested': 5689, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 51, 'seen': 18000, 'dup': 934, 'tau1': 7038, 'tau2': 10962} t=254s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 5495, 'ilp_tested': 6036, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 56, 'seen': 20000, 'dup': 1042, 'tau1': 8469, 'tau2': 11531} t=277s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 5883, 'ilp_tested': 6379, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 59, 'seen': 22000, 'dup': 1150, 'tau1': 9738, 'tau2': 11920, 'tau3': 342} t=291s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 6574, 'ilp_tested': 7058, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 65, 'seen': 24000, 'dup': 1258, 'tau1': 10368, 'tau2': 12668, 'tau3': 964} t=318s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 7160, 'ilp_tested': 7842, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 70, 'seen': 26000, 'dup': 1900, 'tau1': 10998, 'tau2': 13742, 'tau3': 1260} t=348s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 7336, 'ilp_tested': 9108, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 72, 'seen': 28000, 'dup': 2570, 'tau1': 11556, 'tau2': 14727, 'tau3': 1617, 'tau4': 100} t=389s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 7556, 'ilp_tested': 10258, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 74, 'seen': 30000, 'dup': 2759, 'tau1': 12186, 'tau2': 15520, 'tau3': 2082, 'tau4': 212} t=436s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 8001, 'ilp_tested': 11183, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 79, 'seen': 32000, 'dup': 2948, 'tau1': 12816, 'tau2': 16869, 'tau3': 2087, 'tau4': 228} t=470s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 8221, 'ilp_tested': 12333, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 81, 'seen': 34000, 'dup': 3137, 'tau1': 13446, 'tau2': 17683, 'tau3': 2547, 'tau4': 324} t=516s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 8441, 'ilp_tested': 13483, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 83, 'seen': 36000, 'dup': 3326, 'tau1': 14076, 'tau2': 18476, 'tau3': 3011, 'tau4': 437} t=571s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 8441, 'ilp_tested': 13523, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 83, 'seen': 38000, 'dup': 3515, 'tau1': 16036, 'tau2': 18497, 'tau3': 3015, 'tau4': 452} t=581s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 9124, 'ilp_tested': 14172, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 88, 'seen': 40000, 'dup': 3704, 'tau1': 16704, 'tau2': 19269, 'tau3': 3575, 'tau4': 452} t=615s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 9813, 'ilp_tested': 14853, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 101, 'seen': 42000, 'dup': 3893, 'tau1': 17334, 'tau2': 20063, 'tau3': 4151, 'tau4': 452} t=661s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 10119, 'ilp_tested': 15719, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 105, 'seen': 44000, 'dup': 5215, 'tau1': 18162, 'tau2': 21097, 'tau3': 4288, 'tau4': 453} t=696s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 10302, 'ilp_tested': 16933, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 109, 'seen': 46000, 'dup': 6219, 'tau1': 18765, 'tau2': 22016, 'tau3': 4655, 'tau4': 564} t=754s
[exhaustD1 shard=4] {'tau0': 0, 'rho_filtered': 10746, 'ilp_tested': 17859, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 115, 'seen': 48000, 'dup': 6501, 'tau1': 19395, 'tau2': 23309, 'tau3': 4696, 'tau4': 600} t=795s
