[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 0, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 2000, 'dup': 27, 'tau1': 2000} t=17s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 677, 'ilp_tested': 549, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 9, 'seen': 4000, 'dup': 54, 'tau1': 2774, 'tau2': 1226} t=52s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 1439, 'ilp_tested': 1157, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 13, 'seen': 6000, 'dup': 81, 'tau1': 3404, 'tau2': 2596} t=101s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 2289, 'ilp_tested': 1676, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 20, 'seen': 8000, 'dup': 108, 'tau1': 4035, 'tau2': 3965} t=136s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 2884, 'ilp_tested': 2522, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 30, 'seen': 10000, 'dup': 135, 'tau1': 4594, 'tau2': 5406} t=176s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 3445, 'ilp_tested': 3331, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 39, 'seen': 12000, 'dup': 162, 'tau1': 5224, 'tau2': 6776} t=223s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 4152, 'ilp_tested': 4043, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 46, 'seen': 14000, 'dup': 545, 'tau1': 5805, 'tau2': 8195} t=272s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 4688, 'ilp_tested': 4854, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 50, 'seen': 16000, 'dup': 826, 'tau1': 6458, 'tau2': 9542} t=318s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 5268, 'ilp_tested': 5694, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 56, 'seen': 18000, 'dup': 934, 'tau1': 7038, 'tau2': 10962} t=373s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 5491, 'ilp_tested': 6040, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 60, 'seen': 20000, 'dup': 1042, 'tau1': 8469, 'tau2': 11531} t=407s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 5878, 'ilp_tested': 6384, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 64, 'seen': 22000, 'dup': 1141, 'tau1': 9738, 'tau2': 11920, 'tau3': 342} t=429s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 6576, 'ilp_tested': 7056, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 69, 'seen': 24000, 'dup': 1231, 'tau1': 10368, 'tau2': 12680, 'tau3': 952} t=467s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 7334, 'ilp_tested': 7668, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 77, 'seen': 26000, 'dup': 1339, 'tau1': 10998, 'tau2': 13742, 'tau3': 1260} t=505s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 7548, 'ilp_tested': 8824, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 79, 'seen': 28000, 'dup': 1447, 'tau1': 11628, 'tau2': 14842, 'tau3': 1530} t=556s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 7741, 'ilp_tested': 10001, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 81, 'seen': 30000, 'dup': 1555, 'tau1': 12258, 'tau2': 15598, 'tau3': 2016, 'tau4': 128} t=623s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 8050, 'ilp_tested': 11112, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 82, 'seen': 32000, 'dup': 2104, 'tau1': 12838, 'tau2': 16642, 'tau3': 2264, 'tau4': 256} t=702s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 8218, 'ilp_tested': 12336, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 84, 'seen': 34000, 'dup': 3137, 'tau1': 13446, 'tau2': 17683, 'tau3': 2547, 'tau4': 324} t=764s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 8438, 'ilp_tested': 13486, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 86, 'seen': 36000, 'dup': 3326, 'tau1': 14076, 'tau2': 18476, 'tau3': 3011, 'tau4': 437} t=839s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 8438, 'ilp_tested': 13526, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 86, 'seen': 38000, 'dup': 3515, 'tau1': 16036, 'tau2': 18497, 'tau3': 3015, 'tau4': 452} t=856s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 9121, 'ilp_tested': 14175, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 91, 'seen': 40000, 'dup': 3704, 'tau1': 16704, 'tau2': 19269, 'tau3': 3575, 'tau4': 452} t=892s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 9812, 'ilp_tested': 14854, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 102, 'seen': 42000, 'dup': 3893, 'tau1': 17334, 'tau2': 20063, 'tau3': 4151, 'tau4': 452} t=938s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 10268, 'ilp_tested': 15768, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 106, 'seen': 44000, 'dup': 4082, 'tau1': 17964, 'tau2': 21417, 'tau3': 4167, 'tau4': 452} t=979s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 10490, 'ilp_tested': 16916, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 106, 'seen': 46000, 'dup': 4271, 'tau1': 18594, 'tau2': 22225, 'tau3': 4627, 'tau4': 554} t=1034s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 10712, 'ilp_tested': 18064, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 106, 'seen': 48000, 'dup': 4460, 'tau1': 19224, 'tau2': 23018, 'tau3': 5091, 'tau4': 667} t=1095s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 11015, 'ilp_tested': 18935, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 109, 'seen': 50000, 'dup': 5741, 'tau1': 20050, 'tau2': 24060, 'tau3': 5214, 'tau4': 676} t=1128s
[exhaustD1 shard=8] {'tau0': 0, 'rho_filtered': 11191, 'ilp_tested': 20154, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 110, 'seen': 52000, 'dup': 7035, 'tau1': 20655, 'tau2': 25009, 'tau3': 5548, 'tau4': 788} t=1183s
