[gadgets D2 seed=1] {'tau0': 0, 'rho_filtered': 25, 'ilp_tested': 160, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 200, 'dup': 0, 'tau2': 92, 'tau3': 83, 'tau1': 15, 'tau4': 10} t=747s
[gadgets D2 seed=1] {'tau0': 0, 'rho_filtered': 56, 'ilp_tested': 313, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 400, 'dup': 0, 'tau2': 172, 'tau3': 171, 'tau1': 31, 'tau4': 25, 'tau5': 1} t=1782s
[gadgets D2 seed=1] {'tau0': 0, 'rho_filtered': 84, 'ilp_tested': 458, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 600, 'dup': 0, 'tau2': 250, 'tau3': 254, 'tau1': 58, 'tau4': 37, 'tau5': 1} t=2191s
[gadgets D2 seed=1] {'tau0': 0, 'rho_filtered': 111, 'ilp_tested': 614, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 800, 'dup': 0, 'tau2': 339, 'tau3': 332, 'tau1': 75, 'tau4': 53, 'tau5': 1} t=2556s
[gadgets D2 seed=1] {'tau0': 0, 'rho_filtered': 139, 'ilp_tested': 770, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 1000, 'dup': 0, 'tau2': 442, 'tau3': 401, 'tau1': 91, 'tau4': 65, 'tau5': 1} t=2851s
[gadgets D2 seed=1] {'tau0': 0, 'rho_filtered': 165, 'ilp_tested': 930, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 1200, 'dup': 0, 'tau2': 539, 'tau3': 480, 'tau1': 105, 'tau4': 74, 'tau5': 2} t=3183s
[gadgets D2 seed=1] {'tau0': 0, 'rho_filtered': 192, 'ilp_tested': 1088, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 1400, 'dup': 0, 'tau2': 633, 'tau3': 560, 'tau1': 120, 'tau4': 85, 'tau5': 2} t=3406s
[gadgets D2 seed=1] {'tau0': 0, 'rho_filtered': 228, 'ilp_tested': 1233, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 1600, 'dup': 0, 'tau2': 723, 'tau3': 642, 'tau1': 139, 'tau4': 94, 'tau5': 2} t=3753s
[gadgets D2 seed=1] {'tau0': 0, 'rho_filtered': 256, 'ilp_tested': 1383, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 1800, 'dup': 0, 'tau2': 806, 'tau3': 725, 'tau1': 161, 'tau4': 106, 'tau5': 2} t=3994s
[gadgets D2 seed=1] {'tau0': 0, 'rho_filtered': 276, 'ilp_tested': 1549, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 4, 'seen': 2000, 'dup': 0, 'tau2': 892, 'tau3': 813, 'tau1': 175, 'tau4': 118, 'tau5': 2} t=4233s
[gadgets D2 seed=1] {'tau0': 0, 'rho_filtered': 298, 'ilp_tested': 1710, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 5, 'seen': 2200, 'dup': 0, 'tau2': 974, 'tau3': 900, 'tau1': 192, 'tau4': 132, 'tau5': 2} t=4599s
[gadgets D2 seed=1] {'tau0': 0, 'rho_filtered': 317, 'ilp_tested': 1869, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 5, 'seen': 2400, 'dup': 0, 'tau2': 1062, 'tau3': 985, 'tau1': 214, 'tau4': 137, 'tau5': 2} t=4864s
[gadgets D2 seed=1] {'tau0': 0, 'rho_filtered': 352, 'ilp_tested': 2013, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 5, 'seen': 2600, 'dup': 0, 'tau2': 1140, 'tau3': 1072, 'tau1': 235, 'tau4': 151, 'tau5': 2} t=5200s
[gadgets D2 seed=1] {'tau0': 0, 'rho_filtered': 383, 'ilp_tested': 2162, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 5, 'seen': 2800, 'dup': 0, 'tau2': 1218, 'tau3': 1160, 'tau1': 255, 'tau4': 165, 'tau5': 2} t=5453s
[gadgets D2 seed=1] {'tau0': 0, 'rho_filtered': 412, 'ilp_tested': 2316, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 5, 'seen': 3000, 'dup': 0, 'tau2': 1314, 'tau3': 1237, 'tau1': 272, 'tau4': 175, 'tau5': 2} t=5825s
