[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 57, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 200, 'dup': 0, 'tau1': 143, 'tau2': 55, 'tau3': 2} t=120s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 1, 'ilp_tested': 119, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 400, 'dup': 0, 'tau1': 280, 'tau2': 118, 'tau3': 2} t=246s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 1, 'ilp_tested': 183, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 600, 'dup': 0, 'tau1': 416, 'tau2': 180, 'tau3': 4} t=385s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 1, 'ilp_tested': 244, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 800, 'dup': 0, 'tau1': 555, 'tau2': 239, 'tau3': 6} t=534s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 1, 'ilp_tested': 301, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 1000, 'dup': 0, 'tau1': 698, 'tau2': 292, 'tau3': 10} t=670s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 1, 'ilp_tested': 358, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 1200, 'dup': 0, 'tau1': 841, 'tau2': 344, 'tau3': 15} t=798s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 1, 'ilp_tested': 427, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 1400, 'dup': 0, 'tau1': 972, 'tau2': 410, 'tau3': 18} t=930s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 2, 'ilp_tested': 494, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 1600, 'dup': 0, 'tau1': 1102, 'tau2': 477, 'tau3': 19, 'disconnected': 2} t=1065s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 4, 'ilp_tested': 554, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 1800, 'dup': 0, 'tau1': 1240, 'tau2': 536, 'tau3': 22, 'disconnected': 2} t=1171s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 5, 'ilp_tested': 610, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 2000, 'dup': 0, 'tau1': 1382, 'tau2': 590, 'tau3': 25, 'disconnected': 3} t=1357s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 5, 'ilp_tested': 680, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 2200, 'dup': 0, 'tau1': 1512, 'tau2': 653, 'tau3': 32, 'disconnected': 3} t=1599s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 5, 'ilp_tested': 738, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 2400, 'dup': 0, 'tau1': 1654, 'tau2': 710, 'tau3': 33, 'disconnected': 3} t=1794s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 5, 'ilp_tested': 792, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 2600, 'dup': 0, 'tau1': 1800, 'tau2': 761, 'tau3': 36, 'disconnected': 3} t=1995s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 5, 'ilp_tested': 847, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 2800, 'dup': 0, 'tau1': 1945, 'tau2': 813, 'tau3': 39, 'disconnected': 3} t=2138s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 7, 'ilp_tested': 911, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 3000, 'dup': 0, 'tau1': 2078, 'tau2': 877, 'tau3': 41, 'disconnected': 4} t=2266s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 7, 'ilp_tested': 968, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 3200, 'dup': 0, 'tau1': 2221, 'tau2': 933, 'tau3': 41, 'disconnected': 4, 'tau4': 1} t=2380s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 7, 'ilp_tested': 1038, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 3400, 'dup': 0, 'tau1': 2351, 'tau2': 999, 'tau3': 45, 'disconnected': 4, 'tau4': 1} t=2512s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 8, 'ilp_tested': 1087, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 3600, 'dup': 0, 'tau1': 2501, 'tau2': 1048, 'tau3': 46, 'disconnected': 4, 'tau4': 1} t=2615s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 9, 'ilp_tested': 1149, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 3800, 'dup': 0, 'tau1': 2638, 'tau2': 1108, 'tau3': 49, 'disconnected': 4, 'tau4': 1} t=2729s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 11, 'ilp_tested': 1210, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 4000, 'dup': 0, 'tau1': 2775, 'tau2': 1168, 'tau3': 52, 'disconnected': 4, 'tau4': 1} t=2838s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 11, 'ilp_tested': 1268, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 4200, 'dup': 0, 'tau1': 2916, 'tau2': 1224, 'tau3': 54, 'disconnected': 5, 'tau4': 1} t=2946s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 12, 'ilp_tested': 1327, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 4400, 'dup': 0, 'tau1': 3056, 'tau2': 1281, 'tau3': 56, 'disconnected': 5, 'tau4': 2} t=3053s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 12, 'ilp_tested': 1386, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 4600, 'dup': 0, 'tau1': 3196, 'tau2': 1336, 'tau3': 60, 'disconnected': 6, 'tau4': 2} t=3171s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 14, 'ilp_tested': 1445, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 4800, 'dup': 0, 'tau1': 3335, 'tau2': 1395, 'tau3': 62, 'disconnected': 6, 'tau4': 2} t=3271s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 14, 'ilp_tested': 1505, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 5000, 'dup': 0, 'tau1': 3474, 'tau2': 1454, 'tau3': 62, 'disconnected': 7, 'tau4': 3} t=3385s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 14, 'ilp_tested': 1559, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 5200, 'dup': 0, 'tau1': 3620, 'tau2': 1504, 'tau3': 66, 'disconnected': 7, 'tau4': 3} t=3505s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 16, 'ilp_tested': 1613, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 5400, 'dup': 1, 'tau1': 3764, 'tau2': 1554, 'tau3': 71, 'disconnected': 7, 'tau4': 4} t=3616s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 16, 'ilp_tested': 1668, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 5600, 'dup': 1, 'tau1': 3908, 'tau2': 1605, 'tau3': 75, 'disconnected': 8, 'tau4': 4} t=3718s
