[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 4, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 200, 'dup': 0, 'tau1': 178, 'disconnected': 18, 'tau2': 4} t=565s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 4, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 400, 'dup': 0, 'tau1': 371, 'disconnected': 25, 'tau2': 4} t=1118s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 7, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 600, 'dup': 0, 'tau1': 547, 'disconnected': 46, 'tau2': 7} t=1960s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 11, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 800, 'dup': 0, 'tau1': 729, 'disconnected': 60, 'tau2': 11} t=2538s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 16, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 1000, 'dup': 0, 'tau1': 911, 'disconnected': 73, 'tau2': 16} t=3045s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 20, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 1200, 'dup': 0, 'tau1': 1084, 'disconnected': 96, 'tau2': 20} t=3540s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 22, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 1400, 'dup': 0, 'tau1': 1271, 'disconnected': 107, 'tau2': 22} t=4091s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 25, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 1600, 'dup': 1, 'tau1': 1457, 'disconnected': 118, 'tau2': 25} t=4613s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 26, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 1800, 'dup': 1, 'tau1': 1637, 'disconnected': 137, 'tau2': 26} t=5113s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 31, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 2000, 'dup': 1, 'tau1': 1825, 'disconnected': 144, 'tau2': 31} t=5638s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 35, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 2200, 'dup': 1, 'tau1': 2004, 'disconnected': 161, 'tau2': 35} t=6118s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 37, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 2400, 'dup': 1, 'tau1': 2192, 'disconnected': 171, 'tau2': 37} t=6658s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 38, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 2600, 'dup': 1, 'tau1': 2371, 'disconnected': 191, 'tau2': 38} t=7167s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 46, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 2800, 'dup': 1, 'tau1': 2551, 'disconnected': 203, 'tau2': 46} t=7719s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 46, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 3000, 'dup': 1, 'tau1': 2738, 'disconnected': 216, 'tau2': 46} t=8223s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 53, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 3200, 'dup': 1, 'tau1': 2924, 'disconnected': 223, 'tau2': 53} t=8737s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 53, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 3400, 'dup': 1, 'tau1': 3107, 'disconnected': 240, 'tau2': 53} t=9220s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 0, 'ilp_tested': 54, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 3600, 'dup': 1, 'tau1': 3291, 'disconnected': 255, 'tau2': 54} t=9697s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 1, 'ilp_tested': 60, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 3800, 'dup': 1, 'tau1': 3472, 'disconnected': 267, 'tau2': 61} t=10204s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 1, 'ilp_tested': 60, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 4000, 'dup': 1, 'tau1': 3656, 'disconnected': 283, 'tau2': 61} t=10706s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 1, 'ilp_tested': 62, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 4200, 'dup': 1, 'tau1': 3838, 'disconnected': 299, 'tau2': 63} t=11208s
[ring7 seed=0 ch=(0, 1)] {'tau0': 0, 'rho_filtered': 1, 'ilp_tested': 63, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 0, 'seen': 4400, 'dup': 1, 'tau1': 4026, 'disconnected': 310, 'tau2': 64} t=11717s
