[1/37] {'graphs': 1, 'dags': 529528, 'profile_dags': 498148, 'ss_skip': 356562, 'dicut_skip': 60572, 'packed_heur': 1908, 'packed_exact': 79106, 'cand': 0} t=32s
[2/37] {'graphs': 2, 'dags': 1131100, 'profile_dags': 1057044, 'ss_skip': 812876, 'dicut_skip': 60572, 'packed_heur': 4046, 'packed_exact': 179550, 'cand': 0} t=71s
[3/37] {'graphs': 3, 'dags': 1705204, 'profile_dags': 1593800, 'ss_skip': 1228196, 'dicut_skip': 60572, 'packed_heur': 6308, 'packed_exact': 298724, 'cand': 0} t=115s
[4/37] {'graphs': 4, 'dags': 2279900, 'profile_dags': 2133536, 'ss_skip': 1611412, 'dicut_skip': 129308, 'packed_heur': 8259, 'packed_exact': 384557, 'cand': 0} t=150s
[5/37] {'graphs': 5, 'dags': 2907196, 'profile_dags': 2713668, 'ss_skip': 2097236, 'dicut_skip': 129308, 'packed_heur': 10266, 'packed_exact': 476858, 'cand': 0} t=185s
[6/37] {'graphs': 6, 'dags': 3541568, 'profile_dags': 3298348, 'ss_skip': 2601230, 'dicut_skip': 129308, 'packed_heur': 12046, 'packed_exact': 555764, 'cand': 0} t=216s
[7/37] {'graphs': 7, 'dags': 4171132, 'profile_dags': 3879508, 'ss_skip': 3099126, 'dicut_skip': 129308, 'packed_heur': 13793, 'packed_exact': 637281, 'cand': 0} t=248s
[8/37] {'graphs': 8, 'dags': 4785000, 'profile_dags': 4448188, 'ss_skip': 3576738, 'dicut_skip': 129308, 'packed_heur': 15775, 'packed_exact': 726367, 'cand': 0} t=283s
[9/37] {'graphs': 9, 'dags': 5451100, 'profile_dags': 5055804, 'ss_skip': 4140806, 'dicut_skip': 129308, 'packed_heur': 16729, 'packed_exact': 768961, 'cand': 0} t=300s
[10/37] {'graphs': 10, 'dags': 6137780, 'profile_dags': 5679364, 'ss_skip': 4731368, 'dicut_skip': 129308, 'packed_heur': 17447, 'packed_exact': 801241, 'cand': 0} t=314s
[11/37] {'graphs': 11, 'dags': 6789908, 'profile_dags': 6277352, 'ss_skip': 5268182, 'dicut_skip': 129308, 'packed_heur': 18802, 'packed_exact': 861060, 'cand': 0} t=338s
