[seen=298132 cand=500] {'OK': 500, 'CE': 0} 77s
[seen=1100971 cand=1000] {'OK': 1000, 'CE': 0} 157s
[seen=2053928 cand=1500] {'OK': 1500, 'CE': 0} 233s
[seen=3401451 cand=2000] {'OK': 2000, 'CE': 0} 310s
[seen=4245272 cand=2500] {'OK': 2500, 'CE': 0} 385s
[seen=5492022 cand=3000] {'OK': 3000, 'CE': 0} 467s
[seen=6517747 cand=3500] {'OK': 3500, 'CE': 0} 557s
[seen=7596216 cand=4000] {'OK': 4000, 'CE': 0} 643s
[seen=8687978 cand=4500] {'OK': 4500, 'CE': 0} 733s
[seen=10211997 cand=5000] {'OK': 5000, 'CE': 0} 820s
[seen=11533553 cand=5500] {'OK': 5500, 'CE': 0} 897s
[seen=12662888 cand=6000] {'OK': 6000, 'CE': 0} 978s
[seen=13783146 cand=6500] {'OK': 6500, 'CE': 0} 1065s
[seen=15054039 cand=7000] {'OK': 7000, 'CE': 0} 1150s
[seen=16619668 cand=7500] {'OK': 7500, 'CE': 0} 1236s
[seen=17900473 cand=8000] {'OK': 8000, 'CE': 0} 1315s
[seen=19274293 cand=8500] {'OK': 8500, 'CE': 0} 1406s
[seen=20776092 cand=9000] {'OK': 9000, 'CE': 0} 1493s
[seen=22382400 cand=9500] {'OK': 9500, 'CE': 0} 1592s
[seen=23663148 cand=10000] {'OK': 10000, 'CE': 0} 1683s
[seen=25134469 cand=10500] {'OK': 10500, 'CE': 0} 1778s
[seen=26422578 cand=11000] {'OK': 11000, 'CE': 0} 1865s
[seen=27548226 cand=11500] {'OK': 11500, 'CE': 0} 1953s
[seen=28867429 cand=12000] {'OK': 12000, 'CE': 0} 2053s
[seen=30289802 cand=12500] {'OK': 12500, 'CE': 0} 2152s
[seen=31777548 cand=13000] {'OK': 13000, 'CE': 0} 2249s
[seen=32938449 cand=13500] {'OK': 13500, 'CE': 0} 2353s
[seen=34638441 cand=14000] {'OK': 14000, 'CE': 0} 2465s
[seen=36045284 cand=14500] {'OK': 14500, 'CE': 0} 2561s
[seen=37462702 cand=15000] {'OK': 15000, 'CE': 0} 2669s
[seen=38920076 cand=15500] {'OK': 15500, 'CE': 0} 2762s
[seen=40133462 cand=16000] {'OK': 16000, 'CE': 0} 2846s
[seen=41501316 cand=16500] {'OK': 16500, 'CE': 0} 2941s
[seen=42893168 cand=17000] {'OK': 17000, 'CE': 0} 3036s
[seen=44060778 cand=17500] {'OK': 17500, 'CE': 0} 3144s
[seen=45797112 cand=18000] {'OK': 18000, 'CE': 0} 3253s
[seen=47352916 cand=18500] {'OK': 18500, 'CE': 0} 3363s
[seen=48506620 cand=19000] {'OK': 19000, 'CE': 0} 3468s
[seen=50141206 cand=19500] {'OK': 19500, 'CE': 0} 3581s
[seen=51719202 cand=20000] {'OK': 20000, 'CE': 0} 3697s
[seen=53186274 cand=20500] {'OK': 20500, 'CE': 0} 3807s
[seen=54683875 cand=21000] {'OK': 21000, 'CE': 0} 3913s
[seen=56158787 cand=21500] {'OK': 21500, 'CE': 0} 4013s
[seen=57305391 cand=22000] {'OK': 22000, 'CE': 0} 4116s
[seen=58918257 cand=22500] {'OK': 22500, 'CE': 0} 4226s
[seen=60224873 cand=23000] {'OK': 23000, 'CE': 0} 4327s
[seen=61755767 cand=23500] {'OK': 23500, 'CE': 0} 4440s
[seen=63053942 cand=24000] {'OK': 24000, 'CE': 0} 4548s
[seen=64688490 cand=24500] {'OK': 24500, 'CE': 0} 4663s
[seen=66453744 cand=25000] {'OK': 25000, 'CE': 0} 4781s
[seen=68215788 cand=25500] {'OK': 25500, 'CE': 0} 4894s
[seen=69977481 cand=26000] {'OK': 26000, 'CE': 0} 5023s
[seen=71343566 cand=26500] {'OK': 26500, 'CE': 0} 5139s
[seen=73060181 cand=27000] {'OK': 27000, 'CE': 0} 5264s
[seen=74833090 cand=27500] {'OK': 27500, 'CE': 0} 5390s
[seen=76173666 cand=28000] {'OK': 28000, 'CE': 0} 5500s
[seen=77481706 cand=28500] {'OK': 28500, 'CE': 0} 5611s
[seen=79030296 cand=29000] {'OK': 29000, 'CE': 0} 5748s
[seen=79990047 cand=29500] {'OK': 29500, 'CE': 0} 5865s
[seen=81056833 cand=30000] {'OK': 30000, 'CE': 0} 5977s
[seen=82228974 cand=30500] {'OK': 30500, 'CE': 0} 6090s
[seen=82764080 cand=31000] {'OK': 31000, 'CE': 0} 6197s
[seen=83898798 cand=31500] {'OK': 31500, 'CE': 0} 6308s
[seen=85205787 cand=32000] {'OK': 32000, 'CE': 0} 6423s
[seen=86842817 cand=32500] {'OK': 32500, 'CE': 0} 6543s
[seen=88220579 cand=33000] {'OK': 33000, 'CE': 0} 6671s
[seen=89851374 cand=33500] {'OK': 33500, 'CE': 0} 6798s
[seen=90290398 cand=34000] {'OK': 34000, 'CE': 0} 6913s
[seen=91028915 cand=34500] {'OK': 34500, 'CE': 0} 7031s
[seen=91714378 cand=35000] {'OK': 35000, 'CE': 0} 7169s
[seen=92072850 cand=35500] {'OK': 35500, 'CE': 0} 7285s
DONE band n=13 maxE=20 shard=1/8 seen=92113063 cand=35582 {'OK': 35582, 'CE': 0} time=7304s
