n=13: 495 tight seeds
[50/8000] {'OK': 14, 'TIGHT': 36, 'CE': 0} seeds=531 11s
[100/8000] {'OK': 35, 'TIGHT': 65, 'CE': 0} seeds=560 22s
[150/8000] {'OK': 49, 'TIGHT': 101, 'CE': 0} seeds=596 32s
[200/8000] {'OK': 68, 'TIGHT': 132, 'CE': 0} seeds=627 41s
[250/8000] {'OK': 74, 'TIGHT': 176, 'CE': 0} seeds=671 53s
[300/8000] {'OK': 89, 'TIGHT': 211, 'CE': 0} seeds=706 64s
[350/8000] {'OK': 109, 'TIGHT': 241, 'CE': 0} seeds=736 74s
[400/8000] {'OK': 128, 'TIGHT': 272, 'CE': 0} seeds=767 84s
[450/8000] {'OK': 152, 'TIGHT': 298, 'CE': 0} seeds=793 94s
[500/8000] {'OK': 173, 'TIGHT': 327, 'CE': 0} seeds=822 105s
[550/8000] {'OK': 189, 'TIGHT': 361, 'CE': 0} seeds=856 116s
[600/8000] {'OK': 211, 'TIGHT': 389, 'CE': 0} seeds=884 126s
[650/8000] {'OK': 232, 'TIGHT': 418, 'CE': 0} seeds=913 136s
[700/8000] {'OK': 255, 'TIGHT': 445, 'CE': 0} seeds=940 146s
[750/8000] {'OK': 272, 'TIGHT': 478, 'CE': 0} seeds=973 158s
[800/8000] {'OK': 292, 'TIGHT': 508, 'CE': 0} seeds=1003 168s
[850/8000] {'OK': 314, 'TIGHT': 536, 'CE': 0} seeds=1031 178s
[900/8000] {'OK': 339, 'TIGHT': 561, 'CE': 0} seeds=1056 187s
[950/8000] {'OK': 357, 'TIGHT': 593, 'CE': 0} seeds=1088 204s
[1000/8000] {'OK': 371, 'TIGHT': 629, 'CE': 0} seeds=1124 216s
[1050/8000] {'OK': 390, 'TIGHT': 660, 'CE': 0} seeds=1155 228s
[1100/8000] {'OK': 411, 'TIGHT': 689, 'CE': 0} seeds=1184 239s
[1150/8000] {'OK': 433, 'TIGHT': 717, 'CE': 0} seeds=1212 259s
[1200/8000] {'OK': 450, 'TIGHT': 750, 'CE': 0} seeds=1245 278s
[1250/8000] {'OK': 474, 'TIGHT': 776, 'CE': 0} seeds=1271 297s
[1300/8000] {'OK': 498, 'TIGHT': 802, 'CE': 0} seeds=1297 317s
[1350/8000] {'OK': 519, 'TIGHT': 831, 'CE': 0} seeds=1326 336s
[1400/8000] {'OK': 537, 'TIGHT': 863, 'CE': 0} seeds=1358 356s
[1450/8000] {'OK': 551, 'TIGHT': 899, 'CE': 0} seeds=1394 377s
[1500/8000] {'OK': 575, 'TIGHT': 925, 'CE': 0} seeds=1420 396s
[1550/8000] {'OK': 602, 'TIGHT': 948, 'CE': 0} seeds=1443 414s
[1600/8000] {'OK': 623, 'TIGHT': 977, 'CE': 0} seeds=1472 435s
[1650/8000] {'OK': 649, 'TIGHT': 1001, 'CE': 0} seeds=1496 453s
[1700/8000] {'OK': 664, 'TIGHT': 1036, 'CE': 0} seeds=1531 476s
[1750/8000] {'OK': 686, 'TIGHT': 1064, 'CE': 0} seeds=1559 497s
[1800/8000] {'OK': 710, 'TIGHT': 1090, 'CE': 0} seeds=1585 516s
[1850/8000] {'OK': 729, 'TIGHT': 1121, 'CE': 0} seeds=1616 538s
[1900/8000] {'OK': 758, 'TIGHT': 1142, 'CE': 0} seeds=1637 558s
[1950/8000] {'OK': 782, 'TIGHT': 1168, 'CE': 0} seeds=1663 579s
[2000/8000] {'OK': 807, 'TIGHT': 1193, 'CE': 0} seeds=1688 600s
[2050/8000] {'OK': 828, 'TIGHT': 1222, 'CE': 0} seeds=1717 621s
[2100/8000] {'OK': 847, 'TIGHT': 1253, 'CE': 0} seeds=1748 641s
[2150/8000] {'OK': 873, 'TIGHT': 1277, 'CE': 0} seeds=1772 661s
[2200/8000] {'OK': 894, 'TIGHT': 1306, 'CE': 0} seeds=1801 682s
[2250/8000] {'OK': 916, 'TIGHT': 1334, 'CE': 0} seeds=1829 703s
[2300/8000] {'OK': 937, 'TIGHT': 1363, 'CE': 0} seeds=1858 722s
[2350/8000] {'OK': 956, 'TIGHT': 1394, 'CE': 0} seeds=1889 742s
[2400/8000] {'OK': 974, 'TIGHT': 1426, 'CE': 0} seeds=1921 760s
[2450/8000] {'OK': 998, 'TIGHT': 1452, 'CE': 0} seeds=1947 778s
[2500/8000] {'OK': 1022, 'TIGHT': 1478, 'CE': 0} seeds=1973 795s
[2550/8000] {'OK': 1044, 'TIGHT': 1506, 'CE': 0} seeds=2001 812s
[2600/8000] {'OK': 1066, 'TIGHT': 1534, 'CE': 0} seeds=2029 830s
[2650/8000] {'OK': 1090, 'TIGHT': 1560, 'CE': 0} seeds=2055 844s
[2700/8000] {'OK': 1115, 'TIGHT': 1585, 'CE': 0} seeds=2080 856s
[2750/8000] {'OK': 1138, 'TIGHT': 1612, 'CE': 0} seeds=2107 874s
[2800/8000] {'OK': 1161, 'TIGHT': 1639, 'CE': 0} seeds=2134 890s
[2850/8000] {'OK': 1180, 'TIGHT': 1670, 'CE': 0} seeds=2165 906s
[2900/8000] {'OK': 1209, 'TIGHT': 1691, 'CE': 0} seeds=2186 922s
[2950/8000] {'OK': 1234, 'TIGHT': 1716, 'CE': 0} seeds=2211 939s
[3000/8000] {'OK': 1254, 'TIGHT': 1746, 'CE': 0} seeds=2241 956s
[3050/8000] {'OK': 1280, 'TIGHT': 1770, 'CE': 0} seeds=2265 969s
[3100/8000] {'OK': 1303, 'TIGHT': 1797, 'CE': 0} seeds=2292 985s
[3150/8000] {'OK': 1328, 'TIGHT': 1822, 'CE': 0} seeds=2317 1001s
[3200/8000] {'OK': 1351, 'TIGHT': 1849, 'CE': 0} seeds=2344 1019s
[3250/8000] {'OK': 1372, 'TIGHT': 1878, 'CE': 0} seeds=2373 1036s
[3300/8000] {'OK': 1391, 'TIGHT': 1909, 'CE': 0} seeds=2404 1053s
[3350/8000] {'OK': 1412, 'TIGHT': 1938, 'CE': 0} seeds=2433 1072s
[3400/8000] {'OK': 1431, 'TIGHT': 1969, 'CE': 0} seeds=2464 1088s
[3450/8000] {'OK': 1453, 'TIGHT': 1997, 'CE': 0} seeds=2492 1104s
[3500/8000] {'OK': 1474, 'TIGHT': 2026, 'CE': 0} seeds=2521 1119s
[3550/8000] {'OK': 1494, 'TIGHT': 2056, 'CE': 0} seeds=2551 1138s
[3600/8000] {'OK': 1522, 'TIGHT': 2078, 'CE': 0} seeds=2573 1155s
[3650/8000] {'OK': 1549, 'TIGHT': 2101, 'CE': 0} seeds=2596 1173s
[3700/8000] {'OK': 1571, 'TIGHT': 2129, 'CE': 0} seeds=2624 1189s
[3750/8000] {'OK': 1593, 'TIGHT': 2157, 'CE': 0} seeds=2652 1205s
[3800/8000] {'OK': 1615, 'TIGHT': 2185, 'CE': 0} seeds=2680 1222s
[3850/8000] {'OK': 1642, 'TIGHT': 2208, 'CE': 0} seeds=2703 1238s
[3900/8000] {'OK': 1667, 'TIGHT': 2233, 'CE': 0} seeds=2728 1256s
[3950/8000] {'OK': 1690, 'TIGHT': 2260, 'CE': 0} seeds=2755 1277s
[4000/8000] {'OK': 1718, 'TIGHT': 2282, 'CE': 0} seeds=2777 1306s
[4050/8000] {'OK': 1743, 'TIGHT': 2307, 'CE': 0} seeds=2802 1323s
[4100/8000] {'OK': 1762, 'TIGHT': 2338, 'CE': 0} seeds=2833 1343s
[4150/8000] {'OK': 1789, 'TIGHT': 2361, 'CE': 0} seeds=2856 1361s
[4200/8000] {'OK': 1810, 'TIGHT': 2390, 'CE': 0} seeds=2885 1379s
[4250/8000] {'OK': 1840, 'TIGHT': 2410, 'CE': 0} seeds=2905 1396s
[4300/8000] {'OK': 1867, 'TIGHT': 2433, 'CE': 0} seeds=2928 1414s
[4350/8000] {'OK': 1893, 'TIGHT': 2457, 'CE': 0} seeds=2952 1434s
[4400/8000] {'OK': 1922, 'TIGHT': 2478, 'CE': 0} seeds=2973 1453s
[4450/8000] {'OK': 1943, 'TIGHT': 2507, 'CE': 0} seeds=3002 1475s
[4500/8000] {'OK': 1962, 'TIGHT': 2538, 'CE': 0} seeds=3033 1492s
[4550/8000] {'OK': 1985, 'TIGHT': 2565, 'CE': 0} seeds=3060 1513s
[4600/8000] {'OK': 2004, 'TIGHT': 2596, 'CE': 0} seeds=3091 1532s
[4650/8000] {'OK': 2029, 'TIGHT': 2621, 'CE': 0} seeds=3116 1551s
[4700/8000] {'OK': 2053, 'TIGHT': 2647, 'CE': 0} seeds=3142 1573s
[4750/8000] {'OK': 2080, 'TIGHT': 2670, 'CE': 0} seeds=3165 1593s
[4800/8000] {'OK': 2103, 'TIGHT': 2697, 'CE': 0} seeds=3192 1610s
[4850/8000] {'OK': 2133, 'TIGHT': 2717, 'CE': 0} seeds=3212 1630s
[4900/8000] {'OK': 2155, 'TIGHT': 2745, 'CE': 0} seeds=3240 1650s
[4950/8000] {'OK': 2183, 'TIGHT': 2767, 'CE': 0} seeds=3262 1668s
[5000/8000] {'OK': 2202, 'TIGHT': 2798, 'CE': 0} seeds=3293 1689s
[5050/8000] {'OK': 2232, 'TIGHT': 2818, 'CE': 0} seeds=3313 1708s
[5100/8000] {'OK': 2260, 'TIGHT': 2840, 'CE': 0} seeds=3335 1728s
[5150/8000] {'OK': 2283, 'TIGHT': 2867, 'CE': 0} seeds=3362 1748s
[5200/8000] {'OK': 2306, 'TIGHT': 2894, 'CE': 0} seeds=3389 1769s
[5250/8000] {'OK': 2332, 'TIGHT': 2918, 'CE': 0} seeds=3413 1789s
[5300/8000] {'OK': 2355, 'TIGHT': 2945, 'CE': 0} seeds=3440 1809s
[5350/8000] {'OK': 2376, 'TIGHT': 2974, 'CE': 0} seeds=3469 1831s
[5400/8000] {'OK': 2399, 'TIGHT': 3001, 'CE': 0} seeds=3496 1852s
[5450/8000] {'OK': 2419, 'TIGHT': 3031, 'CE': 0} seeds=3526 1871s
[5500/8000] {'OK': 2442, 'TIGHT': 3058, 'CE': 0} seeds=3553 1892s
[5550/8000] {'OK': 2463, 'TIGHT': 3087, 'CE': 0} seeds=3582 1914s
[5600/8000] {'OK': 2488, 'TIGHT': 3112, 'CE': 0} seeds=3607 1934s
[5650/8000] {'OK': 2513, 'TIGHT': 3137, 'CE': 0} seeds=3632 1956s
[5700/8000] {'OK': 2538, 'TIGHT': 3162, 'CE': 0} seeds=3657 1977s
[5750/8000] {'OK': 2560, 'TIGHT': 3190, 'CE': 0} seeds=3685 1999s
[5800/8000] {'OK': 2581, 'TIGHT': 3219, 'CE': 0} seeds=3714 2020s
[5850/8000] {'OK': 2607, 'TIGHT': 3243, 'CE': 0} seeds=3738 2041s
[5900/8000] {'OK': 2625, 'TIGHT': 3275, 'CE': 0} seeds=3770 2065s
[5950/8000] {'OK': 2645, 'TIGHT': 3305, 'CE': 0} seeds=3800 2089s
[6000/8000] {'OK': 2665, 'TIGHT': 3335, 'CE': 0} seeds=3830 2112s
[6050/8000] {'OK': 2686, 'TIGHT': 3364, 'CE': 0} seeds=3859 2134s
[6100/8000] {'OK': 2709, 'TIGHT': 3391, 'CE': 0} seeds=3886 2153s
[6150/8000] {'OK': 2731, 'TIGHT': 3419, 'CE': 0} seeds=3914 2176s
[6200/8000] {'OK': 2757, 'TIGHT': 3443, 'CE': 0} seeds=3938 2196s
[6250/8000] {'OK': 2781, 'TIGHT': 3469, 'CE': 0} seeds=3964 2216s
[6300/8000] {'OK': 2794, 'TIGHT': 3506, 'CE': 0} seeds=4001 2238s
[6350/8000] {'OK': 2824, 'TIGHT': 3526, 'CE': 0} seeds=4021 2256s
[6400/8000] {'OK': 2850, 'TIGHT': 3550, 'CE': 0} seeds=4045 2277s
[6450/8000] {'OK': 2873, 'TIGHT': 3577, 'CE': 0} seeds=4072 2298s
[6500/8000] {'OK': 2898, 'TIGHT': 3602, 'CE': 0} seeds=4097 2323s
[6550/8000] {'OK': 2919, 'TIGHT': 3631, 'CE': 0} seeds=4126 2343s
[6600/8000] {'OK': 2942, 'TIGHT': 3658, 'CE': 0} seeds=4153 2367s
[6650/8000] {'OK': 2959, 'TIGHT': 3691, 'CE': 0} seeds=4186 2391s
[6700/8000] {'OK': 2982, 'TIGHT': 3718, 'CE': 0} seeds=4213 2414s
[6750/8000] {'OK': 3010, 'TIGHT': 3740, 'CE': 0} seeds=4235 2436s
[6800/8000] {'OK': 3037, 'TIGHT': 3763, 'CE': 0} seeds=4258 2457s
[6850/8000] {'OK': 3065, 'TIGHT': 3785, 'CE': 0} seeds=4280 2477s
[6900/8000] {'OK': 3089, 'TIGHT': 3811, 'CE': 0} seeds=4306 2499s
[6950/8000] {'OK': 3113, 'TIGHT': 3837, 'CE': 0} seeds=4332 2521s
[7000/8000] {'OK': 3139, 'TIGHT': 3861, 'CE': 0} seeds=4356 2543s
[7050/8000] {'OK': 3171, 'TIGHT': 3879, 'CE': 0} seeds=4374 2563s
[7100/8000] {'OK': 3190, 'TIGHT': 3910, 'CE': 0} seeds=4405 2584s
[7150/8000] {'OK': 3211, 'TIGHT': 3939, 'CE': 0} seeds=4434 2604s
[7200/8000] {'OK': 3234, 'TIGHT': 3966, 'CE': 0} seeds=4461 2627s
[7250/8000] {'OK': 3260, 'TIGHT': 3990, 'CE': 0} seeds=4485 2649s
[7300/8000] {'OK': 3279, 'TIGHT': 4021, 'CE': 0} seeds=4516 2673s
[7350/8000] {'OK': 3308, 'TIGHT': 4042, 'CE': 0} seeds=4537 2693s
[7400/8000] {'OK': 3336, 'TIGHT': 4064, 'CE': 0} seeds=4559 2714s
[7450/8000] {'OK': 3357, 'TIGHT': 4093, 'CE': 0} seeds=4588 2736s
[7500/8000] {'OK': 3380, 'TIGHT': 4120, 'CE': 0} seeds=4615 2756s
[7550/8000] {'OK': 3402, 'TIGHT': 4148, 'CE': 0} seeds=4643 2779s
[7600/8000] {'OK': 3425, 'TIGHT': 4175, 'CE': 0} seeds=4670 2803s
[7650/8000] {'OK': 3451, 'TIGHT': 4199, 'CE': 0} seeds=4694 2825s
[7700/8000] {'OK': 3471, 'TIGHT': 4229, 'CE': 0} seeds=4724 2847s
[7750/8000] {'OK': 3497, 'TIGHT': 4253, 'CE': 0} seeds=4748 2871s
[7800/8000] {'OK': 3519, 'TIGHT': 4281, 'CE': 0} seeds=4776 2894s
[7850/8000] {'OK': 3548, 'TIGHT': 4302, 'CE': 0} seeds=4797 2915s
[7900/8000] {'OK': 3578, 'TIGHT': 4322, 'CE': 0} seeds=4817 2940s
[7950/8000] {'OK': 3605, 'TIGHT': 4345, 'CE': 0} seeds=4840 2962s
[8000/8000] {'OK': 3624, 'TIGHT': 4376, 'CE': 0} seeds=4871 2986s
DONE n=13 mode=perturb-tight {'OK': 3624, 'TIGHT': 4376, 'CE': 0} total=2986s
