n=16: 17125 dense candidates
[100/17125] {'OK': 0, 'TIGHT': 100, 'CE': 0} 781s
[200/17125] {'OK': 0, 'TIGHT': 200, 'CE': 0} 1093s
[300/17125] {'OK': 0, 'TIGHT': 300, 'CE': 0} 1409s
[400/17125] {'OK': 0, 'TIGHT': 400, 'CE': 0} 1713s
[500/17125] {'OK': 0, 'TIGHT': 500, 'CE': 0} 1982s
[600/17125] {'OK': 0, 'TIGHT': 600, 'CE': 0} 2211s
[700/17125] {'OK': 0, 'TIGHT': 700, 'CE': 0} 2441s
[800/17125] {'OK': 0, 'TIGHT': 800, 'CE': 0} 2718s
[900/17125] {'OK': 0, 'TIGHT': 900, 'CE': 0} 2949s
[1000/17125] {'OK': 0, 'TIGHT': 1000, 'CE': 0} 3142s
[1100/17125] {'OK': 0, 'TIGHT': 1100, 'CE': 0} 3328s
[1200/17125] {'OK': 0, 'TIGHT': 1200, 'CE': 0} 3522s
