n=16: 2855 dense candidates (shard 0/6)
[100/2855] {'OK': 0, 'TIGHT': 100, 'CE': 0} 892s
[200/2855] {'OK': 0, 'TIGHT': 200, 'CE': 0} 1296s
[300/2855] {'OK': 0, 'TIGHT': 300, 'CE': 0} 1688s
[400/2855] {'OK': 0, 'TIGHT': 400, 'CE': 0} 2050s
[500/2855] {'OK': 0, 'TIGHT': 500, 'CE': 0} 2286s
[600/2855] {'OK': 0, 'TIGHT': 600, 'CE': 0} 2504s
[700/2855] {'OK': 0, 'TIGHT': 700, 'CE': 0} 2731s
[800/2855] {'OK': 0, 'TIGHT': 800, 'CE': 0} 2932s
[900/2855] {'OK': 0, 'TIGHT': 900, 'CE': 0} 3144s
[1000/2855] {'OK': 0, 'TIGHT': 1000, 'CE': 0} 3390s
[1100/2855] {'OK': 0, 'TIGHT': 1100, 'CE': 0} 3637s
[1200/2855] {'OK': 0, 'TIGHT': 1200, 'CE': 0} 3897s
[1300/2855] {'OK': 0, 'TIGHT': 1300, 'CE': 0} 4145s
[1400/2855] {'OK': 0, 'TIGHT': 1400, 'CE': 0} 4374s
[1500/2855] {'OK': 0, 'TIGHT': 1500, 'CE': 0} 4589s
[1600/2855] {'OK': 0, 'TIGHT': 1600, 'CE': 0} 4759s
[1700/2855] {'OK': 0, 'TIGHT': 1700, 'CE': 0} 4929s
[1800/2855] {'OK': 0, 'TIGHT': 1800, 'CE': 0} 5084s
[1900/2855] {'OK': 0, 'TIGHT': 1900, 'CE': 0} 5249s
[2000/2855] {'OK': 0, 'TIGHT': 2000, 'CE': 0} 5436s
[2100/2855] {'OK': 0, 'TIGHT': 2100, 'CE': 0} 5619s
[2200/2855] {'OK': 0, 'TIGHT': 2200, 'CE': 0} 5788s
[2300/2855] {'OK': 0, 'TIGHT': 2300, 'CE': 0} 5943s
[2400/2855] {'OK': 0, 'TIGHT': 2400, 'CE': 0} 6099s
[2500/2855] {'OK': 0, 'TIGHT': 2500, 'CE': 0} 6262s
[2600/2855] {'OK': 0, 'TIGHT': 2600, 'CE': 0} 6427s
[2700/2855] {'OK': 0, 'TIGHT': 2700, 'CE': 0} 6585s
[2800/2855] {'OK': 0, 'TIGHT': 2800, 'CE': 0} 6740s
DONE dense n=16 {'OK': 0, 'TIGHT': 2855, 'CE': 0} total=6831s
