n=19: 511 Eulerian circulants
[25/511] {'OK': 25, 'TIGHT': 0, 'CE': 0} 4s
[50/511] {'OK': 50, 'TIGHT': 0, 'CE': 0} 9s
[75/511] {'OK': 75, 'TIGHT': 0, 'CE': 0} 15s
[100/511] {'OK': 100, 'TIGHT': 0, 'CE': 0} 21s
[125/511] {'OK': 125, 'TIGHT': 0, 'CE': 0} 28s
[150/511] {'OK': 150, 'TIGHT': 0, 'CE': 0} 36s
[175/511] {'OK': 175, 'TIGHT': 0, 'CE': 0} 44s
[200/511] {'OK': 200, 'TIGHT': 0, 'CE': 0} 53s
[225/511] {'OK': 225, 'TIGHT': 0, 'CE': 0} 62s
[250/511] {'OK': 250, 'TIGHT': 0, 'CE': 0} 70s
[275/511] {'OK': 275, 'TIGHT': 0, 'CE': 0} 79s
[300/511] {'OK': 300, 'TIGHT': 0, 'CE': 0} 89s
[325/511] {'OK': 325, 'TIGHT': 0, 'CE': 0} 99s
[350/511] {'OK': 350, 'TIGHT': 0, 'CE': 0} 109s
[375/511] {'OK': 375, 'TIGHT': 0, 'CE': 0} 119s
[400/511] {'OK': 400, 'TIGHT': 0, 'CE': 0} 131s
[425/511] {'OK': 425, 'TIGHT': 0, 'CE': 0} 142s
[450/511] {'OK': 450, 'TIGHT': 0, 'CE': 0} 155s
[475/511] {'OK': 475, 'TIGHT': 0, 'CE': 0} 168s
[500/511] {'OK': 500, 'TIGHT': 0, 'CE': 0} 182s
DONE n=19 mode=circulant {'OK': 510, 'TIGHT': 1, 'CE': 0} total=191s
