[n=14 it=1 t=0s] min-decomp=5 (bound 6) m=57
[n=14 it=200 t=28s] cur=5 best=5 m=59 cache=152
[n=14 it=600 t=86s] cur=5 best=5 m=49 cache=467
[n=14 it=800 t=111s] cur=5 best=5 m=50 cache=609
[n=14 it=1400 t=200s] cur=5 best=5 m=52 cache=1079
[n=14 it=1600 t=230s] cur=5 best=5 m=52 cache=1230
[n=14 it=1800 t=257s] cur=5 best=5 m=54 cache=1372
[n=14 it=2200 t=314s] cur=5 best=5 m=55 cache=1686
[n=14 it=2400 t=341s] cur=5 best=5 m=55 cache=1835
[n=14 it=2600 t=371s] cur=5 best=5 m=49 cache=1996
[n=14 it=2800 t=398s] cur=5 best=5 m=50 cache=2141
[n=14 it=3000 t=428s] cur=4 best=5 m=47 cache=2298
[n=14 it=3200 t=456s] cur=5 best=5 m=54 cache=2451
[n=14 it=3600 t=505s] cur=5 best=5 m=51 cache=2747
[n=14 it=3800 t=533s] cur=5 best=5 m=49 cache=2901
[n=14 it=4600 t=647s] cur=5 best=5 m=51 cache=3506
[n=14 it=4800 t=673s] cur=5 best=5 m=51 cache=3655
[n=14 it=5000 t=701s] cur=5 best=5 m=59 cache=3810
[n=14 it=5200 t=730s] cur=5 best=5 m=59 cache=3958
[n=14 it=5400 t=757s] cur=5 best=5 m=53 cache=4101
[n=14 it=5800 t=811s] cur=5 best=5 m=53 cache=4395
[n=14 it=6200 t=867s] cur=5 best=5 m=54 cache=4706
[n=14 it=6400 t=892s] cur=5 best=5 m=51 cache=4848
[n=14 it=6600 t=920s] cur=5 best=5 m=56 cache=5000
[n=14 it=7000 t=970s] cur=5 best=5 m=52 cache=5290
[n=14 it=7200 t=990s] cur=5 best=5 m=53 cache=5447
[n=14 it=7400 t=1007s] cur=5 best=5 m=54 cache=5593
[n=14 it=7800 t=1043s] cur=5 best=5 m=54 cache=5906
[n=14 it=8000 t=1058s] cur=5 best=5 m=55 cache=6054
[n=14 it=8200 t=1079s] cur=5 best=5 m=59 cache=6217
[n=14 it=8400 t=1097s] cur=5 best=5 m=51 cache=6368
[n=14 it=8600 t=1112s] cur=5 best=5 m=53 cache=6511
[n=14 it=8800 t=1125s] cur=5 best=5 m=56 cache=6652
[n=14 it=9000 t=1140s] cur=5 best=5 m=50 cache=6809
[n=14 it=9200 t=1154s] cur=5 best=5 m=53 cache=6967
[n=14 it=9600 t=1179s] cur=5 best=5 m=56 cache=7260
[n=14 it=9800 t=1194s] cur=5 best=5 m=52 cache=7418
[n=14 it=10000 t=1207s] cur=5 best=5 m=49 cache=7575
[n=14 it=10200 t=1220s] cur=5 best=5 m=58 cache=7734
[n=14 it=10400 t=1232s] cur=5 best=5 m=52 cache=7884
[n=14 it=10800 t=1255s] cur=5 best=5 m=53 cache=8184
[n=14 it=11200 t=1278s] cur=5 best=5 m=53 cache=8481
[n=14 it=11400 t=1290s] cur=5 best=5 m=55 cache=8627
[n=14 it=11600 t=1300s] cur=5 best=5 m=50 cache=8769
[n=14 it=11800 t=1314s] cur=5 best=5 m=52 cache=8928
[n=14 it=12400 t=1351s] cur=4 best=5 m=46 cache=9397
[n=14 it=12600 t=1363s] cur=5 best=5 m=56 cache=9544
[n=14 it=12800 t=1376s] cur=5 best=5 m=55 cache=9703
[n=14 it=13000 t=1387s] cur=5 best=5 m=54 cache=9847
[n=14 it=13400 t=1412s] cur=4 best=5 m=50 cache=10148
[n=14 it=13600 t=1423s] cur=5 best=5 m=54 cache=10297
[n=14 it=13800 t=1434s] cur=5 best=5 m=53 cache=10443
[n=14 it=14000 t=1446s] cur=5 best=5 m=52 cache=10603
[n=14 it=14200 t=1459s] cur=5 best=5 m=51 cache=10758
[n=14 it=14400 t=1471s] cur=5 best=5 m=55 cache=10917
[n=14 it=14600 t=1484s] cur=5 best=5 m=50 cache=11068
[n=14 it=14800 t=1496s] cur=4 best=5 m=45 cache=11222
[n=14 it=15000 t=1509s] cur=5 best=5 m=52 cache=11386
[n=14 it=15200 t=1520s] cur=5 best=5 m=53 cache=11534
[n=14 it=15400 t=1534s] cur=5 best=5 m=50 cache=11697
[n=14 it=15800 t=1558s] cur=4 best=5 m=49 cache=11991
