[n=13 it=1 t=0s] min-decomp=5 (bound 6) m=53
[n=13 it=400 t=54s] cur=4 best=5 m=42 cache=288
[n=13 it=600 t=79s] cur=4 best=5 m=43 cache=431
[n=13 it=800 t=101s] cur=5 best=5 m=47 cache=569
[n=13 it=1000 t=125s] cur=5 best=5 m=48 cache=718
[n=13 it=1200 t=150s] cur=5 best=5 m=49 cache=866
[n=13 it=1400 t=174s] cur=5 best=5 m=48 cache=1011
[n=13 it=1600 t=197s] cur=5 best=5 m=46 cache=1148
[n=13 it=2000 t=245s] cur=5 best=5 m=45 cache=1421
[n=13 it=2200 t=268s] cur=4 best=5 m=46 cache=1557
[n=13 it=2400 t=292s] cur=5 best=5 m=50 cache=1703
[n=13 it=2600 t=312s] cur=5 best=5 m=45 cache=1831
[n=13 it=2800 t=335s] cur=5 best=5 m=52 cache=1968
[n=13 it=3000 t=359s] cur=4 best=5 m=46 cache=2104
[n=13 it=3400 t=407s] cur=5 best=5 m=49 cache=2392
[n=13 it=3600 t=429s] cur=4 best=5 m=43 cache=2533
[n=13 it=3800 t=451s] cur=4 best=5 m=43 cache=2658
[n=13 it=4000 t=476s] cur=5 best=5 m=46 cache=2814
[n=13 it=4200 t=499s] cur=4 best=5 m=48 cache=2958
[n=13 it=4400 t=521s] cur=5 best=5 m=47 cache=3099
[n=13 it=4600 t=546s] cur=5 best=5 m=50 cache=3250
[n=13 it=5400 t=644s] cur=5 best=5 m=51 cache=3811
[n=13 it=5600 t=670s] cur=5 best=5 m=47 cache=3963
[n=13 it=5800 t=693s] cur=5 best=5 m=46 cache=4102
[n=13 it=6000 t=714s] cur=5 best=5 m=51 cache=4238
[n=13 it=6600 t=783s] cur=5 best=5 m=43 cache=4661
[n=13 it=6800 t=808s] cur=5 best=5 m=48 cache=4811
[n=13 it=7000 t=833s] cur=5 best=5 m=46 cache=4953
[n=13 it=7200 t=856s] cur=5 best=5 m=47 cache=5091
[n=13 it=7400 t=878s] cur=5 best=5 m=49 cache=5223
[n=13 it=7600 t=901s] cur=4 best=5 m=41 cache=5356
[n=13 it=7800 t=924s] cur=5 best=5 m=43 cache=5496
[n=13 it=8200 t=970s] cur=4 best=5 m=45 cache=5794
[n=13 it=8400 t=988s] cur=5 best=5 m=51 cache=5932
[n=13 it=8600 t=999s] cur=5 best=5 m=48 cache=6063
[n=13 it=8800 t=1014s] cur=5 best=5 m=48 cache=6208
[n=13 it=9000 t=1027s] cur=5 best=5 m=46 cache=6347
[n=13 it=9200 t=1041s] cur=5 best=5 m=48 cache=6491
[n=13 it=9400 t=1055s] cur=5 best=5 m=44 cache=6637
[n=13 it=10000 t=1101s] cur=5 best=5 m=46 cache=7074
[n=13 it=10800 t=1147s] cur=5 best=5 m=52 cache=7641
[n=13 it=11000 t=1158s] cur=5 best=5 m=45 cache=7787
[n=13 it=11200 t=1169s] cur=4 best=5 m=46 cache=7925
[n=13 it=11600 t=1190s] cur=5 best=5 m=49 cache=8203
[n=13 it=11800 t=1202s] cur=5 best=5 m=47 cache=8357
[n=13 it=12000 t=1211s] cur=5 best=5 m=45 cache=8495
[n=13 it=12600 t=1239s] cur=5 best=5 m=49 cache=8926
[n=13 it=12800 t=1249s] cur=5 best=5 m=46 cache=9075
[n=13 it=13000 t=1259s] cur=4 best=5 m=44 cache=9225
[n=13 it=13200 t=1268s] cur=5 best=5 m=49 cache=9366
[n=13 it=13400 t=1277s] cur=5 best=5 m=48 cache=9506
[n=13 it=13600 t=1285s] cur=4 best=5 m=45 cache=9641
[n=13 it=13800 t=1295s] cur=4 best=5 m=40 cache=9783
[n=13 it=14000 t=1305s] cur=5 best=5 m=46 cache=9920
[n=13 it=14200 t=1316s] cur=5 best=5 m=46 cache=10067
[n=13 it=14400 t=1324s] cur=4 best=5 m=44 cache=10203
[n=13 it=14600 t=1334s] cur=5 best=5 m=51 cache=10350
[n=13 it=14800 t=1342s] cur=5 best=5 m=46 cache=10478
[n=13 it=15000 t=1352s] cur=5 best=5 m=44 cache=10627
[n=13 it=15400 t=1372s] cur=5 best=5 m=49 cache=10924
[n=13 it=15600 t=1382s] cur=5 best=5 m=43 cache=11071
[n=13 it=15800 t=1391s] cur=5 best=5 m=50 cache=11200
[n=13 it=16000 t=1402s] cur=4 best=5 m=47 cache=11345
[n=13 it=16200 t=1413s] cur=5 best=5 m=47 cache=11497
[n=13 it=16400 t=1420s] cur=5 best=5 m=47 cache=11629
[n=13 it=16600 t=1430s] cur=4 best=5 m=44 cache=11767
[n=13 it=17600 t=1476s] cur=5 best=5 m=48 cache=12452
[n=13 it=17800 t=1486s] cur=5 best=5 m=45 cache=12593
[n=13 it=18000 t=1494s] cur=5 best=5 m=45 cache=12730
[n=13 it=18200 t=1504s] cur=5 best=5 m=46 cache=12867
[n=13 it=18400 t=1514s] cur=5 best=5 m=49 cache=13005
[n=13 it=18600 t=1523s] cur=4 best=5 m=46 cache=13145
[n=13 it=18800 t=1533s] cur=5 best=5 m=46 cache=13295
[n=13 it=19000 t=1543s] cur=4 best=5 m=44 cache=13438
[n=13 it=19200 t=1554s] cur=5 best=5 m=50 cache=13587
[n=13 it=19400 t=1565s] cur=5 best=5 m=54 cache=13726
[n=13 it=19600 t=1576s] cur=5 best=5 m=46 cache=13872
[n=13 it=20000 t=1594s] cur=5 best=5 m=52 cache=14135
[n=13 it=20400 t=1614s] cur=5 best=5 m=51 cache=14416
[n=13 it=20600 t=1624s] cur=5 best=5 m=49 cache=14559
[n=13 it=20800 t=1634s] cur=5 best=5 m=50 cache=14703
[n=13 it=21000 t=1644s] cur=5 best=5 m=44 cache=14845
[n=13 it=21200 t=1654s] cur=5 best=5 m=50 cache=14994
[n=13 it=21600 t=1674s] cur=5 best=5 m=49 cache=15295
[n=13 it=21800 t=1683s] cur=5 best=5 m=49 cache=15438
[n=13 it=22000 t=1693s] cur=5 best=5 m=48 cache=15585
[n=13 it=23000 t=1740s] cur=5 best=5 m=51 cache=16296
[n=13 it=23600 t=1800s] cur=5 best=5 m=45 cache=16743
[n=13 it=23800 t=1823s] cur=5 best=5 m=49 cache=16876
[n=13 it=24000 t=1851s] cur=5 best=5 m=46 cache=17037
[n=13 it=24200 t=1873s] cur=5 best=5 m=50 cache=17168
[n=13 it=24400 t=1897s] cur=5 best=5 m=46 cache=17305
[n=13 it=24800 t=1947s] cur=5 best=5 m=47 cache=17585
[n=13 it=25000 t=1971s] cur=5 best=5 m=48 cache=17733
[n=13 it=25200 t=2000s] cur=5 best=5 m=50 cache=17875
[n=13 it=25600 t=2060s] cur=5 best=5 m=48 cache=18182
[n=13 it=25800 t=2082s] cur=5 best=5 m=49 cache=18313
[n=13 it=26000 t=2108s] cur=5 best=5 m=48 cache=18469
[n=13 it=26200 t=2141s] cur=5 best=5 m=50 cache=18618
[n=13 it=26400 t=2164s] cur=5 best=5 m=50 cache=18755
[n=13 it=26600 t=2186s] cur=5 best=5 m=47 cache=18890
[n=13 it=26800 t=2211s] cur=5 best=5 m=50 cache=19039
[n=13 it=27000 t=2234s] cur=5 best=5 m=45 cache=19187
[n=13 it=27400 t=2279s] cur=5 best=5 m=54 cache=19471
[n=13 it=27600 t=2305s] cur=4 best=5 m=46 cache=19622
[n=13 it=28000 t=2348s] cur=5 best=5 m=48 cache=19906
[n=13 it=28200 t=2371s] cur=5 best=5 m=47 cache=20047
[n=13 it=28800 t=2439s] cur=5 best=5 m=53 cache=20453
[n=13 it=29000 t=2462s] cur=5 best=5 m=47 cache=20592
[n=13 it=29200 t=2484s] cur=5 best=5 m=47 cache=20728
[n=13 it=29600 t=2531s] cur=5 best=5 m=48 cache=21028
[n=13 it=29800 t=2555s] cur=5 best=5 m=48 cache=21170
[n=13 it=30000 t=2578s] cur=5 best=5 m=45 cache=21322
[n=13 it=30400 t=2623s] cur=5 best=5 m=51 cache=21607
[n=13 it=30600 t=2648s] cur=5 best=5 m=47 cache=21744
[n=13 it=30800 t=2676s] cur=4 best=5 m=42 cache=21896
[n=13 it=31000 t=2703s] cur=5 best=5 m=48 cache=22050
