[n=13 it=6 t=0s] min-decomp=5 (bound 6) m=50
[n=13 it=200 t=12s] cur=5 best=5 m=44 cache=146
[n=13 it=400 t=22s] cur=5 best=5 m=47 cache=270
[n=13 it=600 t=33s] cur=5 best=5 m=47 cache=410
[n=13 it=800 t=43s] cur=5 best=5 m=54 cache=550
[n=13 it=1000 t=53s] cur=5 best=5 m=49 cache=681
[n=13 it=1200 t=65s] cur=5 best=5 m=48 cache=828
[n=13 it=1400 t=76s] cur=5 best=5 m=47 cache=968
[n=13 it=2000 t=110s] cur=4 best=5 m=47 cache=1371
[n=13 it=2200 t=121s] cur=5 best=5 m=49 cache=1513
[n=13 it=2400 t=131s] cur=5 best=5 m=47 cache=1648
[n=13 it=2600 t=143s] cur=5 best=5 m=46 cache=1796
[n=13 it=3000 t=164s] cur=5 best=5 m=45 cache=2075
[n=13 it=3200 t=176s] cur=5 best=5 m=45 cache=2224
[n=13 it=3400 t=190s] cur=5 best=5 m=49 cache=2369
[n=13 it=3800 t=215s] cur=5 best=5 m=51 cache=2657
[n=13 it=4000 t=227s] cur=4 best=5 m=47 cache=2799
[n=13 it=4200 t=239s] cur=5 best=5 m=46 cache=2926
[n=13 it=4400 t=251s] cur=5 best=5 m=50 cache=3064
[n=13 it=4600 t=261s] cur=5 best=5 m=47 cache=3206
[n=13 it=5000 t=288s] cur=5 best=5 m=46 cache=3479
[n=13 it=5200 t=305s] cur=5 best=5 m=50 cache=3620
[n=13 it=5400 t=318s] cur=5 best=5 m=48 cache=3769
[n=13 it=5600 t=329s] cur=4 best=5 m=45 cache=3911
[n=13 it=6000 t=350s] cur=4 best=5 m=47 cache=4180
[n=13 it=6200 t=360s] cur=5 best=5 m=46 cache=4314
[n=13 it=6400 t=369s] cur=5 best=5 m=46 cache=4442
[n=13 it=6600 t=379s] cur=5 best=5 m=47 cache=4576
[n=13 it=7000 t=410s] cur=5 best=5 m=50 cache=4884
[n=13 it=7200 t=430s] cur=5 best=5 m=47 cache=5022
[n=13 it=7800 t=469s] cur=5 best=5 m=48 cache=5446
[n=13 it=8200 t=496s] cur=5 best=5 m=46 cache=5728
[n=13 it=8400 t=508s] cur=5 best=5 m=48 cache=5863
[n=13 it=8600 t=520s] cur=5 best=5 m=44 cache=5995
[n=13 it=8800 t=532s] cur=5 best=5 m=47 cache=6130
[n=13 it=9000 t=546s] cur=5 best=5 m=50 cache=6283
[n=13 it=9200 t=558s] cur=5 best=5 m=47 cache=6417
[n=13 it=9400 t=571s] cur=5 best=5 m=51 cache=6558
[n=13 it=9600 t=584s] cur=4 best=5 m=46 cache=6704
[n=13 it=10000 t=607s] cur=5 best=5 m=45 cache=6976
[n=13 it=10400 t=631s] cur=4 best=5 m=46 cache=7240
[n=13 it=10800 t=658s] cur=5 best=5 m=50 cache=7544
[n=13 it=11000 t=671s] cur=5 best=5 m=43 cache=7681
[n=13 it=11200 t=684s] cur=5 best=5 m=45 cache=7823
