DONE n=15 resmod=['15', '400']: 2958286 graphs, 0 escalated, t=1182s
DONE n=15 resmod=['13', '400']: 3098484 graphs, 0 escalated, t=1201s
DONE n=15 resmod=['17', '400']: 3501520 graphs, 0 escalated, t=1369s
DONE n=15 resmod=['18', '400']: 3540143 graphs, 0 escalated, t=1384s
DONE n=15 resmod=['14', '400']: 3610190 graphs, 0 escalated, t=1393s
DONE n=15 resmod=['16', '400']: 4044292 graphs, 0 escalated, t=1606s
DONE n=15 resmod=['12', '400']: 4780804 graphs, 0 escalated, t=1904s
DONE n=15 resmod=['19', '400']: 3611491 graphs, 0 escalated, t=1428s
DONE n=15 resmod=['22', '400']: 3260937 graphs, 0 escalated, t=1283s
DONE n=15 resmod=['20', '400']: 3979925 graphs, 0 escalated, t=1549s
DONE n=15 resmod=['21', '400']: 3429813 graphs, 0 escalated, t=1382s
DONE n=15 resmod=['23', '400']: 3776947 graphs, 0 escalated, t=1492s
DONE n=15 resmod=['24', '400']: 4336782 graphs, 0 escalated, t=1767s
DONE n=15 resmod=['25', '400']: 3937904 graphs, 0 escalated, t=1576s
DONE n=15 resmod=['26', '400']: 3652149 graphs, 0 escalated, t=1333s
DONE n=15 resmod=['28', '400']: 3514497 graphs, 0 escalated, t=1284s
DONE n=15 resmod=['29', '400']: 3461438 graphs, 0 escalated, t=1316s
DONE n=15 resmod=['27', '400']: 4638843 graphs, 0 escalated, t=1645s
DONE n=15 resmod=['30', '400']: 3912075 graphs, 0 escalated, t=1427s
DONE n=15 resmod=['32', '400']: 3593340 graphs, 0 escalated, t=1149s
DONE n=15 resmod=['31', '400']: 3910726 graphs, 0 escalated, t=1333s
DONE n=15 resmod=['33', '400']: 3295107 graphs, 0 escalated, t=1061s
DONE n=15 resmod=['35', '400']: 3255227 graphs, 0 escalated, t=1080s
DONE n=15 resmod=['36', '400']: 3260375 graphs, 0 escalated, t=1050s
DONE n=15 resmod=['37', '400']: 3382687 graphs, 0 escalated, t=1062s
DONE n=15 resmod=['34', '400']: 4231669 graphs, 0 escalated, t=1350s
DONE n=15 resmod=['38', '400']: 3040871 graphs, 0 escalated, t=967s
DONE n=15 resmod=['39', '400']: 2987206 graphs, 0 escalated, t=957s
DONE n=15 resmod=['40', '400']: 3933957 graphs, 0 escalated, t=1253s
DONE n=15 resmod=['44', '400']: 3098061 graphs, 0 escalated, t=980s
DONE n=15 resmod=['42', '400']: 3669153 graphs, 0 escalated, t=1172s
DONE n=15 resmod=['41', '400']: 4231051 graphs, 0 escalated, t=1392s
DONE n=15 resmod=['45', '400']: 3116230 graphs, 0 escalated, t=963s
DONE n=15 resmod=['46', '400']: 3030606 graphs, 0 escalated, t=972s
DONE n=15 resmod=['43', '400']: 4082953 graphs, 0 escalated, t=1304s
DONE n=15 resmod=['47', '400']: 2904545 graphs, 0 escalated, t=933s
DONE n=15 resmod=['48', '400']: 3173703 graphs, 0 escalated, t=1001s
DONE n=15 resmod=['52', '400']: 3345010 graphs, 0 escalated, t=1065s
DONE n=15 resmod=['49', '400']: 3661954 graphs, 0 escalated, t=1168s
DONE n=15 resmod=['50', '400']: 3640710 graphs, 0 escalated, t=1170s
DONE n=15 resmod=['51', '400']: 4459767 graphs, 0 escalated, t=1407s
DONE n=15 resmod=['53', '400']: 4254553 graphs, 0 escalated, t=1366s
DONE n=15 resmod=['54', '400']: 3670659 graphs, 0 escalated, t=1138s
DONE n=15 resmod=['55', '400']: 4123036 graphs, 0 escalated, t=1309s
DONE n=15 resmod=['58', '400']: 4047488 graphs, 0 escalated, t=1312s
DONE n=15 resmod=['57', '400']: 4289411 graphs, 0 escalated, t=1327s
DONE n=15 resmod=['56', '400']: 4575529 graphs, 0 escalated, t=1424s
DONE n=15 resmod=['59', '400']: 3760617 graphs, 0 escalated, t=1165s
DONE n=15 resmod=['60', '400']: 4085492 graphs, 0 escalated, t=1277s
