[b24r0] seed unevaluable, abort
[b24r1] it=10 new best t=23 L=23v n=23 m=37 paths=1
[b24r1] it=18 new best t=22 L=22v n=22 m=38 paths=1
[b24r1] it=30 new best t=21 L=21v n=21 m=36 paths=1
[b24r1] it=36 new best t=19 L=21v n=22 m=37 paths=6
[b24r1] it=481 new best t=19 L=21v n=22 m=40 paths=9
[b24r1] it=491 new best t=18 L=20v n=21 m=40 paths=5
[b24r0] seed unevaluable, abort
[b24r1] it=4 new best t=14 L=14v n=14 m=20 paths=1
[b24r1] it=20 new best t=11 L=13v n=14 m=21 paths=4
[b24r1] it=21 new best t=9 L=12v n=14 m=20 paths=9
[b24r1] it=30 new best t=7 L=12v n=15 m=22 paths=24
[b24r1] it=33 new best t=7 L=12v n=16 m=22 paths=51
[b24r1] it=53 new best t=7 L=13v n=16 m=23 paths=46
[b24r1] it=10898 new best t=6 L=13v n=17 m=25 paths=90
[b24r1] it=12368 new best t=5 L=15v n=21 m=33 paths=42
[b24r1] it=12373 new best t=5 L=15v n=22 m=34 paths=83
[b24r1] it=13069 new best t=5 L=15v n=21 m=36 paths=87
[b24r1] it=13180 new best t=5 L=15v n=22 m=38 paths=93
[b24r1] it=13931 new best t=5 L=15v n=23 m=34 paths=99
[b24r1] it=16213 new best t=5 L=15v n=24 m=38 paths=173
[b24r1] it=18523 new best t=5 L=15v n=23 m=34 paths=174
[b24r1] done iters=20000 best t=5 (L=15v, n=23) elapsed=2927s
[b24r2] it=25 new best t=22 L=22v n=22 m=31 paths=1
[b24r2] it=39 new best t=21 L=21v n=21 m=31 paths=1
[b24r2] it=41 new best t=20 L=20v n=20 m=31 paths=1
[b24r2] it=182 new best t=18 L=20v n=21 m=35 paths=3
[b24r2] it=185 new best t=17 L=19v n=20 m=34 paths=3
[b24r2] it=187 new best t=16 L=18v n=19 m=33 paths=3
[b24r2] it=446 new best t=16 L=19v n=21 m=37 paths=10
[b24r2] it=772 new best t=15 L=19v n=21 m=36 paths=24
[b24r2] it=776 new best t=15 L=19v n=21 m=36 paths=26
[b24r2] it=790 new best t=14 L=18v n=20 m=34 paths=33
[b24r2] it=921 new best t=14 L=20v n=23 m=38 paths=37
[b24r2] it=924 new best t=13 L=19v n=22 m=37 paths=37
[b24r2] it=926 new best t=12 L=18v n=21 m=36 paths=50
[b24r2] it=3431 new best t=12 L=20v n=24 m=37 paths=141
[b24r2] it=5318 new best t=11 L=17v n=20 m=34 paths=30
[b24r2] it=6124 new best t=11 L=17v n=20 m=33 paths=58
[b24r2] it=6128 new best t=11 L=17v n=20 m=34 paths=64
[b24r2] it=6129 new best t=10 L=16v n=19 m=33 paths=79
[b24r2] it=6142 new best t=10 L=16v n=20 m=34 paths=158
[b24r2] it=11451 new best t=9 L=16v n=20 m=33 paths=98
[b24r2] it=11457 new best t=9 L=16v n=20 m=34 paths=109
[b24r2] it=12515 new best t=8 L=14v n=17 m=26 paths=26
[b24r2] it=14186 new best t=7 L=15v n=19 m=29 paths=72
[b24r2] it=14193 new best t=7 L=15v n=19 m=30 paths=108
[b24r2] it=14227 new best t=7 L=15v n=19 m=30 paths=111
[b24r2] it=14228 new best t=7 L=15v n=19 m=31 paths=154
[b24r2] it=14230 new best t=7 L=15v n=19 m=32 paths=191
[b24r2] it=14584 new best t=7 L=15v n=19 m=30 paths=251
[b24r2] it=14593 new best t=7 L=15v n=20 m=30 paths=281
[b24r2] it=14596 new best t=7 L=15v n=20 m=30 paths=404
[b24r2] it=14597 new best t=7 L=15v n=20 m=31 paths=530
[b24r2] it=15146 new best t=7 L=15v n=21 m=34 paths=736
[b24r2] it=15748 new best t=5 L=11v n=14 m=24 paths=42
[b24r2] it=15822 new best t=5 L=11v n=14 m=21 paths=53
[b24r2] it=15897 new best t=5 L=11v n=14 m=23 paths=56
[b24r2] it=15922 new best t=5 L=11v n=15 m=23 paths=96
[b24r2] it=16441 new best t=5 L=11v n=15 m=24 paths=107
[b24r2] it=16442 new best t=5 L=11v n=15 m=25 paths=110
[b24r2] it=16544 new best t=5 L=11v n=15 m=25 paths=120
[b24r2] it=16554 new best t=5 L=11v n=16 m=25 paths=208
[b24r2] it=16752 new best t=5 L=11v n=16 m=27 paths=277
[b24r2] it=16754 new best t=5 L=11v n=16 m=28 paths=302
[b24r2] done iters=20000 best t=5 (L=11v, n=16) elapsed=2846s
[b24r3] it=46 new best t=17 L=19v n=21 m=24 paths=2
[b24r3] it=342 new best t=17 L=21v n=23 m=34 paths=21
[b24r3] it=343 new best t=16 L=20v n=22 m=33 paths=26
[b24r3] it=477 new best t=14 L=20v n=23 m=35 paths=45
[b24r3] it=480 new best t=13 L=19v n=22 m=34 paths=52
[b24r3] it=489 new best t=13 L=19v n=22 m=33 paths=57
[b24r3] it=3792 new best t=11 L=17v n=20 m=34 paths=44
[b24r3] it=8387 new best t=11 L=19v n=23 m=35 paths=36
[b24r3] it=8543 new best t=11 L=19v n=23 m=36 paths=122
[b24r3] it=8549 new best t=10 L=18v n=22 m=36 paths=122
[b24r3] it=9750 new best t=9 L=16v n=20 m=31 paths=95
[b24r3] it=11443 new best t=9 L=16v n=20 m=35 paths=174
