start n=14 L=8 vars=2422 clauses=15729
it=100 +580cl tot=76115 (1s)
it=200 +667cl tot=146563 (2s)
it=300 +1020cl tot=216639 (3s)
it=400 +972cl tot=286962 (5s)
it=500 +1074cl tot=351873 (7s)
it=600 +666cl tot=428911 (9s)
it=700 +1190cl tot=496466 (11s)
it=800 +708cl tot=561074 (13s)
it=900 +1153cl tot=620598 (15s)
it=1000 +883cl tot=697142 (18s)
it=1100 +1098cl tot=765901 (21s)
it=1200 +666cl tot=832942 (24s)
it=1300 +240cl tot=892398 (27s)
it=1400 +349cl tot=952921 (31s)
it=1500 +944cl tot=1020331 (35s)
it=1600 +280cl tot=1092940 (39s)
it=1700 +1197cl tot=1159713 (44s)
it=1800 +949cl tot=1230838 (49s)
it=1900 +1116cl tot=1292555 (54s)
it=2000 +623cl tot=1363459 (59s)
it=2100 +371cl tot=1427428 (66s)
it=2200 +661cl tot=1483560 (71s)
it=2300 +255cl tot=1543565 (78s)
it=2400 +424cl tot=1611747 (85s)
it=2500 +1037cl tot=1678171 (92s)
it=2600 +582cl tot=1734651 (100s)
it=2700 +449cl tot=1795913 (107s)
it=2800 +651cl tot=1860917 (115s)
it=2900 +204cl tot=1914693 (123s)
it=3000 +695cl tot=1965031 (131s)
it=3100 +388cl tot=2024858 (139s)
it=3200 +400cl tot=2082654 (148s)
it=3300 +210cl tot=2146108 (158s)
it=3400 +1111cl tot=2212870 (169s)
it=3500 +384cl tot=2272489 (180s)
it=3600 +306cl tot=2330904 (192s)
it=3700 +574cl tot=2390962 (203s)
it=3800 +655cl tot=2449795 (216s)
it=3900 +252cl tot=2507976 (229s)
it=4000 +395cl tot=2561187 (241s)
it=4100 +472cl tot=2618619 (254s)
it=4200 +625cl tot=2671495 (268s)
it=4300 +444cl tot=2725189 (282s)
it=4400 +1123cl tot=2776564 (295s)
it=4500 +409cl tot=2827865 (314s)
it=4600 +364cl tot=2886792 (333s)
it=4700 +191cl tot=2944652 (352s)
it=4800 +655cl tot=2996215 (372s)
it=4900 +414cl tot=3046670 (391s)
it=5000 +676cl tot=3099102 (411s)
it=5100 +407cl tot=3147791 (430s)
it=5200 +165cl tot=3197354 (450s)
it=5300 +464cl tot=3248077 (490s)
it=5400 +522cl tot=3303004 (509s)
it=5500 +528cl tot=3355058 (527s)
it=5600 +1040cl tot=3405145 (549s)
it=5700 +585cl tot=3452724 (569s)
it=5800 +319cl tot=3505282 (590s)
it=5900 +541cl tot=3557878 (610s)
it=6000 +389cl tot=3611803 (631s)
it=6100 +357cl tot=3660674 (653s)
it=6200 +635cl tot=3708978 (672s)
it=6300 +582cl tot=3756520 (695s)
it=6400 +169cl tot=3807797 (723s)
it=6500 +262cl tot=3857608 (750s)
it=6600 +198cl tot=3902909 (776s)
it=6700 +549cl tot=3950108 (804s)
it=6800 +598cl tot=3998565 (831s)
it=6900 +523cl tot=4045563 (856s)
it=7000 +342cl tot=4090091 (886s)
it=7100 +896cl tot=4135870 (912s)
it=7200 +364cl tot=4186686 (939s)
it=7300 +311cl tot=4235780 (965s)
it=7400 +621cl tot=4284941 (993s)
it=7500 +533cl tot=4331660 (1022s)
it=7600 +299cl tot=4375690 (1053s)
it=7700 +261cl tot=4420237 (1085s)
it=7800 +432cl tot=4468096 (1118s)
it=7900 +465cl tot=4513521 (1150s)
it=8000 +257cl tot=4553697 (1177s)
it=8100 +376cl tot=4595654 (1212s)
it=8200 +1065cl tot=4638925 (1244s)
it=8300 +222cl tot=4678117 (1274s)
it=8400 +357cl tot=4722321 (1310s)
it=8500 +291cl tot=4768085 (1346s)
it=8600 +367cl tot=4813881 (1381s)
it=8700 +462cl tot=4857293 (1415s)
it=8800 +371cl tot=4899529 (1449s)
it=8900 +396cl tot=4941611 (1481s)
it=9000 +288cl tot=4981915 (1521s)
it=9100 +333cl tot=5024129 (1560s)
it=9200 +736cl tot=5067427 (1595s)
it=9300 +571cl tot=5112821 (1634s)
it=9400 +411cl tot=5152747 (1897s)
it=9500 +657cl tot=5196053 (1938s)
it=9600 +602cl tot=5236063 (1980s)
it=9700 +296cl tot=5274264 (2015s)
it=9800 +796cl tot=5317809 (2054s)
it=9900 +219cl tot=5362165 (2097s)
it=10000 +627cl tot=5401051 (2140s)
it=10100 +364cl tot=5440941 (2180s)
it=10200 +835cl tot=5481161 (2222s)
it=10300 +322cl tot=5520698 (2268s)
it=10400 +342cl tot=5559899 (2312s)
it=10500 +359cl tot=5601117 (2355s)
it=10600 +362cl tot=5640453 (2407s)
it=10700 +318cl tot=5681010 (2459s)
it=10800 +402cl tot=5721406 (2508s)
it=10900 +174cl tot=5757451 (2557s)
it=11000 +331cl tot=5794769 (2605s)
it=11100 +522cl tot=5834534 (2654s)
it=11200 +298cl tot=5873057 (2695s)
it=11300 +931cl tot=5911433 (2736s)
it=11400 +162cl tot=5951607 (2782s)
it=11500 +207cl tot=5989061 (2830s)
it=11600 +346cl tot=6025069 (2883s)
it=11700 +704cl tot=6060680 (2934s)
it=11800 +355cl tot=6100642 (2987s)
it=11900 +283cl tot=6138598 (3042s)
it=12000 +162cl tot=6176581 (3100s)
it=12100 +306cl tot=6212678 (3153s)
