it=0 cur=12 best=12 T=2.00 elapsed=0s
it=3 best=11 n=14 L=11 edges=[(0, 2), (0, 4), (0, 8), (1, 3), (1, 10), (1, 12), (2, 11), (2, 13), (3, 5), (3, 13), (5, 11), (6, 9), (7, 12), (9, 12), (10, 11)]
it=5 best=9 n=14 L=9 edges=[(0, 2), (0, 4), (0, 8), (1, 3), (1, 12), (2, 11), (2, 13), (3, 5), (3, 13), (5, 11), (6, 9), (7, 12), (9, 12), (10, 11)]
it=11 best=8 n=14 L=9 edges=[(0, 2), (0, 4), (0, 8), (1, 3), (1, 12), (2, 5), (2, 11), (2, 13), (3, 5), (3, 13), (5, 11), (6, 9), (7, 12), (9, 12), (10, 11)]
it=23 best=7 n=14 L=9 edges=[(0, 2), (0, 4), (0, 8), (1, 12), (2, 5), (2, 13), (3, 5), (3, 12), (3, 13), (5, 11), (6, 9), (7, 12), (7, 13), (9, 12), (10, 11)]
it=65 best=6 n=14 L=12 edges=[(0, 2), (0, 3), (0, 8), (1, 12), (2, 5), (2, 6), (2, 13), (3, 5), (3, 12), (4, 5), (4, 6), (4, 10), (4, 13), (5, 11), (6, 8), (6, 9), (7, 12), (7, 13), (8, 10), (9, 12), (10, 11)]
it=200 cur=8 best=6 T=2.00 elapsed=0s
it=388 best=5 n=14 L=7 edges=[(0, 13), (1, 4), (1, 5), (1, 7), (1, 8), (1, 10), (1, 13), (2, 6), (2, 10), (3, 5), (5, 6), (5, 12), (6, 11), (6, 13), (9, 10), (10, 11)]
it=400 cur=10 best=5 T=2.00 elapsed=1s
it=551 best=3 n=14 L=8 edges=[(0, 2), (0, 4), (0, 5), (0, 10), (0, 12), (0, 13), (1, 2), (1, 3), (1, 4), (1, 8), (2, 3), (3, 5), (3, 7), (3, 12), (5, 11), (6, 8), (9, 12)]
it=578 best=2 n=14 L=6 edges=[(0, 13), (1, 2), (1, 4), (1, 7), (1, 8), (2, 3), (3, 5), (3, 7), (3, 12), (3, 13), (4, 10), (5, 11), (6, 8), (9, 12)]
it=600 cur=9 best=2 T=2.00 elapsed=1s
it=800 cur=7 best=2 T=2.00 elapsed=2s
it=1000 cur=9 best=2 T=2.00 elapsed=2s
it=1200 cur=6 best=2 T=2.00 elapsed=2s
it=1400 cur=7 best=2 T=2.00 elapsed=3s
it=1600 cur=10 best=2 T=2.00 elapsed=3s
it=1753 best=1 n=14 L=6 edges=[(0, 1), (0, 2), (0, 9), (2, 13), (3, 7), (4, 5), (5, 7), (5, 13), (6, 8), (6, 10), (6, 12), (6, 13), (8, 12), (10, 11)]
it=1800 cur=1 best=1 T=2.00 elapsed=4s
it=2000 cur=1 best=1 T=2.00 elapsed=4s
it=2200 cur=1 best=1 T=1.99 elapsed=4s
it=2400 cur=1 best=1 T=1.99 elapsed=4s
it=2600 cur=1 best=1 T=1.99 elapsed=4s
it=2800 cur=1 best=1 T=1.99 elapsed=4s
it=3000 cur=1 best=1 T=1.99 elapsed=4s
it=3200 cur=1 best=1 T=1.99 elapsed=4s
it=3400 cur=1 best=1 T=1.99 elapsed=4s
it=3600 cur=1 best=1 T=1.99 elapsed=4s
it=3800 cur=1 best=1 T=1.99 elapsed=4s
it=4000 cur=1 best=1 T=1.99 elapsed=4s
it=4200 cur=1 best=1 T=1.99 elapsed=4s
it=4400 cur=1 best=1 T=1.99 elapsed=4s
it=4600 cur=1 best=1 T=1.99 elapsed=4s
it=4800 cur=1 best=1 T=1.99 elapsed=4s
it=5000 cur=1 best=1 T=1.99 elapsed=4s
it=5200 cur=1 best=1 T=1.99 elapsed=4s
it=5400 cur=1 best=1 T=1.99 elapsed=4s
it=5600 cur=1 best=1 T=1.99 elapsed=4s
it=5800 cur=1 best=1 T=1.99 elapsed=4s
it=6000 cur=1 best=1 T=1.99 elapsed=4s
it=6200 cur=1 best=1 T=1.98 elapsed=4s
it=6400 cur=1 best=1 T=1.98 elapsed=4s
it=6600 cur=1 best=1 T=1.98 elapsed=4s
it=6800 cur=1 best=1 T=1.98 elapsed=5s
it=7000 cur=1 best=1 T=1.98 elapsed=5s
it=7200 cur=1 best=1 T=1.98 elapsed=5s
it=7400 cur=1 best=1 T=1.98 elapsed=5s
it=7600 cur=1 best=1 T=1.98 elapsed=5s
it=7800 cur=1 best=1 T=1.98 elapsed=5s
it=8000 cur=1 best=1 T=1.98 elapsed=5s
it=8200 cur=1 best=1 T=1.98 elapsed=5s
it=8400 cur=1 best=1 T=1.98 elapsed=5s
it=8600 cur=1 best=1 T=1.98 elapsed=5s
it=8800 cur=1 best=1 T=1.98 elapsed=5s
it=9000 cur=1 best=1 T=1.98 elapsed=5s
it=9200 cur=1 best=1 T=1.98 elapsed=5s
it=9400 cur=1 best=1 T=1.98 elapsed=5s
it=9600 cur=1 best=1 T=1.98 elapsed=5s
it=9800 cur=1 best=1 T=1.98 elapsed=5s
it=10000 cur=1 best=1 T=1.98 elapsed=5s
it=10200 cur=1 best=1 T=1.97 elapsed=5s
it=10400 cur=1 best=1 T=1.97 elapsed=5s
it=10600 cur=1 best=1 T=1.97 elapsed=5s
it=10800 cur=1 best=1 T=1.97 elapsed=5s
it=11000 cur=1 best=1 T=1.97 elapsed=5s
it=11200 cur=1 best=1 T=1.97 elapsed=5s
it=11400 cur=1 best=1 T=1.97 elapsed=5s
it=11600 cur=1 best=1 T=1.97 elapsed=5s
it=11800 cur=1 best=1 T=1.97 elapsed=5s
it=12000 cur=1 best=1 T=1.97 elapsed=5s
it=12200 cur=1 best=1 T=1.97 elapsed=5s
it=12400 cur=1 best=1 T=1.97 elapsed=6s
it=12600 cur=1 best=1 T=1.97 elapsed=6s
it=12800 cur=1 best=1 T=1.97 elapsed=6s
it=13000 cur=1 best=1 T=1.97 elapsed=6s
it=13200 cur=1 best=1 T=1.97 elapsed=6s
it=13400 cur=1 best=1 T=1.97 elapsed=6s
it=13600 cur=1 best=1 T=1.97 elapsed=6s
it=13800 cur=1 best=1 T=1.97 elapsed=6s
it=14000 cur=1 best=1 T=1.97 elapsed=6s
it=14200 cur=1 best=1 T=1.96 elapsed=6s
it=14400 cur=1 best=1 T=1.96 elapsed=6s
it=14600 cur=1 best=1 T=1.96 elapsed=6s
it=14800 cur=1 best=1 T=1.96 elapsed=6s
it=15000 cur=1 best=1 T=1.96 elapsed=6s
it=15200 cur=1 best=1 T=1.96 elapsed=6s
it=15400 cur=1 best=1 T=1.96 elapsed=6s
it=15600 cur=1 best=1 T=1.96 elapsed=6s
it=15800 cur=1 best=1 T=1.96 elapsed=6s
it=16000 cur=1 best=1 T=1.96 elapsed=6s
it=16200 cur=1 best=1 T=1.96 elapsed=6s
it=16400 cur=1 best=1 T=1.96 elapsed=6s
it=16600 cur=1 best=1 T=1.96 elapsed=6s
it=16800 cur=1 best=1 T=1.96 elapsed=6s
it=17000 cur=1 best=1 T=1.96 elapsed=6s
it=17200 cur=1 best=1 T=1.96 elapsed=6s
it=17400 cur=1 best=1 T=1.96 elapsed=6s
it=17600 cur=1 best=1 T=1.96 elapsed=6s
it=17800 cur=1 best=1 T=1.96 elapsed=6s
it=18000 cur=1 best=1 T=1.96 elapsed=6s
it=18200 cur=1 best=1 T=1.95 elapsed=6s
it=18400 cur=1 best=1 T=1.95 elapsed=7s
it=18600 cur=1 best=1 T=1.95 elapsed=7s
it=18800 cur=1 best=1 T=1.95 elapsed=7s
it=19000 cur=1 best=1 T=1.95 elapsed=7s
it=19200 cur=1 best=1 T=1.95 elapsed=7s
it=19400 cur=1 best=1 T=1.95 elapsed=7s
it=19600 cur=1 best=1 T=1.95 elapsed=7s
it=19800 cur=1 best=1 T=1.95 elapsed=7s
