it=0 best=12 n=18 L=12 edges=[(0, 3), (0, 11), (0, 15), (1, 15), (1, 16), (1, 17), (2, 4), (2, 6), (2, 7), (3, 10), (3, 13), (4, 5), (4, 11), (5, 14), (5, 15), (8, 11), (9, 15), (10, 17), (12, 15), (14, 15)]
it=0 cur=12 best=12 T=2.00 elapsed=0s
it=4 best=11 n=18 L=12 edges=[(0, 3), (0, 11), (0, 15), (1, 15), (1, 16), (1, 17), (2, 3), (2, 4), (2, 6), (2, 7), (3, 10), (3, 13), (4, 5), (4, 11), (4, 13), (5, 14), (5, 15), (8, 11), (9, 15), (10, 17), (12, 15), (14, 15)]
it=10 best=7 n=18 L=10 edges=[(0, 3), (0, 11), (0, 15), (1, 15), (1, 16), (1, 17), (2, 3), (2, 4), (2, 6), (2, 7), (3, 10), (3, 13), (4, 5), (4, 11), (4, 13), (5, 14), (5, 15), (8, 11), (9, 15), (12, 15), (14, 15)]
it=24 best=4 n=18 L=10 edges=[(0, 3), (0, 11), (0, 15), (1, 15), (1, 16), (1, 17), (2, 3), (2, 6), (2, 7), (3, 10), (3, 13), (4, 5), (4, 11), (4, 13), (4, 16), (5, 14), (8, 11), (9, 15), (12, 15), (14, 15)]
it=44 best=3 n=18 L=8 edges=[(0, 3), (0, 15), (1, 15), (1, 17), (2, 3), (2, 6), (2, 7), (3, 9), (3, 10), (3, 13), (4, 11), (4, 13), (4, 14), (4, 16), (5, 14), (8, 11), (12, 15), (14, 15)]
it=200 cur=9 best=3 T=2.00 elapsed=1s
it=400 cur=4 best=3 T=1.99 elapsed=1s
it=600 cur=8 best=3 T=1.99 elapsed=1s
it=800 cur=3 best=3 T=1.98 elapsed=2s
it=1000 cur=7 best=3 T=1.98 elapsed=2s
it=1200 cur=13 best=3 T=1.98 elapsed=2s
it=1400 cur=11 best=3 T=1.97 elapsed=3s
it=1600 cur=5 best=3 T=1.97 elapsed=4s
it=1610 best=1 n=18 L=6 edges=[(0, 4), (0, 10), (0, 12), (0, 13), (1, 11), (2, 13), (3, 4), (4, 7), (4, 9), (4, 14), (5, 9), (6, 7), (8, 16), (10, 11), (13, 15), (13, 16), (13, 17)]
it=1800 cur=6 best=1 T=1.96 elapsed=4s
it=2000 cur=16 best=1 T=1.96 elapsed=4s
it=2200 cur=8 best=1 T=1.96 elapsed=4s
it=2400 cur=12 best=1 T=1.95 elapsed=5s
it=2600 cur=12 best=1 T=1.95 elapsed=5s
it=2800 cur=9 best=1 T=1.94 elapsed=6s
it=3000 cur=14 best=1 T=1.94 elapsed=7s
it=3200 cur=4 best=1 T=1.94 elapsed=7s
it=3400 cur=10 best=1 T=1.93 elapsed=7s
it=3600 cur=4 best=1 T=1.93 elapsed=7s
it=3800 cur=9 best=1 T=1.92 elapsed=7s
it=4000 cur=9 best=1 T=1.92 elapsed=8s
it=4200 cur=4 best=1 T=1.92 elapsed=8s
it=4400 cur=11 best=1 T=1.91 elapsed=9s
it=4600 cur=13 best=1 T=1.91 elapsed=10s
it=4800 cur=6 best=1 T=1.90 elapsed=12s
it=5000 cur=14 best=1 T=1.90 elapsed=12s
it=5200 cur=1 best=1 T=1.90 elapsed=13s
it=5400 cur=6 best=1 T=1.89 elapsed=13s
it=5600 cur=8 best=1 T=1.89 elapsed=13s
it=5800 cur=8 best=1 T=1.88 elapsed=14s
it=6000 cur=10 best=1 T=1.88 elapsed=14s
it=6200 cur=2 best=1 T=1.88 elapsed=14s
it=6400 cur=9 best=1 T=1.87 elapsed=15s
it=6600 cur=3 best=1 T=1.87 elapsed=15s
it=6800 cur=12 best=1 T=1.86 elapsed=15s
it=7000 cur=14 best=1 T=1.86 elapsed=16s
it=7200 cur=6 best=1 T=1.86 elapsed=16s
it=7400 cur=10 best=1 T=1.85 elapsed=16s
it=7600 cur=1 best=1 T=1.85 elapsed=16s
it=7800 cur=1 best=1 T=1.84 elapsed=17s
it=8000 cur=1 best=1 T=1.84 elapsed=17s
it=8200 cur=1 best=1 T=1.84 elapsed=17s
it=8400 cur=13 best=1 T=1.83 elapsed=17s
it=8600 cur=7 best=1 T=1.83 elapsed=18s
it=8800 cur=9 best=1 T=1.82 elapsed=18s
it=9000 cur=9 best=1 T=1.82 elapsed=19s
it=9200 cur=8 best=1 T=1.82 elapsed=20s
it=9400 cur=6 best=1 T=1.81 elapsed=21s
it=9600 cur=8 best=1 T=1.81 elapsed=21s
it=9800 cur=6 best=1 T=1.80 elapsed=21s
it=10000 cur=3 best=1 T=1.80 elapsed=21s
it=10200 cur=10 best=1 T=1.80 elapsed=21s
it=10400 cur=14 best=1 T=1.79 elapsed=22s
it=10600 cur=12 best=1 T=1.79 elapsed=24s
it=10800 cur=8 best=1 T=1.78 elapsed=24s
it=11000 cur=5 best=1 T=1.78 elapsed=24s
it=11200 cur=13 best=1 T=1.78 elapsed=24s
it=11400 cur=10 best=1 T=1.77 elapsed=29s
it=11600 cur=13 best=1 T=1.77 elapsed=30s
it=11800 cur=2 best=1 T=1.76 elapsed=30s
it=12000 cur=12 best=1 T=1.76 elapsed=32s
it=12200 cur=9 best=1 T=1.76 elapsed=35s
it=12400 cur=12 best=1 T=1.75 elapsed=36s
it=12600 cur=10 best=1 T=1.75 elapsed=36s
it=12800 cur=8 best=1 T=1.74 elapsed=37s
it=13000 cur=8 best=1 T=1.74 elapsed=37s
it=13200 cur=4 best=1 T=1.74 elapsed=37s
it=13400 cur=9 best=1 T=1.73 elapsed=37s
it=13600 cur=10 best=1 T=1.73 elapsed=48s
it=13800 cur=5 best=1 T=1.72 elapsed=49s
it=14000 cur=8 best=1 T=1.72 elapsed=49s
it=14200 cur=6 best=1 T=1.72 elapsed=50s
it=14400 cur=2 best=1 T=1.71 elapsed=50s
it=14600 cur=9 best=1 T=1.71 elapsed=50s
