nohup: ignoring input
n=17 cnt=5000 elapsed=46s
n=17 cnt=10000 elapsed=84s
n=17 cnt=15000 elapsed=133s
n=17 cnt=20000 elapsed=190s
n=17 cnt=25000 elapsed=250s
n=17 cnt=30000 elapsed=287s
n=17 cnt=35000 elapsed=343s
n=17 cnt=40000 elapsed=398s
n=17 cnt=45000 elapsed=448s
n=17 cnt=50000 elapsed=497s
n=17 cnt=55000 elapsed=545s
n=17 cnt=60000 elapsed=594s
n=17 cnt=65000 elapsed=668s
n=17 cnt=70000 elapsed=733s
n=17 cnt=75000 elapsed=784s
n=17 cnt=80000 elapsed=834s
n=17 cnt=85000 elapsed=890s
n=17 cnt=90000 elapsed=941s
n=17 cnt=95000 elapsed=985s
n=17 cnt=100000 elapsed=1034s
n=17 cnt=105000 elapsed=1081s
n=17 cnt=110000 elapsed=1129s
n=17 cnt=115000 elapsed=1178s
n=17 cnt=120000 elapsed=1241s
n=17 cnt=125000 elapsed=1322s
n=17 cnt=130000 elapsed=1392s
n=17 cnt=135000 elapsed=1475s
n=17 cnt=140000 elapsed=1568s
n=17 cnt=145000 elapsed=1659s
n=17 cnt=150000 elapsed=1781s
n=17 cnt=155000 elapsed=1843s
n=17 cnt=160000 elapsed=1895s
n=17 cnt=165000 elapsed=1986s
n=17 cnt=170000 elapsed=2137s
n=17 cnt=175000 elapsed=2178s
n=17 cnt=180000 elapsed=2235s
n=17 cnt=185000 elapsed=2293s
n=17 cnt=190000 elapsed=2354s
n=17 cnt=195000 elapsed=2410s
n=17 cnt=200000 elapsed=2465s
n=17 cnt=205000 elapsed=2518s
n=17 cnt=210000 elapsed=2564s
n=17 cnt=215000 elapsed=2622s
n=17 cnt=220000 elapsed=2676s
n=17 cnt=225000 elapsed=2728s
n=17 cnt=230000 elapsed=2780s
n=17 cnt=235000 elapsed=2834s
n=17 cnt=240000 elapsed=2887s
n=17 cnt=245000 elapsed=2938s
n=17 cnt=250000 elapsed=2988s
n=17 cnt=255000 elapsed=3044s
n=17 cnt=260000 elapsed=3097s
n=17 cnt=265000 elapsed=3147s
n=17 cnt=270000 elapsed=3193s
n=17 cnt=275000 elapsed=3239s
n=17 cnt=280000 elapsed=3285s
n=17 cnt=285000 elapsed=3330s
n=17 cnt=290000 elapsed=3387s
n=17 cnt=295000 elapsed=3434s
n=17 cnt=300000 elapsed=3481s
n=17 cnt=305000 elapsed=3533s
n=17 cnt=310000 elapsed=3585s
n=17 cnt=315000 elapsed=3645s
n=17 cnt=320000 elapsed=3739s
n=17 cnt=325000 elapsed=3830s
n=17 cnt=330000 elapsed=3924s
n=17 cnt=335000 elapsed=4013s
n=17 cnt=340000 elapsed=4099s
n=17 cnt=345000 elapsed=4175s
n=17 cnt=350000 elapsed=4284s
n=17 cnt=355000 elapsed=4376s
n=17 cnt=360000 elapsed=4462s
n=17 cnt=365000 elapsed=4550s
n=17 cnt=370000 elapsed=4633s
n=17 cnt=375000 elapsed=4716s
n=17 cnt=380000 elapsed=4797s
n=17 cnt=385000 elapsed=4875s
n=17 cnt=390000 elapsed=4975s
n=17 cnt=395000 elapsed=5108s
n=17 cnt=400000 elapsed=5242s
n=17 cnt=405000 elapsed=5401s
n=17 cnt=410000 elapsed=5554s
n=17 cnt=415000 elapsed=5689s
n=17 cnt=420000 elapsed=5802s
n=17 cnt=425000 elapsed=5932s
n=17 cnt=430000 elapsed=6077s
n=17 cnt=435000 elapsed=6222s
n=17 cnt=440000 elapsed=6369s
n=17 cnt=445000 elapsed=6502s
n=17 cnt=450000 elapsed=6622s
n=17 cnt=455000 elapsed=6733s
n=17 cnt=460000 elapsed=6867s
n=17 cnt=465000 elapsed=7030s
n=17 cnt=470000 elapsed=7165s
n=17 cnt=475000 elapsed=7283s
n=17 cnt=480000 elapsed=7522s
n=17 cnt=485000 elapsed=7572s
n=17 cnt=490000 elapsed=7691s
n=17 cnt=495000 elapsed=7822s
n=17 cnt=500000 elapsed=7949s
n=17 cnt=505000 elapsed=8071s
n=17 cnt=510000 elapsed=8213s
n=17 cnt=515000 elapsed=8344s
n=17 cnt=520000 elapsed=8471s
n=17 cnt=525000 elapsed=8558s
n=17 cnt=530000 elapsed=8667s
n=17 cnt=535000 elapsed=8794s
n=17 cnt=540000 elapsed=8909s
n=17 cnt=545000 elapsed=8954s
n=17 cnt=550000 elapsed=9009s
n=17 cnt=555000 elapsed=9234s
n=17 cnt=560000 elapsed=9446s
DONE n=17 blocks=563334 elapsed=9580s
