nohup: ignoring input
n=18 cnt=5000 elapsed=49s
n=18 cnt=10000 elapsed=105s
n=18 cnt=15000 elapsed=191s
n=18 cnt=20000 elapsed=294s
n=18 cnt=25000 elapsed=391s
n=18 cnt=30000 elapsed=489s
n=18 cnt=35000 elapsed=574s
n=18 cnt=40000 elapsed=680s
n=18 cnt=45000 elapsed=838s
n=18 cnt=50000 elapsed=923s
n=18 cnt=55000 elapsed=989s
n=18 cnt=60000 elapsed=1056s
n=18 cnt=65000 elapsed=1119s
n=18 cnt=70000 elapsed=1170s
n=18 cnt=75000 elapsed=1267s
n=18 cnt=80000 elapsed=1376s
n=18 cnt=85000 elapsed=1464s
n=18 cnt=90000 elapsed=1561s
n=18 cnt=95000 elapsed=1664s
n=18 cnt=100000 elapsed=1762s
n=18 cnt=105000 elapsed=1874s
n=18 cnt=110000 elapsed=1981s
n=18 cnt=115000 elapsed=2099s
n=18 cnt=120000 elapsed=2184s
n=18 cnt=125000 elapsed=2275s
n=18 cnt=130000 elapsed=2356s
n=18 cnt=135000 elapsed=2438s
n=18 cnt=140000 elapsed=2472s
n=18 cnt=145000 elapsed=2508s
n=18 cnt=150000 elapsed=2534s
n=18 cnt=155000 elapsed=2570s
n=18 cnt=160000 elapsed=2606s
n=18 cnt=165000 elapsed=2643s
n=18 cnt=170000 elapsed=2676s
n=18 cnt=175000 elapsed=2714s
n=18 cnt=180000 elapsed=2751s
n=18 cnt=185000 elapsed=2785s
n=18 cnt=190000 elapsed=2822s
n=18 cnt=195000 elapsed=2856s
n=18 cnt=200000 elapsed=2894s
n=18 cnt=205000 elapsed=2930s
n=18 cnt=210000 elapsed=2966s
n=18 cnt=215000 elapsed=2997s
n=18 cnt=220000 elapsed=3028s
n=18 cnt=225000 elapsed=3062s
n=18 cnt=230000 elapsed=3098s
n=18 cnt=235000 elapsed=3129s
n=18 cnt=240000 elapsed=3187s
n=18 cnt=245000 elapsed=3249s
n=18 cnt=250000 elapsed=3308s
n=18 cnt=255000 elapsed=3368s
n=18 cnt=260000 elapsed=3434s
n=18 cnt=265000 elapsed=3501s
n=18 cnt=270000 elapsed=3560s
n=18 cnt=275000 elapsed=3614s
n=18 cnt=280000 elapsed=3673s
n=18 cnt=285000 elapsed=3729s
n=18 cnt=290000 elapsed=3788s
n=18 cnt=295000 elapsed=3838s
n=18 cnt=300000 elapsed=3892s
n=18 cnt=305000 elapsed=3942s
n=18 cnt=310000 elapsed=3996s
n=18 cnt=315000 elapsed=4054s
n=18 cnt=320000 elapsed=4119s
n=18 cnt=325000 elapsed=4177s
n=18 cnt=330000 elapsed=4241s
n=18 cnt=335000 elapsed=4305s
n=18 cnt=340000 elapsed=4370s
n=18 cnt=345000 elapsed=4430s
n=18 cnt=350000 elapsed=4535s
n=18 cnt=355000 elapsed=4636s
n=18 cnt=360000 elapsed=4735s
n=18 cnt=365000 elapsed=4826s
n=18 cnt=370000 elapsed=4922s
n=18 cnt=375000 elapsed=5019s
n=18 cnt=380000 elapsed=5121s
n=18 cnt=385000 elapsed=5220s
n=18 cnt=390000 elapsed=5323s
n=18 cnt=395000 elapsed=5412s
n=18 cnt=400000 elapsed=5506s
n=18 cnt=405000 elapsed=5603s
n=18 cnt=410000 elapsed=5695s
n=18 cnt=415000 elapsed=5801s
n=18 cnt=420000 elapsed=5895s
n=18 cnt=425000 elapsed=5990s
n=18 cnt=430000 elapsed=6078s
n=18 cnt=435000 elapsed=6176s
n=18 cnt=440000 elapsed=6283s
n=18 cnt=445000 elapsed=6374s
n=18 cnt=450000 elapsed=6470s
n=18 cnt=455000 elapsed=6559s
n=18 cnt=460000 elapsed=6653s
n=18 cnt=465000 elapsed=6748s
n=18 cnt=470000 elapsed=6829s
n=18 cnt=475000 elapsed=6913s
n=18 cnt=480000 elapsed=6999s
n=18 cnt=485000 elapsed=7074s
n=18 cnt=490000 elapsed=7164s
n=18 cnt=495000 elapsed=7258s
n=18 cnt=500000 elapsed=7339s
n=18 cnt=505000 elapsed=7430s
n=18 cnt=510000 elapsed=7528s
n=18 cnt=515000 elapsed=7622s
n=18 cnt=520000 elapsed=7713s
n=18 cnt=525000 elapsed=7807s
n=18 cnt=530000 elapsed=7904s
n=18 cnt=535000 elapsed=8012s
n=18 cnt=540000 elapsed=8118s
n=18 cnt=545000 elapsed=8214s
n=18 cnt=550000 elapsed=8306s
n=18 cnt=555000 elapsed=8397s
n=18 cnt=560000 elapsed=8551s
n=18 cnt=565000 elapsed=8739s
n=18 cnt=570000 elapsed=8912s
n=18 cnt=575000 elapsed=9087s
n=18 cnt=580000 elapsed=9273s
n=18 cnt=585000 elapsed=9444s
n=18 cnt=590000 elapsed=9618s
n=18 cnt=595000 elapsed=9797s
n=18 cnt=600000 elapsed=9973s
n=18 cnt=605000 elapsed=10142s
n=18 cnt=610000 elapsed=10323s
n=18 cnt=615000 elapsed=10499s
n=18 cnt=620000 elapsed=10659s
n=18 cnt=625000 elapsed=10852s
n=18 cnt=630000 elapsed=11039s
n=18 cnt=635000 elapsed=11201s
n=18 cnt=640000 elapsed=11343s
n=18 cnt=645000 elapsed=11501s
n=18 cnt=650000 elapsed=11673s
n=18 cnt=655000 elapsed=11849s
n=18 cnt=660000 elapsed=12031s
n=18 cnt=665000 elapsed=12205s
n=18 cnt=670000 elapsed=12399s
n=18 cnt=675000 elapsed=12572s
n=18 cnt=680000 elapsed=12759s
n=18 cnt=685000 elapsed=12965s
n=18 cnt=690000 elapsed=13163s
n=18 cnt=695000 elapsed=13325s
n=18 cnt=700000 elapsed=13501s
n=18 cnt=705000 elapsed=13657s
n=18 cnt=710000 elapsed=13802s
n=18 cnt=715000 elapsed=13939s
n=18 cnt=720000 elapsed=14107s
n=18 cnt=725000 elapsed=14253s
n=18 cnt=730000 elapsed=14414s
n=18 cnt=735000 elapsed=14603s
n=18 cnt=740000 elapsed=14779s
n=18 cnt=745000 elapsed=14939s
n=18 cnt=750000 elapsed=15094s
n=18 cnt=755000 elapsed=15242s
n=18 cnt=760000 elapsed=15411s
n=18 cnt=765000 elapsed=15567s
n=18 cnt=770000 elapsed=15740s
n=18 cnt=775000 elapsed=15960s
n=18 cnt=780000 elapsed=16276s
n=18 cnt=785000 elapsed=16547s
n=18 cnt=790000 elapsed=16808s
n=18 cnt=795000 elapsed=17062s
n=18 cnt=800000 elapsed=17375s
n=18 cnt=805000 elapsed=17675s
n=18 cnt=810000 elapsed=17923s
n=18 cnt=815000 elapsed=18127s
n=18 cnt=820000 elapsed=18315s
