...500000 done, worst m39=-0.3295 m40=-0.3295
...1000000 done, worst m39=-0.3295 m40=-0.3295
...1500000 done, worst m39=-0.3295 m40=-0.3295
...2000000 done, worst m39=-0.3295 m40=-0.3295
...2500000 done, worst m39=-0.3295 m40=-0.3295
...3000000 done, worst m39=-0.3295 m40=-0.3295
...3500000 done, worst m39=-0.3295 m40=-0.3295
...4000000 done, worst m39=-0.3295 m40=-0.3295
...4500000 done, worst m39=-0.3295 m40=-0.3295
...5000000 done, worst m39=-0.3295 m40=-0.3295
...5500000 done, worst m39=-0.3295 m40=-0.3295
...6000000 done, worst m39=-0.3295 m40=-0.3295
...6500000 done, worst m39=-0.3295 m40=-0.3295
...7000000 done, worst m39=-0.3295 m40=-0.3295
...7500000 done, worst m39=-0.3295 m40=-0.3295
...8000000 done, worst m39=-0.3295 m40=-0.3295
...8500000 done, worst m39=-0.3295 m40=-0.3295
...9000000 done, worst m39=-0.3295 m40=-0.3295
...9500000 done, worst m39=-0.3295 m40=-0.3295
...10000000 done, worst m39=-0.3295 m40=-0.3295
...10500000 done, worst m39=-0.3295 m40=-0.3295
...11000000 done, worst m39=-0.3295 m40=-0.3295
...11500000 done, worst m39=-0.3295 m40=-0.3295
n=10: 11716571 connected graphs, worst margin39=-0.329478, worst margin40=-0.329478, proof chain held everywhere
