BOUNDARY I??????_? score=-4.4408920985e-16 w=2 m=1
BOUNDARY I??????o? score=-8.881784197e-16 w=2 m=2
BOUNDARY I??????w? score=4.4408920985e-16 w=2 m=3
BOUNDARY I??????{? score=-7.9936057773e-15 w=2 m=4
BOUNDARY I??????}? score=-5.3290705182e-15 w=2 m=5
BOUNDARY I??????~? score=-5.3290705182e-15 w=2 m=6
BOUNDARY I??????~_ score=-1.06581410364e-14 w=2 m=7
BOUNDARY I??????~o score=1.7763568394e-15 w=2 m=8
BOUNDARY I??????~w score=1.42108547152e-14 w=2 m=9
BOUNDARY I????A?O? score=-8.881784197e-16 w=2 m=2
BOUNDARY I????A?o? score=-3.5527136788e-15 w=2 m=3
BOUNDARY I????A?W? score=-1.33226762955e-15 w=2 m=3
BOUNDARY I????A?_G score=1.33226762955e-15 w=3 m=3
BOUNDARY I????A?w? score=-3.5527136788e-15 w=2 m=4
BOUNDARY I????A?[? score=0 w=2 m=4
BOUNDARY I????A?{? score=1.33226762955e-14 w=2 m=5
BOUNDARY I????A?]? score=-7.9936057773e-15 w=2 m=5
BOUNDARY I????A?}? score=-5.3290705182e-15 w=2 m=6
BOUNDARY I????A?^? score=-6.2172489379e-15 w=2 m=6
BOUNDARY I????A?~? score=2.22044604925e-14 w=2 m=7
BOUNDARY I????A?^_ score=-6.2172489379e-15 w=2 m=7
BOUNDARY I????A?~_ score=-9.7699626167e-15 w=2 m=8
BOUNDARY I????A?^o score=-1.15463194561e-14 w=2 m=8
BOUNDARY I????A?~o score=3.5527136788e-14 w=2 m=9
BOUNDARY I????B?o? score=3.5527136788e-15 w=2 m=4
BOUNDARY I????B?K? score=-1.7763568394e-15 w=2 m=4
BOUNDARY I????B?w? score=-2.6645352591e-15 w=2 m=5
BOUNDARY I????B?k? score=-1.7763568394e-15 w=2 m=5
BOUNDARY I????B?M? score=-8.881784197e-16 w=2 m=5
BOUNDARY I????B?KG score=7.1054273576e-15 w=2 m=5
BOUNDARY I????B?{? score=7.9936057773e-15 w=2 m=6
BOUNDARY I????B?m? score=1.95399252334e-14 w=2 m=6
BOUNDARY I????B?N? score=-8.881784197e-15 w=2 m=6
BOUNDARY I????B?MG score=2.39808173319e-14 w=2 m=6
BOUNDARY I????B?}? score=-3.5527136788e-15 w=2 m=7
BOUNDARY I????B?n? score=2.75335310107e-14 w=2 m=7
BOUNDARY I????B?N_ score=-6.2172489379e-15 w=2 m=7
BOUNDARY I????B?NG score=3.5527136788e-15 w=2 m=7
BOUNDARY I????B?~? score=7.1054273576e-15 w=2 m=8
BOUNDARY I????B?n_ score=7.1054273576e-15 w=2 m=8
BOUNDARY I????B?No score=-6.2172489379e-15 w=2 m=8
BOUNDARY I????B?Ng score=5.3290705182e-15 w=2 m=8
BOUNDARY I????B?~_ score=1.95399252334e-14 w=2 m=9
BOUNDARY I????B?no score=-1.7763568394e-15 w=2 m=9
BOUNDARY I????B?Nw score=8.881784197e-15 w=2 m=9
BOUNDARY I????B?~o score=4.26325641456e-14 w=2 m=10
BOUNDARY I????B_w? score=-8.881784197e-16 w=2 m=6
BOUNDARY I????B_s? score=-5.3290705182e-15 w=2 m=6
BOUNDARY I????B_e? score=8.881784197e-16 w=2 m=6
BOUNDARY I????B_F? score=8.881784197e-16 w=2 m=6
BOUNDARY I????B_{? score=1.7763568394e-14 w=2 m=7
BOUNDARY I????B_u? score=1.06581410364e-14 w=2 m=7
BOUNDARY I????B_f? score=7.9936057773e-15 w=2 m=7
BOUNDARY I????B_F_ score=-7.1054273576e-15 w=2 m=7
BOUNDARY I????B_FG score=2.22044604925e-14 w=2 m=7
BOUNDARY I????B_}? score=2.13162820728e-14 w=2 m=8
BOUNDARY I????B_v? score=1.24344978758e-14 w=2 m=8
BOUNDARY I????B_f_ score=-5.3290705182e-15 w=2 m=8
BOUNDARY I????B_Fo score=-5.3290705182e-15 w=2 m=8
BOUNDARY I????B_Fg score=1.42108547152e-14 w=2 m=8
BOUNDARY I????B_~? score=-5.3290705182e-15 w=2 m=9
BOUNDARY I????B_v_ score=1.7763568394e-14 w=2 m=9
BOUNDARY I????B_fo score=5.3290705182e-15 w=2 m=9
BOUNDARY I????B_Fw score=1.06581410364e-14 w=2 m=9
