BOUNDARY H????A? score=-4.4408920985e-16 w=2 m=1
BOUNDARY H????B? score=-8.881784197e-16 w=2 m=2
BOUNDARY H????B_ score=4.4408920985e-16 w=2 m=3
BOUNDARY H????Bo score=-7.9936057773e-15 w=2 m=4
BOUNDARY H????Bw score=-5.3290705182e-15 w=2 m=5
BOUNDARY H????B{ score=-5.3290705182e-15 w=2 m=6
BOUNDARY H????B} score=-1.06581410364e-14 w=2 m=7
BOUNDARY H????B~ score=1.7763568394e-15 w=2 m=8
BOUNDARY H???C@? score=-8.881784197e-16 w=2 m=2
BOUNDARY H???CB? score=-3.5527136788e-15 w=2 m=3
BOUNDARY H???C@_ score=-1.33226762955e-15 w=2 m=3
BOUNDARY H???CA@ score=1.33226762955e-15 w=3 m=3
BOUNDARY H???CB_ score=-3.5527136788e-15 w=2 m=4
BOUNDARY H???C@o score=0 w=2 m=4
BOUNDARY H???CBo score=1.33226762955e-14 w=2 m=5
BOUNDARY H???C@w score=-7.9936057773e-15 w=2 m=5
BOUNDARY H???CBw score=-5.3290705182e-15 w=2 m=6
BOUNDARY H???C@{ score=-6.2172489379e-15 w=2 m=6
BOUNDARY H???CB{ score=2.22044604925e-14 w=2 m=7
BOUNDARY H???C@} score=-6.2172489379e-15 w=2 m=7
BOUNDARY H???CB} score=-9.7699626167e-15 w=2 m=8
BOUNDARY H???EB? score=3.5527136788e-15 w=2 m=4
BOUNDARY H???E?o score=-1.7763568394e-15 w=2 m=4
BOUNDARY H???EB_ score=-2.6645352591e-15 w=2 m=5
BOUNDARY H???EAo score=-1.7763568394e-15 w=2 m=5
BOUNDARY H???E?w score=-8.881784197e-16 w=2 m=5
BOUNDARY H???E?p score=7.1054273576e-15 w=2 m=5
BOUNDARY H???EBo score=7.9936057773e-15 w=2 m=6
BOUNDARY H???EAw score=1.95399252334e-14 w=2 m=6
BOUNDARY H???E?{ score=-8.881784197e-15 w=2 m=6
BOUNDARY H???E?x score=2.39808173319e-14 w=2 m=6
BOUNDARY H???EBw score=-3.5527136788e-15 w=2 m=7
BOUNDARY H???EA{ score=2.75335310107e-14 w=2 m=7
BOUNDARY H???E?} score=-6.2172489379e-15 w=2 m=7
BOUNDARY H???E?| score=3.5527136788e-15 w=2 m=7
BOUNDARY H???EB{ score=7.1054273576e-15 w=2 m=8
BOUNDARY H???EA} score=7.1054273576e-15 w=2 m=8
BOUNDARY H???E?~ score=5.3290705182e-15 w=2 m=8
BOUNDARY H???EB} score=1.95399252334e-14 w=2 m=9
