mod6: 72 raw -> 8 classes
=== top-level class 0: [2, 2, 2, 2, 2, -4] ===
[c0] d=12 parent=6 -> 48 folds (exhausted)
[c0.0] d=24 parent=12 -> 0 folds (exhausted)
[c0.1] d=24 parent=12 -> 0 folds (exhausted)
[c0.2] d=24 parent=12 -> 0 folds (exhausted)
[c0.3] d=24 parent=12 -> 0 folds (exhausted)
[c0.4] d=24 parent=12 -> 0 folds (exhausted)
[c0.5] d=24 parent=12 -> 0 folds (exhausted)
[c0.6] d=24 parent=12 -> 0 folds (exhausted)
[c0.7] d=24 parent=12 -> 0 folds (exhausted)
[c0.8] d=24 parent=12 -> 0 folds (exhausted)
[c0.9] d=24 parent=12 -> 0 folds (exhausted)
[c0.10] d=24 parent=12 -> 0 folds (exhausted)
[c0.11] d=24 parent=12 -> 0 folds (exhausted)
[c0.12] d=24 parent=12 -> 0 folds (exhausted)
[c0.13] d=24 parent=12 -> 0 folds (exhausted)
[c0.14] d=24 parent=12 -> 0 folds (exhausted)
[c0.15] d=24 parent=12 -> 0 folds (exhausted)
[c0.16] d=24 parent=12 -> 0 folds (exhausted)
[c0.17] d=24 parent=12 -> 0 folds (exhausted)
[c0.18] d=24 parent=12 -> 0 folds (exhausted)
[c0.19] d=24 parent=12 -> 0 folds (exhausted)
[c0.20] d=24 parent=12 -> 0 folds (exhausted)
[c0.21] d=24 parent=12 -> 0 folds (exhausted)
[c0.22] d=24 parent=12 -> 0 folds (exhausted)
[c0.23] d=24 parent=12 -> 0 folds (exhausted)
[c0.24] d=24 parent=12 -> 0 folds (exhausted)
[c0.25] d=24 parent=12 -> 0 folds (exhausted)
[c0.26] d=24 parent=12 -> 0 folds (exhausted)
[c0.27] d=24 parent=12 -> 0 folds (exhausted)
[c0.28] d=24 parent=12 -> 0 folds (exhausted)
[c0.29] d=24 parent=12 -> 49 folds (budget)
  LIFT[c0.29.0] d=24 b=[3, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, -2, -3, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, -2] -> TIMEOUT
