# CW(112,36) C-driver: |Z_112^*|=48, 54 subgroups, max_orbits=30 signed=True case_timeout=1800s
  case |H|=48 r=10 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=48 r=10 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=48 r=10 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=48 r=10 chi#4: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=48 r=10 chi#5: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=48 r=10 chi#6: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=48 r=10 chi#7: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=12 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=12 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=12 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=16 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=16 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=16 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=14 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=14 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=14 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=14 chi#4: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=14 chi#5: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=14 chi#6: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=14 chi#7: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=14 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=14 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=14 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=13 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=13 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=13 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=12 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=12 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=12 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=15 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=15 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=15 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=16 r=20 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=16 r=20 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=16 r=20 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=16 r=20 chi#4: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=16 r=20 chi#5: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=16 r=20 chi#6: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=16 r=20 chi#7: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=20 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=16 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=16 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=16 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=24 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=24 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=24 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=21 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=21 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=21 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=18 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=18 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=18 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=18 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=18 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=18 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=24 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=21 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=19 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=19 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=19 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=19 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=16 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=16 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=16 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=29 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=29 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=29 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=28 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=28 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=28 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=28 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=28 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=28 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=28 chi#4: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=28 chi#5: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=28 chi#6: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=28 chi#7: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=26 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=26 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=26 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=26 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=26 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=26 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=6 r=27 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=6 r=25 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=6 r=25 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=6 r=27 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=6 r=28 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
# done CW(112,36): 88 cases complete, 0 exceeded, 0.0s, 0 witnesses
