# split CW(120,49) |H|=4 r=39 depth=6 first sizes=[4, 4, 4, 4, 4, 4] fold_d=8
# 365 prefix jobs
  pfx=000000: DONE nodes=13269701955 leaves=1144947384 wits=0 time=2104.5
  pfx=00000+: DONE nodes=13099422744 leaves=1129801608 wits=0 time=2107.7
  pfx=0000++: DONE nodes=4656474429 leaves=376132536 wits=0 time=717.5
  pfx=0000+-: DONE nodes=4656474429 leaves=376132536 wits=0 time=726.3
  pfx=0000+0: DONE nodes=11146103382 leaves=893582856 wits=0 time=1680.7
  pfx=000+0+: DONE nodes=5053713769 leaves=472058208 wits=0 time=874.3
  pfx=000+0-: DONE nodes=5053713769 leaves=472058208 wits=0 time=855.6
  pfx=000+00: DONE nodes=13216634388 leaves=1249885008 wits=0 time=2344.2
  pfx=000+++: DONE nodes=1396005892 leaves=121254456 wits=0 time=233.9
  pfx=000++0: DONE nodes=4649178465 leaves=427536336 wits=0 time=821.4
  pfx=000++-: DONE nodes=1396005892 leaves=121254456 wits=0 time=223.5
  pfx=000+-+: DONE nodes=1396005892 leaves=121254456 wits=0 time=226.0
  pfx=000+--: DONE nodes=1396005892 leaves=121254456 wits=0 time=229.5
  pfx=000+-0: DONE nodes=4649178465 leaves=427536336 wits=0 time=789.9
  pfx=00+00+: DONE nodes=4807124726 leaves=388469760 wits=0 time=710.0
  pfx=00+000: DONE nodes=11493299525 leaves=922307424 wits=0 time=1718.5
  pfx=00+00-: DONE nodes=4807124726 leaves=388469760 wits=0 time=698.4
  pfx=00+0++: DONE nodes=1403600478 leaves=103821920 wits=0 time=195.2
  pfx=00+0+-: DONE nodes=1403600478 leaves=103821920 wits=0 time=187.9
  pfx=00+0+0: DONE nodes=3967038911 leaves=287808288 wits=0 time=544.4
  pfx=00+0-+: DONE nodes=1403600478 leaves=103821920 wits=0 time=193.1
  pfx=00+0-0: DONE nodes=3967038911 leaves=287808288 wits=0 time=534.1
  pfx=00+0--: DONE nodes=1403600478 leaves=103821920 wits=0 time=191.9
  pfx=00++0+: DONE nodes=1445531366 leaves=125559552 wits=0 time=231.2
  pfx=00++0-: DONE nodes=1445531366 leaves=125559552 wits=0 time=226.4
  pfx=00+++0: DONE nodes=1377460455 leaves=121342144 wits=0 time=224.6
  pfx=00++++: DONE nodes=316486198 leaves=24212784 wits=0 time=46.0
  pfx=00+++-: DONE nodes=316486198 leaves=24212784 wits=0 time=45.2
  pfx=00++00: DONE nodes=4799626055 leaves=441533472 wits=0 time=803.3
  pfx=00++-+: DONE nodes=316486198 leaves=24212784 wits=0 time=45.8
  pfx=00++--: DONE nodes=316486198 leaves=24212784 wits=0 time=44.6
  pfx=00++-0: DONE nodes=1377460455 leaves=121342144 wits=0 time=229.8
  pfx=00+-0+: DONE nodes=1445531366 leaves=125559552 wits=0 time=274.2
  pfx=00+-0-: DONE nodes=1445531366 leaves=125559552 wits=0 time=230.6
  pfx=00+-00: DONE nodes=4799626055 leaves=441533472 wits=0 time=779.4
  pfx=00+-++: DONE nodes=316486198 leaves=24212784 wits=0 time=44.3
  pfx=00+-+0: DONE nodes=1377460455 leaves=121342144 wits=0 time=247.0
  pfx=00+-+-: DONE nodes=316486198 leaves=24212784 wits=0 time=43.5
  pfx=00+--+: DONE nodes=316486198 leaves=24212784 wits=0 time=44.8
  pfx=00+---: DONE nodes=316486198 leaves=24212784 wits=0 time=43.3
  pfx=00+--0: DONE nodes=1377460455 leaves=121342144 wits=0 time=216.0
  pfx=0+000+: DONE nodes=4656474429 leaves=376132536 wits=0 time=681.5
  pfx=0+000-: DONE nodes=4656474429 leaves=376132536 wits=0 time=677.3
  pfx=0+0000: DONE nodes=11146103382 leaves=893582856 wits=0 time=1665.5
  pfx=0+00++: DONE nodes=841112233 leaves=59951728 wits=0 time=111.6
  pfx=0+00+0: DONE nodes=2493208973 leaves=175148928 wits=0 time=324.2
  pfx=0+00+-: DONE nodes=841112233 leaves=59951728 wits=0 time=107.9
  pfx=0+00-+: DONE nodes=2110541266 leaves=160029336 wits=0 time=291.0
  pfx=0+00--: DONE nodes=2110541266 leaves=160029336 wits=0 time=286.5
  pfx=0+00-0: DONE nodes=5778961159 leaves=429192216 wits=0 time=790.5
  pfx=0+0+0+: DONE nodes=1396005892 leaves=121254456 wits=0 time=222.0
  pfx=0+0+0-: DONE nodes=1396005892 leaves=121254456 wits=0 time=218.4
  pfx=0+0++0: DONE nodes=820295680 leaves=70794560 wits=0 time=131.9
  pfx=0+0+++: DONE nodes=171600042 leaves=12075600 wits=0 time=23.3
  pfx=0+0++-: DONE nodes=171600042 leaves=12075600 wits=0 time=22.7
  pfx=0+0+00: DONE nodes=4649178465 leaves=427536336 wits=0 time=776.9
  pfx=0+0+-+: DONE nodes=508338240 leaves=40655064 wits=0 time=76.4
  pfx=0+0+--: DONE nodes=508338240 leaves=40655064 wits=0 time=74.4
  pfx=0+0+-0: DONE nodes=2078794402 leaves=185886864 wits=0 time=344.0
  pfx=0+0-0+: DONE nodes=1396005892 leaves=121254456 wits=0 time=220.2
  pfx=0+0-0-: DONE nodes=1396005892 leaves=121254456 wits=0 time=218.4
  pfx=0+0-+0: DONE nodes=820295680 leaves=70794560 wits=0 time=127.5
  pfx=0+0-00: DONE nodes=4649178465 leaves=427536336 wits=0 time=759.4
  pfx=0+0-++: DONE nodes=171600042 leaves=12075600 wits=0 time=22.6
  pfx=0+0-+-: DONE nodes=171600042 leaves=12075600 wits=0 time=22.0
  pfx=0+0--+: DONE nodes=508338240 leaves=40655064 wits=0 time=73.8
  pfx=0+0---: DONE nodes=508338240 leaves=40655064 wits=0 time=73.7
  pfx=0+0--0: DONE nodes=2078794402 leaves=185886864 wits=0 time=338.4
  pfx=0++00+: DONE nodes=1403600478 leaves=103821920 wits=0 time=195.2
