CW(24,9): status All, 1 DB sets; |US|=8
64 residue/sign patterns pass the mod-4 test
pattern (1, 1, 1, -1) (0, 0, 0, 0) done, cumulative tried=7077888, hits=0
pattern (1, 1, 1, -1) (0, 0, 1, 1) done, cumulative tried=14155776, hits=0
pattern (1, 1, 1, -1) (0, 0, 2, 2) done, cumulative tried=21233664, hits=0
pattern (1, 1, 1, -1) (0, 0, 3, 3) done, cumulative tried=28311552, hits=0
pattern (1, 1, 1, -1) (0, 1, 0, 1) done, cumulative tried=35389440, hits=0
pattern (1, 1, 1, -1) (0, 1, 1, 0) done, cumulative tried=42467328, hits=0
pattern (1, 1, 1, -1) (0, 1, 2, 3) done, cumulative tried=49545216, hits=0
pattern (1, 1, 1, -1) (0, 1, 3, 2) done, cumulative tried=56623104, hits=0
pattern (1, 1, 1, -1) (0, 2, 0, 2) done, cumulative tried=63700992, hits=0
pattern (1, 1, 1, -1) (0, 2, 1, 3) done, cumulative tried=70778880, hits=0
pattern (1, 1, 1, -1) (0, 2, 2, 0) done, cumulative tried=77856768, hits=0
pattern (1, 1, 1, -1) (0, 2, 3, 1) done, cumulative tried=84934656, hits=0
pattern (1, 1, 1, -1) (0, 3, 0, 3) done, cumulative tried=92012544, hits=0
pattern (1, 1, 1, -1) (0, 3, 1, 2) done, cumulative tried=99090432, hits=0
pattern (1, 1, 1, -1) (0, 3, 2, 1) done, cumulative tried=106168320, hits=0
pattern (1, 1, 1, -1) (0, 3, 3, 0) done, cumulative tried=113246208, hits=0
pattern (1, 1, -1, 1) (0, 0, 0, 0) done, cumulative tried=120324096, hits=0
pattern (1, 1, -1, 1) (0, 0, 1, 1) done, cumulative tried=127401984, hits=0
pattern (1, 1, -1, 1) (0, 0, 2, 2) done, cumulative tried=134479872, hits=0
pattern (1, 1, -1, 1) (0, 0, 3, 3) done, cumulative tried=141557760, hits=0
pattern (1, 1, -1, 1) (0, 1, 0, 1) done, cumulative tried=148635648, hits=0
pattern (1, 1, -1, 1) (0, 1, 1, 0) done, cumulative tried=155713536, hits=0
pattern (1, 1, -1, 1) (0, 1, 2, 3) done, cumulative tried=162791424, hits=0
pattern (1, 1, -1, 1) (0, 1, 3, 2) done, cumulative tried=169869312, hits=0
pattern (1, 1, -1, 1) (0, 2, 0, 2) done, cumulative tried=176947200, hits=0
pattern (1, 1, -1, 1) (0, 2, 1, 3) done, cumulative tried=184025088, hits=0
pattern (1, 1, -1, 1) (0, 2, 2, 0) done, cumulative tried=191102976, hits=0
