nohup: ignoring input
172 open cells, k in [64]
CW(140,64): mult thm n/a
CW(146,64): mult thm n/a
CW(180,64): mult thm n/a
CW(182,64): mult thm n/a
CW(196,64): mult thm n/a
CW(206,64): mult thm n/a
CW(220,64): mult thm n/a
CW(224,64): mult thm n/a
CW(230,64): mult thm n/a
CW(234,64): mult thm n/a
CW(238,64): mult thm n/a
CW(266,64): mult thm n/a
CW(270,64): mult thm n/a
CW(276,64): mult thm n/a
CW(280,64): mult thm n/a
CW(282,64): mult thm n/a
CW(284,64): mult thm n/a
CW(286,64): mult thm n/a
CW(292,64): mult thm n/a
CW(294,64): mult thm n/a
CW(302,64): mult thm n/a
CW(306,64): mult thm n/a
CW(308,64): mult thm n/a
CW(316,64): mult thm n/a
CW(322,64): mult thm n/a
CW(330,64): mult thm n/a
CW(334,64): mult thm n/a
CW(340,64): mult thm n/a
CW(350,64): mult thm n/a
CW(356,64): mult thm n/a
CW(360,64): mult thm n/a
CW(364,64): mult thm n/a
CW(368,64): mult thm n/a
CW(374,64): mult thm n/a
CW(376,64): mult thm n/a
CW(378,64): mult thm n/a
CW(380,64): mult thm n/a
CW(382,64): mult thm n/a
CW(392,64): mult thm n/a
CW(398,64): mult thm n/a
CW(406,64): mult thm n/a
CW(412,64): mult thm n/a
CW(414,64): mult thm n/a
CW(426,64): mult thm n/a
CW(430,64): mult thm n/a
CW(438,64): mult thm n/a
CW(440,64): mult thm n/a
CW(442,64): mult thm n/a
CW(446,64): mult thm n/a
CW(448,64): mult thm n/a
CW(450,64): mult thm n/a
CW(460,64): mult thm n/a
CW(466,64): mult thm n/a
CW(468,64): mult thm n/a
CW(470,64): mult thm n/a
CW(474,64): mult thm n/a
CW(476,64): mult thm n/a
CW(478,64): mult thm n/a
CW(490,64): mult thm n/a
CW(494,64): mult thm n/a
CW(506,64): mult thm n/a
CW(508,64): mult thm n/a
CW(510,64): mult thm n/a
CW(518,64): mult thm n/a
CW(522,64): mult thm n/a
CW(526,64): mult thm n/a
CW(532,64): mult thm n/a
CW(534,64): mult thm n/a
CW(540,64): mult thm n/a
CW(542,64): mult thm n/a
CW(550,64): mult thm n/a
CW(552,64): mult thm n/a
CW(560,64): mult thm n/a
CW(564,64): mult thm n/a
CW(568,64): mult thm n/a
CW(570,64): mult thm n/a
CW(572,64): mult thm n/a
CW(574,64): mult thm n/a
CW(584,64): mult thm n/a
CW(588,64): mult thm n/a
CW(590,64): mult thm n/a
CW(598,64): mult thm n/a
CW(602,64): mult thm n/a
CW(604,64): mult thm n/a
CW(612,64): mult thm n/a
CW(616,64): mult thm n/a
CW(618,64): mult thm n/a
CW(622,64): mult thm n/a
CW(632,64): mult thm n/a
CW(638,64): mult thm n/a
CW(644,64): mult thm n/a
CW(646,64): mult thm n/a
CW(658,64): mult thm n/a
CW(660,64): mult thm n/a
CW(666,64): mult thm n/a
CW(668,64): mult thm n/a
CW(670,64): mult thm n/a
CW(674,64): mult thm n/a
CW(680,64): mult thm n/a
CW(686,64): mult thm n/a
CW(690,64): mult thm n/a
CW(700,64): mult thm n/a
CW(702,64): mult thm n/a
CW(710,64): mult thm n/a
CW(712,64): mult thm n/a
CW(718,64): mult thm n/a
CW(720,64): mult thm n/a
CW(728,64): mult thm n/a
CW(730,64): mult thm n/a
CW(734,64): mult thm n/a
CW(736,64): mult thm n/a
CW(738,64): mult thm n/a
CW(742,64): mult thm n/a
CW(748,64): mult thm n/a
CW(752,64): mult thm n/a
CW(756,64): mult thm n/a
CW(760,64): mult thm n/a
CW(762,64): mult thm n/a
CW(764,64): mult thm n/a
CW(766,64): mult thm n/a
CW(770,64): mult thm n/a
CW(782,64): mult thm n/a
CW(784,64): mult thm n/a
CW(790,64): mult thm n/a
CW(796,64): mult thm n/a
CW(810,64): mult thm n/a
CW(812,64): mult thm n/a
CW(814,64): mult thm n/a
CW(824,64): mult thm n/a
CW(826,64): mult thm n/a
CW(828,64): mult thm n/a
CW(830,64): mult thm n/a
CW(846,64): mult thm n/a
CW(850,64): mult thm n/a
CW(852,64): mult thm n/a
CW(854,64): mult thm n/a
CW(858,64): mult thm n/a
CW(860,64): mult thm n/a
CW(862,64): mult thm n/a
CW(874,64): mult thm n/a
CW(876,64): mult thm n/a
CW(878,64): mult thm n/a
CW(880,64): mult thm n/a
CW(882,64): mult thm n/a
CW(884,64): mult thm n/a
CW(890,64): mult thm n/a
CW(892,64): mult thm n/a
CW(896,64): mult thm n/a
CW(900,64): mult thm n/a
CW(902,64): mult thm n/a
CW(906,64): mult thm n/a
CW(910,64): mult thm n/a
CW(918,64): mult thm n/a
CW(920,64): mult thm n/a
CW(926,64): mult thm n/a
CW(932,64): mult thm n/a
CW(936,64): mult thm n/a
CW(938,64): mult thm n/a
CW(940,64): mult thm n/a
CW(948,64): mult thm n/a
CW(950,64): mult thm n/a
CW(952,64): mult thm n/a
CW(954,64): mult thm n/a
CW(956,64): mult thm n/a
CW(958,64): mult thm n/a
CW(970,64): mult thm n/a
CW(974,64): mult thm n/a
CW(980,64): mult thm n/a
CW(986,64): mult thm n/a
CW(988,64): mult thm n/a
CW(990,64): mult thm n/a
CW(994,64): mult thm n/a
