0 1 2 3 4 5 6 7 8 9 10
0 1 2 8 7 5 6 4 3 9 10
0 1 6 4 3 9 2 8 7 5 10
0 1 6 7 8 9 2 3 4 5 10
0 1 7 2 6 3 8 5 9 4 10
0 1 7 9 5 3 8 6 2 4 10
0 1 8 5 9 4 7 2 6 3 10
0 1 8 6 2 4 7 9 5 3 10
0 2 1 3 5 7 4 6 8 10 9
0 2 1 8 6 7 4 5 3 10 9
0 2 3 4 1 6 5 10 7 8 9
0 2 3 7 10 6 5 1 4 8 9
0 2 4 5 3 10 1 8 6 7 9
0 2 4 6 8 10 1 3 5 7 9
0 2 5 1 4 8 3 7 10 6 9
0 2 5 10 7 8 3 4 1 6 9
0 3 2 4 5 1 10 6 7 9 8
0 3 2 7 6 1 10 5 4 9 8
0 3 6 2 10 4 7 1 9 5 8
0 3 6 9 1 4 7 10 2 5 8
0 3 7 1 9 5 6 2 10 4 8
0 3 7 10 2 5 6 9 1 4 8
0 3 10 5 4 9 2 7 6 1 8
0 3 10 6 7 9 2 4 5 1 8
0 4 2 5 1 3 8 10 6 9 7
0 4 2 6 10 3 8 1 5 9 7
0 4 6 3 9 1 10 2 8 5 7
0 4 6 8 2 1 10 9 3 5 7
0 4 8 1 5 9 2 6 10 3 7
0 4 8 10 6 9 2 5 1 3 7
0 4 10 2 8 5 6 3 9 1 7
0 4 10 9 3 5 6 8 2 1 7
0 5 2 1 3 4 7 8 10 9 6
0 5 2 10 8 4 7 3 1 9 6
0 5 7 3 1 9 2 10 8 4 6
0 5 7 8 10 9 2 1 3 4 6
0 5 8 2 7 1 10 4 9 3 6
0 5 8 9 4 1 10 7 2 3 6
0 5 10 4 9 3 8 2 7 1 6
0 5 10 7 2 3 8 9 4 1 6
0 6 1 4 9 8 3 2 7 10 5
0 6 1 7 2 8 3 9 4 10 5
0 6 3 2 7 10 1 4 9 8 5
0 6 3 9 4 10 1 7 2 8 5
0 6 4 3 1 2 9 10 8 7 5
0 6 4 8 10 2 9 1 3 7 5
0 6 9 1 3 7 4 8 10 2 5
0 6 9 10 8 7 4 3 1 2 5
0 7 1 2 8 6 5 3 9 10 4
0 7 1 9 3 6 5 8 2 10 4
0 7 3 1 5 2 9 6 10 8 4
0 7 3 10 6 2 9 5 1 8 4
0 7 5 3 9 10 1 2 8 6 4
0 7 5 8 2 10 1 9 3 6 4
0 7 9 5 1 8 3 10 6 2 4
0 7 9 6 10 8 3 1 5 2 4
0 8 1 5 4 2 9 7 6 10 3
0 8 1 6 7 2 9 4 5 10 3
0 8 4 1 9 6 5 2 10 7 3
0 8 4 10 2 6 5 9 1 7 3
0 8 5 2 10 7 4 1 9 6 3
0 8 5 9 1 7 4 10 2 6 3
0 8 9 4 5 10 1 6 7 2 3
0 8 9 7 6 10 1 5 4 2 3
0 9 6 1 4 3 8 7 10 5 2
0 9 6 10 7 3 8 4 1 5 2
0 9 7 5 3 1 10 8 6 4 2
0 9 7 6 8 1 10 3 5 4 2
0 9 8 4 1 5 6 10 7 3 2
0 9 8 7 10 5 6 1 4 3 2
0 9 10 3 5 4 7 6 8 1 2
0 9 10 8 6 4 7 5 3 1 2
0 10 3 5 9 7 4 2 6 8 1
0 10 3 6 2 7 4 9 5 8 1
0 10 4 2 6 8 3 5 9 7 1
0 10 4 9 5 8 3 6 2 7 1
0 10 5 4 3 2 9 8 7 6 1
0 10 5 7 8 2 9 3 4 6 1
0 10 9 3 4 6 5 7 8 2 1
0 10 9 8 7 6 5 4 3 2 1
