0 1 2 3 4 5 6 7 8 9 10 11 12
0 1 6 9 10 5 2 11 8 3 4 7 12
0 1 7 9 10 8 11 2 5 3 4 6 12
0 1 11 3 4 8 7 6 5 9 10 2 12
0 2 1 5 7 3 9 4 10 6 8 12 11
0 2 4 6 8 10 12 1 3 5 7 9 11
0 2 9 6 8 3 1 12 10 5 7 4 11
0 2 12 5 7 10 4 9 3 6 8 1 11
0 3 5 1 4 2 6 7 11 9 12 8 10
0 3 6 9 12 2 5 8 11 1 4 7 10
0 3 7 9 12 11 8 5 2 1 4 6 10
0 3 8 1 4 11 7 6 2 9 12 5 10
0 4 2 10 1 6 5 8 7 12 3 11 9
0 4 5 12 3 6 2 11 7 10 1 8 9
0 4 8 12 3 7 11 2 6 10 1 5 9
0 4 11 10 1 7 8 5 6 12 3 2 9
0 5 3 2 7 1 9 4 12 6 11 10 8
0 5 4 6 11 12 10 3 1 2 7 9 8
0 5 9 6 11 1 3 10 12 2 7 4 8
0 5 10 2 7 12 4 9 1 6 11 3 8
0 6 1 5 11 9 3 10 4 2 8 12 7
0 6 3 2 8 9 1 12 4 5 11 10 7
0 6 10 2 8 4 12 1 9 5 11 3 7
0 6 12 5 11 4 10 3 9 2 8 1 7
0 7 1 8 2 9 3 10 4 11 5 12 6
0 7 3 11 5 9 1 12 4 8 2 10 6
0 7 10 11 5 4 12 1 9 8 2 3 6
0 7 12 8 2 4 10 3 9 11 5 1 6
0 8 3 11 6 1 9 4 12 7 2 10 5
0 8 4 7 2 12 10 3 1 11 6 9 5
0 8 9 7 2 1 3 10 12 11 6 4 5
0 8 10 11 6 12 4 9 1 7 2 3 5
0 9 2 3 12 6 5 8 7 1 10 11 4
0 9 5 1 10 6 2 11 7 3 12 8 4
0 9 8 1 10 7 11 2 6 3 12 5 4
0 9 11 3 12 7 8 5 6 1 10 2 4
0 10 5 12 9 2 6 7 11 4 1 8 3
0 10 6 4 1 2 5 8 11 12 9 7 3
0 10 7 4 1 11 8 5 2 12 9 6 3
0 10 8 12 9 11 7 6 2 4 1 5 3
0 11 1 8 6 3 9 4 10 7 5 12 2
0 11 4 7 5 10 12 1 3 8 6 9 2
0 11 9 7 5 3 1 12 10 8 6 4 2
0 11 12 8 6 10 4 9 3 7 5 1 2
0 12 2 10 9 5 6 7 8 4 3 11 1
0 12 6 4 3 5 2 11 8 10 9 7 1
0 12 7 4 3 8 11 2 5 10 9 6 1
0 12 11 10 9 8 7 6 5 4 3 2 1
