best=540 it=9 t=0.0s
best=497 it=3376 t=2.0s
best=473 it=3381 t=2.0s
best=463 it=3396 t=2.0s
best=449 it=3405 t=2.1s
best=429 it=3413 t=2.1s
best=427 it=3431 t=2.1s
best=387 it=3472 t=2.1s
best=381 it=3475 t=2.1s
best=360 it=3489 t=2.1s
best=352 it=3505 t=2.1s
best=316 it=4006 t=2.3s
best=296 it=4034 t=2.3s
best=292 it=4088 t=2.3s
best=291 it=4135 t=2.3s
best=280 it=4187 t=2.3s
best=278 it=4201 t=2.3s
best=276 it=4212 t=2.3s
best=257 it=4245 t=2.4s
best=255 it=4294 t=2.4s
best=252 it=4297 t=2.4s
best=240 it=4333 t=2.4s
best=227 it=4379 t=2.4s
best=223 it=4457 t=2.4s
best=207 it=12117 t=7.2s
best=203 it=12118 t=7.2s
best=199 it=12133 t=7.2s
best=186 it=12152 t=7.2s
best=176 it=12155 t=7.2s
best=151 it=12181 t=7.2s
best=144 it=12191 t=7.3s
best=140 it=12197 t=7.3s
best=138 it=12198 t=7.3s
best=137 it=12241 t=7.3s
best=135 it=12252 t=7.3s
best=121 it=12284 t=7.3s
best=120 it=12292 t=7.3s
best=107 it=14706 t=8.3s
