best=25109 it=17 t=0.0s
best=25078 it=2984 t=6.5s
best=24954 it=3429 t=7.6s
best=24936 it=3433 t=7.6s
best=24895 it=3434 t=7.6s
best=24861 it=3435 t=7.6s
best=24846 it=3438 t=7.7s
best=24763 it=3443 t=7.7s
best=24739 it=3459 t=7.7s
best=24713 it=3478 t=7.7s
best=24632 it=3479 t=7.8s
best=24623 it=3487 t=7.8s
best=24611 it=3492 t=7.8s
best=24604 it=3499 t=7.8s
best=24537 it=3509 t=7.8s
best=24474 it=3512 t=7.8s
best=24114 it=3513 t=7.8s
best=24080 it=3532 t=7.9s
best=24071 it=3537 t=7.9s
best=24050 it=3549 t=7.9s
best=23947 it=3555 t=7.9s
best=23945 it=3573 t=8.0s
best=23908 it=3577 t=8.0s
best=23901 it=3592 t=8.0s
best=23900 it=3595 t=8.0s
best=23888 it=3607 t=8.1s
