kick energy=214748 t=300.3s
best=204754 it=83361 t=524.9s
best=204304 it=83378 t=524.9s
best=204263 it=83396 t=525.0s
best=202691 it=83426 t=525.1s
best=202675 it=83438 t=525.1s
best=202018 it=83459 t=525.2s
best=201559 it=83840 t=526.8s
best=201537 it=83844 t=526.8s
best=200906 it=83863 t=526.8s
best=200896 it=83865 t=526.8s
best=200815 it=83894 t=527.0s
best=199743 it=83918 t=527.0s
best=199740 it=83920 t=527.0s
best=199601 it=84345 t=528.7s
best=199572 it=84370 t=528.8s
best=199535 it=84372 t=528.8s
best=199418 it=84420 t=529.0s
best=198492 it=84431 t=529.0s
best=198281 it=84434 t=529.0s
best=197779 it=84498 t=529.3s
best=197692 it=84499 t=529.3s
best=197620 it=84542 t=529.5s
best=197619 it=84553 t=529.6s
best=197597 it=84721 t=530.2s
best=197573 it=84739 t=530.3s
best=197078 it=84752 t=530.3s
