best=294028 it=46 t=0.2s
best=293974 it=71 t=0.3s
best=293870 it=98 t=0.4s
best=292658 it=107 t=0.4s
best=292649 it=404 t=2.2s
best=292629 it=429 t=2.3s
best=292581 it=440 t=2.4s
best=292573 it=461 t=2.5s
best=292562 it=473 t=2.6s
best=292559 it=483 t=2.6s
best=292396 it=496 t=2.7s
best=292319 it=504 t=2.7s
best=292312 it=534 t=2.9s
best=292306 it=539 t=2.9s
best=290640 it=2043 t=12.2s
best=290625 it=2044 t=12.2s
best=290540 it=2062 t=12.4s
best=290492 it=2067 t=12.4s
best=289861 it=2070 t=12.4s
best=289279 it=2075 t=12.4s
best=289215 it=2085 t=12.4s
best=289125 it=2087 t=12.5s
best=289032 it=2093 t=12.5s
best=286426 it=2113 t=12.6s
best=286425 it=2116 t=12.6s
best=286087 it=2121 t=12.6s
best=285963 it=2125 t=12.7s
best=285923 it=2128 t=12.7s
best=285803 it=2136 t=12.7s
best=285786 it=2149 t=12.8s
best=285708 it=2150 t=12.8s
best=285193 it=2159 t=12.8s
best=285184 it=2173 t=12.9s
best=284024 it=2182 t=12.9s
best=283656 it=2185 t=12.9s
best=283560 it=2188 t=12.9s
best=283541 it=2198 t=13.0s
best=283515 it=2205 t=13.1s
best=283427 it=2231 t=13.2s
best=283423 it=2245 t=13.3s
best=283359 it=2248 t=13.3s
best=279766 it=2262 t=13.4s
best=279760 it=2268 t=13.6s
best=279708 it=2275 t=13.6s
best=279686 it=2288 t=13.7s
best=279676 it=2291 t=13.7s
best=279172 it=2292 t=13.7s
best=278842 it=2301 t=13.8s
best=278799 it=2302 t=13.8s
best=278754 it=2743 t=16.8s
best=278674 it=2750 t=16.8s
best=278530 it=2754 t=16.8s
best=278519 it=2755 t=16.9s
best=278516 it=2774 t=17.0s
best=278448 it=2796 t=17.1s
best=278330 it=2924 t=17.9s
best=277848 it=2932 t=18.0s
best=277653 it=2950 t=18.1s
best=277631 it=2954 t=18.2s
best=277629 it=2959 t=18.2s
best=277297 it=2962 t=18.2s
best=277117 it=2963 t=18.2s
best=276934 it=2965 t=18.2s
best=276926 it=2979 t=18.3s
best=276863 it=2990 t=18.4s
best=276855 it=2991 t=18.4s
best=276711 it=2994 t=18.4s
best=276687 it=3006 t=18.4s
best=276671 it=3007 t=18.4s
best=276662 it=3029 t=18.5s
best=276644 it=3032 t=18.5s
best=276634 it=3066 t=18.8s
best=276571 it=3072 t=18.8s
best=276533 it=3073 t=18.8s
best=276532 it=3078 t=19.1s
best=276444 it=3080 t=19.1s
best=276360 it=3084 t=19.1s
best=276357 it=3088 t=19.1s
best=276147 it=3097 t=19.3s
best=276111 it=3098 t=19.3s
best=276100 it=3100 t=19.3s
best=274816 it=3112 t=19.3s
best=274810 it=3114 t=19.3s
best=274770 it=3118 t=19.4s
best=274453 it=3122 t=19.4s
best=274441 it=3130 t=19.4s
best=274439 it=3154 t=19.6s
best=274328 it=3170 t=19.7s
best=274309 it=3190 t=19.8s
best=273875 it=3191 t=19.8s
best=273857 it=3194 t=19.8s
best=273845 it=3197 t=19.8s
best=273745 it=3212 t=19.9s
best=273740 it=3216 t=20.0s
best=273710 it=3217 t=20.0s
best=273702 it=3225 t=20.0s
best=273666 it=3227 t=20.0s
best=273657 it=3229 t=20.0s
best=273211 it=3312 t=20.6s
