  steps 20000, placed 979, pending 26906, front M=455400
  steps 40000, placed 1536, pending 53152, front M=2511600
  steps 60000, placed 1907, pending 84582, front M=6375600
  steps 80000, placed 2354, pending 97635, front M=15939000
  steps 100000, placed 2683, pending 144177, front M=27627600
  steps 120000, placed 2683, pending 205114, front M=27627600
  steps 140000, placed 3035, pending 236417, front M=53130000
  steps 160000, placed 3399, pending 273182, front M=106260000
  steps 180000, placed 3829, pending 316095, front M=154077000
  steps 200000, placed 4146, pending 319020, front M=281801520
  steps 220000, placed 4269, pending 315754, front M=362250000
  steps 240000, placed 4465, pending 404895, front M=469669200
  steps 260000, placed 4465, pending 582422, front M=469669200
  steps 280000, placed 4465, pending 759230, front M=469669200
  steps 300000, placed 4465, pending 936636, front M=469669200
  steps 320000, placed 4465, pending 1112742, front M=469669200
  steps 340000, placed 4465, pending 1290388, front M=469669200
  steps 360000, placed 4465, pending 1468054, front M=469669200
  steps 380000, placed 4601, pending 1569504, front M=690690000
  steps 400000, placed 5041, pending 1614966, front M=893646600
  steps 420000, placed 5248, pending 1621583, front M=1243242000
  steps 440000, placed 5324, pending 1661520, front M=1409007600
  steps 460000, placed 5522, pending 1725555, front M=2072070000
  steps 480000, placed 5648, pending 1865570, front M=2348346000
  steps 500000, placed 5648, pending 2013551, front M=2348346000
  steps 520000, placed 5767, pending 2121836, front M=3453450000
  steps 540000, placed 6639, pending 2129401, front M=5354228880
  steps 560000, placed 6765, pending 2112371, front M=6906900000
