g6	n	Delta	delta	maxm	minm	alo	ahi	nok	interval	L
Bw	3	2	2	2.0	2.0	0.0	1.0	201	1	4.0
C]	4	2	2	2.0	2.0	0.0	1.0	201	1	4.0
C^	4	3	2	3.0	2.3333333333333335	0.375	0.93	112	1	5.464101615137755
C~	4	3	3	3.0	3.0	0.0	1.0	201	1	6.0
DFw	5	3	2	3.0	2.0	0.0	1.0	201	1	5.286335345030997
DF{	5	4	2	4.0	2.5	0.31	0.935	126	1	6.930283187372943
DQ{	5	4	2	3.0	2.0	0.0	1.0	201	1	6.2895221179054435
DUW	5	2	2	2.0	2.0	0.0	1.0	201	1	4.0
DUw	5	3	2	3.0	2.3333333333333335	0.375	0.93	112	1	5.464101615137755
DU{	5	4	2	3.5	2.5	0.155	0.965	163	1	6.760952285695233
DV{	5	4	2	4.0	3.0	0.43	0.585	32	1	7.0709255283711
D]w	5	3	2	3.0	2.6666666666666665	0.0	1.0	201	1	6.0
D]{	5	4	3	3.3333333333333335	3.0	0.25	1.0	151	1	6.8666426339228765
D^{	5	4	3	4.0	3.5	0.38	0.915	108	1	7.606119105813881
D~{	5	4	4	4.0	4.0	0.0	1.0	201	1	8.0
E?~o	6	4	2	4.0	2.0	0.0	1.0	201	1	6.760952285695233
E?~w	6	5	2	5.0	2.6	0.27	0.9400000000000001	135	1	8.399013081800398
ECZo	6	4	2	3.0	2.0	0.0	1.0	201	1	6.2895221179054435
ECZw	6	5	2	4.0	2.2	0.0	1.0	201	1	8.016107411532541
ECxo	6	3	2	3.0	2.0	0.0	1.0	201	1	5.286335345030997
ECzo	6	4	2	3.5	2.25	0.17500000000000002	0.92	150	1	6.662524041201569
ECxw	6	4	2	4.0	2.5	0.31	0.935	126	1	6.930283187372943
ECzw	6	5	2	4.5	2.6	0.18	0.985	162	1	8.282100662389482
EC~o	6	4	2	4.0	2.5	0.075	0.715	129	1	6.930283187372943
EC~w	6	5	2	5.0	3.0	0.325	0.635	63	1	8.48074069840786
EEh_	6	2	2	2.0	2.0	0.0	1.0	201	1	4.0
EEj_	6	3	2	2.5	2.3333333333333335	0.585	1.0	84	1	5.184011783031394
EEho	6	3	2	3.0	2.0	0.375	0.93	112	1	5.464101615137755
EEjo	6	4	2	3.5	2.5	0.155	0.965	163	1	6.760952285695233
EEhw	6	4	2	3.5	2.5	0.13	1.0	175	1	6.760952285695233
EEjw	6	5	2	4.0	2.6	0.0	1.0	201	1	8.144719339203032
EEz_	6	3	2	3.0	2.6666666666666665	0.5700000000000001	0.645	16	1	5.613699424331216
EEzo	6	4	2	3.5	2.6666666666666665	0.17	0.72	111	1	6.849742261192857
