== n9_sumfails.txt
GCOfBc  c in [-2.0000, -0.6667] ok=True R=22.000
H?`@fBP  c in [-2.0000, -0.6667] ok=True R=22.000
H?`@f@h  c in [-2.0000, -1.0000] ok=True R=22.000
H?`@db`  c in [-2.0000, -0.8333] ok=True R=22.000
H?`aeRS  c in [-2.0000, -0.6667] ok=True R=22.000
HCOcbQp  c in [-1.9789, -0.8163] ok=True R=21.875
HCOfBej  c in [-2.0085, -0.1163] ok=True R=44.400
HCOefDf  c in [-2.0085, -0.1163] ok=True R=44.400
== ../childE/n10_fails.txt
I?bFSyy^O  c in [-4.2683, 5.6118] ok=True R=63.920
I?bFSyx^_  c in [-4.2683, 5.7763] ok=True R=63.920
I?`ebjF^_  c in [-3.4538, 5.1184] ok=True R=63.920
I?`eelm~?  c in [-4.0938, 5.4474] ok=True R=63.920
I?`ebnM~?  c in [-4.0938, 5.4474] ok=True R=63.920
I?`ebl]~?  c in [-3.8903, 5.4474] ok=True R=63.920
I?`ea~e~?  c in [-4.0379, 5.4474] ok=True R=63.920
I?`ea|m~?  c in [-3.9821, 5.4474] ok=True R=63.920
ICpfUvy~O  c in [-4.2975, 2.7914] ok=True R=99.944
ICpfUv]~O  c in [-4.2975, 2.6810] ok=True R=99.944
ICpfUvx~_  c in [-4.2808, 2.7914] ok=True R=99.944
I?`adGl}?  c in [-3.1390, 1.5366] ok=True R=35.875
I?`a`id]_  c in [-2.9209, 1.7317] ok=True R=35.875
I?`abLuro  c in [-2.7673, 2.2768] ok=True R=63.920
I?`abLV|_  c in [-2.3785, 4.4605] ok=True R=63.920
I?`abLVz_  c in [-2.8444, 8.8819] ok=True R=63.920
I?`afNU^_  c in [-3.5192, 4.7895] ok=True R=63.920
I?`afLuv_  c in [-3.3081, 5.2829] ok=True R=63.920
I?`ejXu}O  c in [-3.8903, 5.6118] ok=True R=63.920
I?`ejXt}_  c in [-3.8903, 5.7763] ok=True R=63.920
ICXmb^N~_  c in [-4.3309, 3.0123] ok=True R=99.944
I?`DDqwV_  c in [-2.7633, 4.8182] ok=True R=35.875
I?`DDcy^?  c in [-2.7633, 4.8182] ok=True R=35.875
I?bLdZ[]o  c in [-4.3531, 5.4474] ok=True R=63.920
I?qafRh~?  c in [-2.9229, 1.9944] ok=True R=63.920
I?qafRhv_  c in [-3.2413, 4.9539] ok=True R=63.920
I?qafRX~?  c in [-3.3885, 2.7006] ok=True R=63.920
I?qafRXz_  c in [-3.3885, 2.5593] ok=True R=63.920
I?qafRL}_  c in [-3.2413, 4.9539] ok=True R=63.920
I?qafRJ~?  c in [-3.4103, 4.7895] ok=True R=63.920
I?qadZLn_  c in [-3.6786, 4.9539] ok=True R=63.920
I?qadYlv_  c in [-3.6573, 5.2829] ok=True R=63.920
I?qadYN~?  c in [-3.8105, 4.4605] ok=True R=63.920
