phase B: NB=166320 |mods|=70 mass=1.6658
phase B: 50 restarts (0.6s)
phase B: 100 restarts (0.9s)
phase B: 150 restarts (1.3s)
phase B: 200 restarts (1.9s)
phase B: 250 restarts (2.6s)
phase B: 300 restarts (3.3s)
phase B: 350 restarts (4.0s)
phase B: 400 restarts (4.6s)
phase B: 450 restarts (4.9s)
phase B: 500 restarts (5.6s)
phase B: 550 restarts (6.2s)
phase B: 600 restarts (6.6s)
phase B: 650 restarts (6.9s)
phase B: 700 restarts (7.5s)
phase B: 750 restarts (8.2s)
phase B: 800 restarts (8.8s)
phase B: 850 restarts (9.1s)
phase B: 900 restarts (9.7s)
phase B: 950 restarts (10.3s)
phase B: 1000 restarts (10.6s)
phase B: 1050 restarts (11.2s)
phase B: 1100 restarts (11.8s)
phase B: 1150 restarts (12.5s)
phase B: 1200 restarts (13.0s)
phase B: 1250 restarts (13.3s)
phase B: 1300 restarts (14.1s)
phase B: 1350 restarts (15.1s)
phase B: 1400 restarts (15.6s)
phase B: 1450 restarts (15.9s)
phase B: 1500 restarts (16.3s)
phase B: 1550 restarts (16.6s)
phase B: 1600 restarts (17.0s)
phase B: 1650 restarts (17.3s)
phase B: 1700 restarts (17.9s)
phase B: 1750 restarts (18.5s)
phase B: 1800 restarts (19.2s)
phase B: 1850 restarts (19.8s)
phase B: 1900 restarts (20.2s)
phase B: 1950 restarts (20.6s)
phase B: 2000 restarts (20.9s)
phase B: 2050 restarts (21.3s)
phase B: 2100 restarts (21.6s)
phase B: 2150 restarts (22.0s)
phase B: 2200 restarts (22.7s)
phase B: 2250 restarts (23.3s)
phase B: 2300 restarts (24.0s)
phase B: 2350 restarts (24.6s)
phase B: 2400 restarts (25.1s)
phase B: 2450 restarts (25.5s)
phase B: 2500 restarts (26.2s)
phase B: 2550 restarts (26.8s)
phase B: 2600 restarts (27.5s)
phase B: 2650 restarts (27.8s)
phase B: 2700 restarts (28.3s)
phase B: 2750 restarts (29.0s)
phase B: 2800 restarts (29.6s)
phase B: 2850 restarts (30.2s)
phase B: 2900 restarts (30.9s)
phase B: 2950 restarts (31.5s)
phase B: 3000 restarts (32.1s)
phase B: 3050 restarts (32.9s)
phase B: 3100 restarts (33.5s)
phase B: 3150 restarts (34.1s)
phase B: 3200 restarts (34.8s)
phase B: 3250 restarts (35.4s)
phase B: 3300 restarts (36.1s)
phase B: 3350 restarts (36.7s)
phase B: 3400 restarts (37.4s)
phase B: 3450 restarts (38.0s)
phase B: 3500 restarts (38.7s)
phase B: 3550 restarts (39.3s)
phase B: 3600 restarts (40.0s)
phase B: 3650 restarts (40.6s)
phase B: 3700 restarts (41.3s)
phase B: 3750 restarts (42.0s)
phase B: 3800 restarts (42.6s)
