phase B: NB=19958400 |mods|=177 mass=1.7833
phase B: 20 restarts best_left=0.02625 (140.9s)
phase B: 40 restarts best_left=0.02625 (299.4s)
phase B: 60 restarts best_left=0.02625 (427.0s)
phase B: 80 restarts best_left=0.02615 (550.0s)
phase B: 100 restarts best_left=0.02615 (663.5s)
phase B: 120 restarts best_left=0.02615 (766.1s)
phase B: 140 restarts best_left=0.02615 (865.6s)
phase B: 160 restarts best_left=0.02615 (965.0s)
phase B: 180 restarts best_left=0.02615 (1065.4s)
phase B: 200 restarts best_left=0.02615 (1164.4s)
phase B: 220 restarts best_left=0.02615 (1264.0s)
phase B: 240 restarts best_left=0.02615 (1399.0s)
phase B: 260 restarts best_left=0.02615 (1515.8s)
phase B: 280 restarts best_left=0.02523 (1641.8s)
phase B: 300 restarts best_left=0.02523 (1761.7s)
phase B: 320 restarts best_left=0.02523 (1895.9s)
phase B: 340 restarts best_left=0.02523 (2033.4s)
phase B: 360 restarts best_left=0.02523 (2172.8s)
phase B: 380 restarts best_left=0.02523 (2299.9s)
phase B: 400 restarts best_left=0.02523 (2438.0s)
