phase B: NB=2162160 |mods|=131 mass=1.7945
phase B: 20 restarts best_left=0.03340 (13.2s)
phase B: 40 restarts best_left=0.03340 (26.2s)
phase B: 60 restarts best_left=0.03340 (39.3s)
phase B: 80 restarts best_left=0.03019 (50.6s)
phase B: 100 restarts best_left=0.03019 (64.6s)
phase B: 120 restarts best_left=0.03019 (78.3s)
phase B: 140 restarts best_left=0.03019 (90.2s)
phase B: 160 restarts best_left=0.03019 (101.2s)
phase B: 180 restarts best_left=0.03019 (112.8s)
phase B: 200 restarts best_left=0.03019 (123.8s)
phase B: 220 restarts best_left=0.03019 (136.7s)
phase B: 240 restarts best_left=0.03019 (148.7s)
phase B: 260 restarts best_left=0.03019 (161.1s)
phase B: 280 restarts best_left=0.03019 (173.0s)
phase B: 300 restarts best_left=0.03019 (184.5s)
phase B: 320 restarts best_left=0.03019 (197.8s)
phase B: 340 restarts best_left=0.03019 (210.4s)
phase B: 360 restarts best_left=0.03019 (224.0s)
phase B: 380 restarts best_left=0.03019 (237.9s)
phase B: 400 restarts best_left=0.03019 (250.4s)
phase B: 420 restarts best_left=0.03019 (262.2s)
phase B: 440 restarts best_left=0.03019 (272.6s)
phase B: 460 restarts best_left=0.03019 (284.6s)
phase B: 480 restarts best_left=0.02999 (296.6s)
phase B: 500 restarts best_left=0.02999 (308.1s)
phase B: 520 restarts best_left=0.02999 (320.7s)
phase B: 540 restarts best_left=0.02999 (332.1s)
phase B: 560 restarts best_left=0.02999 (342.4s)
phase B: 580 restarts best_left=0.02999 (354.9s)
phase B: 600 restarts best_left=0.02999 (366.4s)
phase B: 620 restarts best_left=0.02999 (379.7s)
phase B: 640 restarts best_left=0.02999 (393.1s)
phase B: 660 restarts best_left=0.02999 (405.7s)
phase B: 680 restarts best_left=0.02999 (418.5s)
phase B: 700 restarts best_left=0.02999 (430.4s)
phase B: 720 restarts best_left=0.02999 (442.0s)
phase B: 740 restarts best_left=0.02999 (455.3s)
phase B: 760 restarts best_left=0.02999 (467.9s)
phase B: 780 restarts best_left=0.02999 (480.7s)
phase B: 800 restarts best_left=0.02999 (492.8s)
phase B: 820 restarts best_left=0.02999 (505.4s)
phase B: 840 restarts best_left=0.02999 (516.7s)
phase B: 860 restarts best_left=0.02999 (529.6s)
phase B: 880 restarts best_left=0.02999 (539.2s)
phase B: 900 restarts best_left=0.02999 (551.0s)
phase B: 920 restarts best_left=0.02999 (561.1s)
phase B: 940 restarts best_left=0.02999 (573.8s)
phase B: 960 restarts best_left=0.02999 (587.2s)
phase B: 980 restarts best_left=0.02999 (599.9s)
phase B: 1000 restarts best_left=0.02999 (612.8s)
phase B: 1020 restarts best_left=0.02999 (626.0s)
phase B: 1040 restarts best_left=0.02999 (639.9s)
phase B: 1060 restarts best_left=0.02999 (654.0s)
phase B: 1080 restarts best_left=0.02999 (667.5s)
phase B: 1100 restarts best_left=0.02999 (681.2s)
phase B: 1120 restarts best_left=0.02999 (694.6s)
phase B: 1140 restarts best_left=0.02999 (707.6s)
phase B: 1160 restarts best_left=0.02999 (721.3s)
phase B: 1180 restarts best_left=0.02999 (734.9s)
phase B: 1200 restarts best_left=0.02999 (747.7s)
