wide 6-part tails with parts<=38: 5962387 (543.1s)
  500000/5962387 tails, 500000 wides checked, bad=[] (708.3s)
  1000000/5962387 tails, 1161592 wides checked, bad=[] (870.2s)
  1500000/5962387 tails, 2161592 wides checked, bad=[] (971.0s)
  2000000/5962387 tails, 3585187 wides checked, bad=[] (1153.9s)
  2500000/5962387 tails, 5361357 wides checked, bad=[] (1343.4s)
  3000000/5962387 tails, 7571575 wides checked, bad=[] (1544.1s)
  3500000/5962387 tails, 10288917 wides checked, bad=[] (1775.0s)
  4000000/5962387 tails, 13578727 wides checked, bad=[] (2017.1s)
  4500000/5962387 tails, 17602206 wides checked, bad=[] (2311.4s)
  5000000/5962387 tails, 22533159 wides checked, bad=[] (2623.1s)
  5500000/5962387 tails, 28675725 wides checked, bad=[] (2957.9s)
checked 34686756 wide 7-part partitions with lam1 in [26,38]; indecomposable: [] (3198.7s)
