  8500000 tails, 1895469 wides checked, bad=[] (2813.1s)
  9000000 tails, 3895469 wides checked, bad=[] (3339.3s)
  9500000 tails, 5895469 wides checked, bad=[] (3696.7s)
  10000000 tails, 7908032 wides checked, bad=[] (4072.7s)
  10500000 tails, 10408032 wides checked, bad=[] (5221.1s)
  11000000 tails, 12908032 wides checked, bad=[] (5583.6s)
  11500000 tails, 15408032 wides checked, bad=[] (5941.5s)
  12000000 tails, 18355248 wides checked, bad=[] (7061.9s)
  12500000 tails, 21355248 wides checked, bad=[] (7455.7s)
  13000000 tails, 24508893 wides checked, bad=[] (8125.2s)
  13500000 tails, 28008893 wides checked, bad=[] (8900.1s)
  14000000 tails, 31600382 wides checked, bad=[] (9611.7s)
  14500000 tails, 35600382 wides checked, bad=[] (10397.7s)
